;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Jan Oblak;Jose Gimenez;Koke;Marcos Llorente;Mario Hermoso;Nahuel Molina;Pablo Barrios ;Reinildo;Rodrigo de Paul;Samuel Lino;Saul Niguez;Stefan Savic
Alvaro Morata;0.0207628331856407;0.0181179084132751;0.120343203168995;0.052038063294037;0.00657688034111978;0.0358370335883765;0.166471391544421;0.0758552973959334;0.078411874194469;0.069335076458083;0.0353779718556292;0.0192446759053504;0.147684920743352;0.0951786266726609;0.0380584615835103;0.0207057816551468
Angel Correa;0.0207631260711089;0.0181183732718936;0.120344573983832;0.0520387437328328;0.00657661494475797;0.0358356263243147;0.166470567452243;0.0758569090418721;0.0784119229148543;0.0693339031498785;0.035378780904613;0.0192451909846955;0.147685529292086;0.0951761859018861;0.0380577963378493;0.0207061556912825
Antoine Griezmann;0.0207628609890887;0.0181179232190761;0.120346073491072;0.0520399892941057;0.00657698485141123;0.0358358320016213;0.166469861711955;0.0758562101499659;0.0784148673631809;0.0693331402020586;0.0353781823800839;0.0192449697840911;0.147684790634806;0.095174866977316;0.0380580030495019;0.0207054439006651
Axel Witsel;0.0207627928025374;0.018117814021762;0.12034595769172;0.0520399714081179;0.00657705621499398;0.035836074652435;0.166469950130617;0.0758558984182871;0.078415068696684;0.069333272983867;0.0353780070813619;0.0192448692042518;0.147684630552118;0.0951751767083662;0.0380581279062558;0.0207053315266248
Jan Oblak;0.0207622374270133;0.018116984652976;0.120342103612021;0.0520378668170213;0.00657749129036607;0.0358390663260546;0.166472337675284;0.0758526920397642;0.0784133327577863;0.0693361878752724;0.0353765122310198;0.0192438202925474;0.147683442467442;0.0951815029764199;0.038059547966793;0.0207048735922189
Jose Gimenez;0.0207623120774568;0.018117140769539;0.120338344285406;0.0520352405000907;0.00657722993616049;0.0358403364729727;0.166474285259368;0.0758519323895774;0.0784089023305491;0.0693386515584938;0.0353765024342406;0.0192435773465142;0.147683896307814;0.0951861574773826;0.0380599744023538;0.0207055164520805
Koke;0.0207628037842473;0.0181178827268276;0.120342547734363;0.0520376602541938;0.0065768793283886;0.0358373087781924;0.166471815019857;0.0758550739944608;0.0784111895364336;0.0693354810450199;0.0353779059576362;0.0192445933994339;0.147684844858544;0.095179572544218;0.0380585938449803;0.0207058471932032
Marcos Llorente;0.0207629768801975;0.0181181505284669;0.120343029122161;0.0520378297549289;0.00657670952974595;0.0358366498516422;0.166471456042065;0.0758558820279144;0.0784109359554743;0.0693350450790275;0.0353783406349673;0.0192448576446801;0.147685260926082;0.0951785309573157;0.0380582541777724;0.0207060908875589
Mario Hermoso;0.0207625171784558;0.018117349336571;0.120346695317797;0.0520406977345335;0.0065774019988985;0.0358366365597802;0.166469626204095;0.0758549094905595;0.0784172819027792;0.0693330490192125;0.0353773296871457;0.0192445609009792;0.147683939496009;0.0951748489673009;0.0380584649636237;0.0207046912422593
Nahuel Molina;0.0207629330874327;0.0181181065358446;0.120340605869035;0.0520362221113069;0.00657664354957203;0.0358377165337022;0.166472768347164;0.0758550367514652;0.0784084901798237;0.0693366926353565;0.0353781169111834;0.0192445838348163;0.147685312750798;0.0951817565512373;0.0380586724890911;0.0207063418621711
Pablo Barrios ;0.0207631036680252;0.0181183536794523;0.120343310912754;0.052037910624445;0.00657658011577962;0.0358361685984568;0.166471258139876;0.0758564850545068;0.0784106286882689;0.0693347499579584;0.0353786718844632;0.0192450514428689;0.147685550771604;0.0951778721055936;0.0380580120978202;0.0207062922581266
Reinildo;0.0207625958771711;0.0181174765222058;0.120346990142484;0.0520408318626184;0.00657732687270308;0.0358362804541311;0.166469451258136;0.075855329798065;0.0784172033608316;0.0693327772061394;0.0353775474487599;0.0192446942474353;0.147684103186246;0.0951742906588643;0.0380582959709007;0.0207048051333079
Rodrigo de Paul;0.0207627723454812;0.0181178491425671;0.120340739875128;0.052036457992146;0.00657682960561325;0.0358381129121676;0.166472777984017;0.0758544339035723;0.0784093819297243;0.0693367185078222;0.0353777344791884;0.0192443879975072;0.14768489753625;0.0951819698369917;0.038058905589615;0.0207060303622089
Samuel Lino;0.020762587327154;0.0181175556832037;0.120340652604153;0.0520365648233358;0.00657703196182149;0.0358386625365164;0.166472920965914;0.0758536745466803;0.0784101407315546;0.0693369093639582;0.0353772835030408;0.0192441411626922;0.147684433136345;0.0951825274672627;0.0380592085923764;0.0207057055939909
Saul Niguez;0.0207625754261464;0.0181175348186721;0.120341028130411;0.0520368334504918;0.00657706275212199;0.0358385398301118;0.166472736827888;0.0758537425329299;0.0784105900532137;0.0693366595000838;0.0353772785045315;0.019244161482964;0.147684370309075;0.0951820772569237;0.0380591719437441;0.0207056371806911
Stefan Savic;0.0207630079888607;0.018118238893319;0.120340079225055;0.0520358049344801;0.00657653347695147;0.0358376807387333;0.166473037369612;0.075855226378211;0.0784075185004516;0.0693369605777597;0.0353782913610276;0.0192446414026071;0.147685517216162;0.0951822700353319;0.038058626616798;0.0207065652846395
