;Adrien Thomasson;Angelo Fulgini;Brice Samba;David Costa;Deiver Machado;Elye Wahi;Facundo Medina;Florian Sotoca;Jonathan Gradit;Kevin Danso;Massadio Haidara;Morgan Guilavogui;Nampalys Mendy;Przemyslaw Frankowski;Salis Samed;Wesley Said
Adrien Thomasson;0.0177434112209793;0.0550070259063341;0.0507469508175121;0.0308762389101584;0.0627819649332241;0.0477103752504627;0.121336047393322;0.0521377061922778;0.08596021728221;0.0517674322629725;0.00676134738334446;0.0193897775000015;0.0799393508360375;0.175441023597243;0.123572990014636;0.0188281404992852
Angelo Fulgini;0.0177432250086119;0.0550068921467603;0.0507442155721412;0.0308755549761998;0.0627804468306644;0.0477102182634789;0.121340260889371;0.0521371925559146;0.0859624709043311;0.0517689851744793;0.00676154055549806;0.0193897705100795;0.0799393887377233;0.1754407105529;0.123571405360309;0.0188277219615375
Brice Samba;0.0177427842045673;0.0550034628939329;0.0507422458163881;0.0308744767295977;0.0627786615441319;0.0477100328111428;0.121346131282003;0.0521361446268371;0.0859622744345973;0.0517685463209663;0.00676182502147203;0.0193890100680703;0.0799381434593539;0.175448998400277;0.123570197480581;0.018827064906082
David Costa;0.0177430861595806;0.0550051413827006;0.0507442361968587;0.0308752522100325;0.0627801518861403;0.0477102170874479;0.121341891926211;0.0521368896858151;0.085961507597333;0.0517681706401689;0.0067616081681835;0.019389331970234;0.0799385633929394;0.175444988151389;0.123571443276091;0.0188275202688745
Deiver Machado;0.0177427906630251;0.0550035103788184;0.0507421680746685;0.0308745280796367;0.0627787640286688;0.0477099731420396;0.12134653578849;0.0521361003860128;0.0859622969989292;0.0517686049158293;0.00676184314707559;0.0193889649830655;0.0799380406287306;0.175448763174986;0.12357014479049;0.0188269708195346
Elye Wahi;0.0177434374932297;0.0550068050822237;0.0507468864099852;0.0308762155867692;0.0627820827564454;0.0477104166213854;0.121336874604914;0.0521377357727977;0.0859601321659728;0.0517673929353842;0.00676135083664057;0.0193896050125976;0.079938875957079;0.175441091985244;0.123573072262696;0.0188280245166347
Facundo Medina;0.0177435654168469;0.0550082983522622;0.0507471959964045;0.0308765709232955;0.0627825011116405;0.0477103958302204;0.121334935133594;0.052138008282428;0.0859606655479979;0.0517678877337126;0.00676128155852948;0.0193899937918826;0.0799396301352777;0.175437648629798;0.123573182620264;0.0188282389358469
Florian Sotoca;0.0177433472323958;0.0550066335131624;0.0507460343578985;0.0308759117104869;0.0627814071755655;0.0477104167975612;0.121337846543418;0.0521375782824884;0.0859608332740308;0.0517678166871421;0.0067614046709441;0.0193896560265374;0.0799390441772221;0.175441532359356;0.1235725567309;0.018827980460891
Jonathan Gradit;0.0177435278649182;0.055007866128985;0.0507472144694253;0.0308763858434706;0.0627822196232567;0.0477105194663822;0.121334819094574;0.0521380366761467;0.0859605365112148;0.0517676978735117;0.00676126572294566;0.0193899652756806;0.0799395838943662;0.175438783693718;0.123573240706865;0.0188283371545391
Kevin Danso;0.0177434251387576;0.05500749013708;0.0507462985078869;0.0308761583029757;0.0627817250780338;0.0477103744340506;0.121336687462274;0.0521377165419083;0.0859610397952329;0.0517680441909287;0.00676136578176745;0.0193898687272541;0.0799394728355705;0.175439589665558;0.123572650046523;0.0188280933541981
Massadio Haidara;0.0177431431917719;0.0550065685890431;0.050743644048095;0.0308753086583714;0.062779918136265;0.0477102012718061;0.121341026335082;0.0521370258223747;0.0859628334545494;0.0517691713912068;0.006761584845431;0.0193897719521323;0.0799394811910709;0.175441598557965;0.123571032479836;0.0188276900749997
Morgan Guilavogui;0.017743140201685;0.0550068048101687;0.0507433599304838;0.0308750977347026;0.0627794426939151;0.0477103951942524;0.121340333980062;0.0521371884630646;0.085963422077326;0.0517694843129985;0.00676154340391568;0.0193899676919906;0.0799398497973747;0.175441125818708;0.123570919183254;0.0188279247060988
Nampalys Mendy;0.0177429201319346;0.0550046139378442;0.0507429315165835;0.0308748437025977;0.0627792486840481;0.0477100867010884;0.12134401329357;0.0521364813984908;0.0859623046676139;0.0517686628933005;0.00676173018692974;0.0193892853348995;0.0799386583360922;0.175446346047538;0.123570578701984;0.018827294465486
Przemyslaw Frankowski;0.0177431566774904;0.0550061808048341;0.0507444189109153;0.0308754451403337;0.0627803100393041;0.0477102329783427;0.121340269649839;0.0521370834430679;0.0859619328253739;0.0517685215512384;0.0067615510974423;0.0193896572848919;0.0799392802760828;0.175442759099909;0.123571468522115;0.0188277316988193
Salis Samed;0.01774311094369;0.0550048967119291;0.0507449071803292;0.0308754125033819;0.0627805589570128;0.0477102131853801;0.121341306802682;0.0521369320548131;0.0859607527627528;0.0517676505730453;0.00676158175267585;0.0193892316922192;0.0799383753092722;0.175445719425289;0.123571815503384;0.0188275346421433
Wesley Said;0.0177432857034939;0.0550054767473336;0.0507464484873739;0.0308757680612883;0.0627813756750878;0.0477104989014406;0.12133819385635;0.05213750554768;0.0859598984911062;0.0517670505265369;0.00676140752294376;0.0193893760271238;0.079938494750916;0.175444424888485;0.123572844490135;0.0188279503227053
