;Alejandro Garnacho;Andre Onana;Antony;Bruno Fernandes;Christian Eriksen;Diogo Dalot;Harry Maguire;Marcus Rashford;Raphael Varane;Rasmus Hojlund;Scott McTominay;Sergio Reguilon;Sofyan Amrabat;Victor Lindelof
Alejandro Garnacho;0.0175249682499914;0.0405486888866126;0.0483683942396178;0.0726136494664667;0.0653735768968425;0.0885834591010217;0.155768283167574;0.0751030745715699;0.170028608966799;0.0384924705647574;0.0576119278811796;0.0940964175290848;0.0546137335535304;0.0212727469249525
Andre Onana;0.0175242003955881;0.0405485371279337;0.0483690419970611;0.0726138879118717;0.0653750551267977;0.0885822020479442;0.155773673186348;0.0751059324206555;0.170025413332845;0.0384936454555868;0.0576107058602119;0.0940913039090319;0.0546137545119867;0.0212726467161381
Antony;0.0175238470496216;0.0405486337454768;0.048369182799972;0.0726141365325141;0.0653751770953339;0.0885826302566177;0.155775199886709;0.0751062443531513;0.170023863205396;0.0384937422404747;0.0576104740005448;0.0940905822501506;0.0546139835882682;0.021272302995769
Bruno Fernandes;0.0175240491069648;0.0405486208996284;0.0483690421192644;0.0726139243447648;0.0653745098626403;0.088582737622973;0.155772828989103;0.0751053549255367;0.170025916381108;0.0384933658306122;0.0576109192737144;0.0940923872031919;0.0546139274444581;0.0212724159960401
Christian Eriksen;0.0175238405510013;0.0405484698591602;0.0483692918634114;0.0726140472236818;0.0653756951252683;0.0885817729419014;0.155776090961128;0.0751071626504917;0.170023772812407;0.0384941418294266;0.057610158383727;0.0940891698025722;0.0546137750652159;0.0212726109306081
Diogo Dalot;0.0175244335374592;0.040548693126411;0.0483687192991686;0.0726137752388709;0.0653736949223608;0.0885833784252544;0.155769823964452;0.0751038177159211;0.170027831073444;0.0384927257435573;0.0576115820896761;0.0940951102492271;0.0546139255913621;0.0212724890228353
Harry Maguire;0.0175244186195271;0.0405488048720644;0.0483686674212905;0.0726140156529376;0.0653742373119461;0.0885837009990452;0.155771468343657;0.0751040924232764;0.170025770370478;0.0384928375688924;0.0576113544788867;0.0940942410683667;0.0546140373756184;0.0212723534940132
Marcus Rashford;0.0175238775624148;0.0405487203747516;0.0483691162789893;0.0726142400951345;0.0653753481767882;0.0885828822634309;0.155775661151382;0.0751061832966923;0.17002303610541;0.0384937081997863;0.0576104476882629;0.0940905086081008;0.0546140607478356;0.0212722094510211
Raphael Varane;0.01752365907415;0.0405484924326952;0.0483694180826643;0.0726141718391567;0.0653759472781437;0.0885818282633839;0.155777466704046;0.0751075888977577;0.170022653110994;0.0384943266323005;0.0576099161670196;0.0940882188571217;0.0546138519929416;0.0212724606676247
Rasmus Hojlund;0.0175239665042711;0.040548584500167;0.0483691282737088;0.0726140098746896;0.0653748856128599;0.088582561955055;0.155774111317041;0.0751059118556045;0.170024928237588;0.038493616705416;0.057610657187927;0.09409131802623;0.0546138989151841;0.0212724210342577
Scott McTominay;0.0175241028053223;0.0405485993826307;0.0483690157791212;0.0726139144529151;0.065374557342602;0.0885826870130367;0.155772796282352;0.0751053682198412;0.170025924108477;0.0384933802229276;0.0576109168924706;0.0940923710161286;0.0546138849943422;0.021272481487833
Sergio Reguilon;0.0175236633005186;0.0405483830423076;0.0483694584679847;0.0726139057320198;0.0653752892541741;0.0885815284126538;0.155775543569617;0.0751072138395265;0.170024989634784;0.0384941659072678;0.0576101847076084;0.0940893192558563;0.0546137505593608;0.021272604316321
Sofyan Amrabat;0.0175238751524373;0.040548527178379;0.0483692341701014;0.0726139440398871;0.0653750083034176;0.0885821737919484;0.155774297582626;0.0751062857618723;0.170025222960657;0.0384937573803611;0.0576105499330644;0.0940907643135526;0.054613861957356;0.0212724974743404
Victor Lindelof;0.0175238100285899;0.0405484172720773;0.0483693182601808;0.0726142462598971;0.0653766879505529;0.0885814489863015;0.155778582887468;0.0751082116098899;0.170021461488747;0.038494593640389;0.0576096367367651;0.0940871042174316;0.0546136953984724;0.0212727852632378
