;Aissa Laidouni;Alex Kral;Brenden Aaronson;Danilho Doekhi;Diogo Leite;Frederik Ronnow;Janik Haberer;Josip Juranovic;Kevin Behrens;Kevin Volland;Leonardo Bonucci;Lucas Tousart;Robin Gosens;Sheraldo Becker
Aissa Laidouni;0.0370020812526977;0.0856986453686846;0.014646862756002;0.0876156869339595;0.118925134657704;0.0474648277009882;0.0434837660240908;0.111732101436589;0.074141728573874;0.0209411672512961;0.0621054380428763;0.0739888002845317;0.0801514971356918;0.142102262581014
Alex Kral;0.0370016972031349;0.0856981476688549;0.0146468504242657;0.0876153194973509;0.11892664781508;0.0474653984589402;0.0434842276451991;0.111731499537465;0.0741421286028177;0.0209408840203671;0.0621059510190037;0.0739886464290567;0.0801522712554123;0.142100330423051
Brenden Aaronson;0.0370012181662184;0.0856984445623699;0.0146460033048919;0.0876175339436186;0.118925355004468;0.0474648853602345;0.043484169577239;0.111729115230641;0.0741399090632162;0.0209410626966567;0.0621062162710682;0.0739867942719116;0.080153127961704;0.142106164585762
Danilho Doekhi;0.0370014875678745;0.0856977582450651;0.014646950861915;0.0876147741140686;0.118927883496378;0.0474658677293976;0.04348456131607;0.111731381656672;0.0741426975447583;0.0209406610931279;0.0621062796782532;0.0739887764109652;0.0801527069225208;0.142098213362934
Diogo Leite;0.0370012675839075;0.085697826994355;0.0146466229404969;0.0876155947136976;0.118927523753265;0.0474657220377485;0.0434845809187689;0.111730406971006;0.0741418777732577;0.0209407041234376;0.0621064287074092;0.073988047786768;0.0801531083244628;0.142100287371418
Frederik Ronnow;0.0370007717935374;0.0856972969097578;0.0146465058579655;0.0876154454094461;0.118929088643474;0.0474663099824179;0.0434851008497398;0.111729430347381;0.0741420640552672;0.0209404030366293;0.062107046437538;0.073987647476336;0.0801540945472218;0.142098794653288
Janik Haberer;0.0370016915023559;0.0856981137833781;0.0146468744445091;0.0876152360662721;0.118926762794955;0.0474654425643105;0.0434842529815123;0.111731538163735;0.074142213877225;0.0209408644086644;0.0621059697668298;0.0739886924758464;0.0801522855204483;0.142100061649959
Josip Juranovic;0.037001973220789;0.0856987826150078;0.0146466077287109;0.0876163922242018;0.118924598491313;0.0474646178107959;0.0434837041540391;0.111731437955286;0.0741410186936051;0.0209412483266376;0.0621054688012956;0.0739882548364149;0.0801516825208584;0.142104212621044
Kevin Behrens;0.0370022731242388;0.0856993876272316;0.0146464209706739;0.0876173104082743;0.118922666550109;0.0474638827332067;0.0434831936553127;0.111731522631453;0.0741400641513068;0.0209415951112888;0.062104979316422;0.0739879828363716;0.080151052317135;0.142107668566976
Kevin Volland;0.0370014177308099;0.0856980389821742;0.0146466121307285;0.0876157890541236;0.118926871323672;0.0474654758651918;0.0434843892072509;0.1117306110446;0.0741416701674521;0.0209408245844288;0.0621062213257905;0.0739880768148516;0.0801528043141964;0.142101197454729
Leonardo Bonucci;0.0370010413061225;0.0856975543654298;0.0146465973834624;0.0876154367171536;0.118928345352383;0.0474660312520188;0.0434848390691407;0.111730016537489;0.0741420540271849;0.0209405490907965;0.0621067230996482;0.0739879205853678;0.0801535612145705;0.142099329999232
Lucas Tousart;0.0370023653324181;0.0856988558868533;0.0146470143216562;0.087615501593554;0.118924559582792;0.047464615531875;0.0434835334212635;0.111732825885845;0.0741418979935944;0.0209412852848092;0.0621051225175061;0.0739891984442581;0.0801509444923192;0.142102279711255
Robin Gosens;0.0370013999927972;0.0856979695772011;0.0146466537189875;0.0876156364300899;0.118927102347614;0.0474655644710153;0.0434844427697;0.111730665829383;0.0741418267565596;0.0209407845440615;0.0621062643149089;0.0739881538936729;0.0801528455242509;0.142100689829758
Sheraldo Becker;0.0370029728192997;0.0856987855019512;0.0146478109814283;0.0876135857102559;0.11892513724541;0.0474648574525459;0.0434833956795758;0.111735303993918;0.0741438051902522;0.0209412360764579;0.062104661045847;0.0739909931542065;0.0801498224025334;0.142097632746318
