;Aleksa Terzic;Alexander Schlager;Amankwah Forson;Amar Dedic;Karim Konate;Lucas Gourna-Douath;Luka Sucic;Mads Bidstrup;Maurits Kjaergaard;Nicolas Capaldo;Oscar Gloukh;Oumar Solet;Petar Ratkov;Roko Simic;Samson Baidoo;Strahinja Pavlovic
Aleksa Terzic;0.0900312860035857;0.0782230322203523;0.0501140978227177;0.0698744018902297;0.0217177451592816;0.155068830431098;0.0282932047192671;0.0372110381719481;0.0308461761698724;0.0200009843255367;0.0490958027841337;0.0724180898176086;0.0152630689914084;0.0483997561922019;0.0680594250508711;0.165383060249887
Alexander Schlager;0.0900317627986914;0.0782280512849897;0.050111475220843;0.0698780622913288;0.0217150455269334;0.155071612586696;0.0282894894415166;0.0372123699140576;0.0308434480385719;0.0199978449041724;0.0490919825736535;0.0724194456849153;0.0152625855918323;0.0483965104644973;0.0680636281219224;0.165386685555378
Amankwah Forson;0.0900368856180128;0.0782204805631284;0.0501134854868314;0.0698769376922155;0.02171909119047;0.155062749251262;0.0282927664164108;0.0372115435683772;0.0308435072220248;0.0200008972363851;0.0490964042652746;0.0724173456755303;0.0152622356120741;0.0484012475113712;0.0680564274093576;0.165387995281274
Amar Dedic;0.0900309109659457;0.0782295708097335;0.0501092131445689;0.0698791444433438;0.0217145821664763;0.155071403041123;0.0282901018828621;0.0372129004977354;0.030842933595139;0.0199983349994549;0.0490915006512159;0.0724190087750735;0.0152627510765809;0.048394182555783;0.0680652188157406;0.165388242579223
Karim Konate;0.0900320411120753;0.078226651289016;0.050115405499833;0.0698754014532467;0.0217153657401365;0.155074272784398;0.0282886456972764;0.0372115540701936;0.0308452332849123;0.0199972636412647;0.0490927546219749;0.0724201486383253;0.0152624899179437;0.0483995545847405;0.0680618850881114;0.165381332576552
Lucas Gourna-Douath;0.0900325472895508;0.0782275213789959;0.0501128382421645;0.0698774243515287;0.0217152037314854;0.155071895635953;0.0282890973570994;0.0372121400807839;0.0308438125651523;0.0199975876039245;0.0490923441104539;0.0724196730701195;0.0152624419878001;0.0483978188879715;0.0680626917747148;0.165384961932301
Luka Sucic;0.0900318007674665;0.078222238518128;0.0501152370995521;0.0698745684362551;0.0217178340783411;0.155068585294056;0.0282921564059315;0.0372107689289106;0.0308458663854639;0.0200000205213207;0.0490954754498365;0.0724185770713329;0.0152628909787025;0.0484012929915991;0.0680585521755433;0.16538413489756
Mads Bidstrup;0.0900285735506167;0.0782287584038406;0.0501128191159658;0.0698760473351956;0.021714661528288;0.155075134901384;0.028289905486071;0.0372118798221393;0.0308455734773922;0.0199980973076887;0.0490921765592389;0.072419571170409;0.0152630809571266;0.0483966460872219;0.0680641667844934;0.165382907512928
Maurits Kjaergaard;0.0900335094637265;0.0782237955484334;0.0501141129547036;0.0698771739669777;0.0217169212287767;0.155068032500775;0.0282900096344316;0.0372114555517302;0.0308437914852817;0.0199982339020888;0.0490937390242727;0.0724190786061786;0.0152624110838852;0.048400670597144;0.0680593556305307;0.165387708821063
Nicolas Capaldo;0.0900320507350842;0.078223311371388;0.0501184087919617;0.0698735594531452;0.0217167348026104;0.155073697874073;0.028288965535774;0.0372106154271162;0.0308464968343734;0.0199975115730943;0.049094062323664;0.0724199754818828;0.0152625448688233;0.0484029078069256;0.0680587971079188;0.165380360012165
Oscar Gloukh;0.0900310379414811;0.0782238999165377;0.0501136774380226;0.0698754224529792;0.0217171748763945;0.1550695078725;0.0282920776912753;0.0372112769635518;0.0308454885573779;0.0199999838005114;0.0490946948877617;0.0724183905451569;0.0152629780313621;0.0483993062567322;0.0680601446819641;0.165384938086392
Oumar Solet;0.0900312343147201;0.0782274875834185;0.0501103823624685;0.069878999636767;0.0217154614869124;0.155069205263346;0.0282903422641726;0.0372123506785121;0.0308430162807029;0.0199983843126263;0.0490922295114178;0.0724188861980165;0.0152627320278081;0.0483964345091207;0.068063050460808;0.165389803109182
Petar Ratkov;0.0900352425141746;0.0782241363102257;0.0501122956211204;0.0698797514704738;0.021716743434793;0.155066094009048;0.0282889619674472;0.037212164083533;0.0308416363460857;0.019997408448278;0.0490925657209455;0.0724189122816717;0.0152620442881377;0.0483996275933912;0.0680597110734504;0.165392704837224
Roko Simic;0.0900331468401919;0.0782239583551481;0.050111481587337;0.0698772086801021;0.0217175299654409;0.155065777218811;0.0282929784260078;0.0372118447237665;0.0308440305290436;0.0200008222626431;0.0490951276614005;0.0724176678411344;0.0152627586948528;0.0483982534582511;0.0680598929255894;0.165387520830279
Samson Baidoo;0.0900305273845044;0.0782293152247845;0.0501108179348191;0.0698791103201898;0.0217143542487291;0.155071876134716;0.0282888201575264;0.0372124534439295;0.0308430534426285;0.0199970655873332;0.0490910412517629;0.0724197334459979;0.0152626690546765;0.0483961337796659;0.0680643967308743;0.165388631857862
Strahinja Pavlovic;0.0900317868215613;0.0782256375888272;0.0501126133211396;0.0698769336075099;0.0217163389706211;0.155069957317346;0.0282908998086454;0.0372118710373659;0.0308444008285144;0.0199990639589143;0.0490935496364285;0.0724186229463381;0.0152627377989342;0.0483981451659453;0.0680612842495933;0.165386156942315
