;Amadou Haidara;Benjamin Henrichs;Benjamin Sesko;Dani Olmo;David Raum;Eljif Elmas;Kevin Kampl;Lois Openda;Lukas Klostermann;Mohamed Simakan;Peter Gulacsi;Willi Orban;Xaver Schlager;Xavi Simons;Yussuf Poulsen
Amadou Haidara;0.0127712827736555;0.1174044364201;0.0558168740418934;0.0684257577341069;0.0767617958522515;0.00380337360184639;0.00730422379874646;0.0362456512674332;0.116052166214295;0.0724918163873762;0.0430454135477467;0.170795867129813;0.113622981801177;0.103499120004556;0.00195923942500226
Benjamin Henrichs;0.0127713348030466;0.117404599020661;0.0558168595269483;0.0684255551017844;0.0767618952261047;0.00380336631264226;0.00730410490053888;0.0362455861097104;0.116051863888843;0.072491748825254;0.0430451976143243;0.170797203060117;0.113622389234244;0.10349905762037;0.00195923875541244
Benjamin Sesko;0.012771030245175;0.117400730812046;0.0558156364385187;0.0684277547311857;0.0767605348739958;0.00380348972743505;0.00730445175460893;0.036246741417519;0.116055249787872;0.0724913720282652;0.0430456277815897;0.17079340690342;0.113623152844097;0.10350153287871;0.00195928777556208
Dani Olmo;0.0127715130183471;0.117408336175497;0.055818321671771;0.0684240675436558;0.0767628508166625;0.00380327014511013;0.00730390451000267;0.0362446398387844;0.116048846615962;0.0724923840375449;0.043045041483436;0.170798424444505;0.113622354298186;0.103496832800725;0.00195921259981057
David Raum;0.0127713146185138;0.117405127764654;0.0558170398546254;0.0684253724358904;0.0767619266560678;0.00380336544203259;0.00730421923925811;0.0362454563463634;0.116051585439435;0.0724918040526183;0.0430454935294984;0.170796112050845;0.113623192298802;0.10349875748761;0.00195923278378528
Eljif Elmas;0.0127714624816728;0.11740631536503;0.0558175129306714;0.0684248055392137;0.0767624521041658;0.00380331419096293;0.00730389143630625;0.0362451395941053;0.116050285747943;0.0724920048617858;0.0430448596629818;0.170798970552831;0.113621702395803;0.10349805554901;0.00195922758751718
Kevin Kampl;0.0127713684245798;0.117405287233452;0.0558169345242576;0.0684251554851872;0.0767619392809282;0.00380337320991883;0.00730408336899784;0.0362454058079203;0.116051170157934;0.0724915925756822;0.0430452900711098;0.170797771904998;0.113622547439095;0.10349884288962;0.00195923762631925
Lois Openda;0.0127713455773087;0.117405371055878;0.0558171360011891;0.0684253451646307;0.0767619913018671;0.00380335820308585;0.00730412224462653;0.0362454147948217;0.11605128667775;0.0724918394932539;0.0430453164703985;0.170796835573462;0.113622726398451;0.103498673081391;0.00195923796188546
Lukas Klostermann;0.0127713310598005;0.117405343522226;0.0558170314840194;0.0684252091131171;0.0767619560070585;0.00380336499859282;0.0073042157169186;0.0362453832051521;0.116051392540774;0.0724917410338229;0.0430455389535252;0.170796340239471;0.113623263154624;0.103498658089483;0.00195923088141516
Mohamed Simakan;0.0127711946898399;0.117402934599553;0.0558163003541658;0.0684264989829025;0.0767613109718121;0.00380342006053003;0.00730430679469538;0.0362460701342172;0.116053392845811;0.0724915687373688;0.0430455023512477;0.170795132968735;0.11362301500849;0.103500093585492;0.00195925791514104
Peter Gulacsi;0.0127713752017287;0.117404720895838;0.0558167483088138;0.0684252348661238;0.0767620663209902;0.00380335781194329;0.00730410987730492;0.0362454739460399;0.116051718460783;0.0724916137660519;0.0430452377055;0.170797721818325;0.113622482750064;0.103498911241169;0.00195922702932398
Willi Orban;0.0127713269211737;0.117404321311809;0.05581674891551;0.0684255830685161;0.0767619837582399;0.00380335849402515;0.00730418449690398;0.0362456036193623;0.116052205502554;0.0724917506918808;0.0430453074828044;0.170796618664614;0.113622729085635;0.103499048336942;0.00195922965002948
Xaver Schlager;0.0127712626590364;0.117403687675826;0.0558164763357674;0.0684259794940165;0.0767615647055994;0.00380340160132312;0.00730422778963871;0.0362458336885067;0.116052660881321;0.0724915506568065;0.0430454154927835;0.170796205327065;0.113622826143251;0.103499660006068;0.0019592475429913
Xavi Simons;0.0127714474712181;0.117406688349759;0.0558176249769261;0.0684246604263023;0.0767624542639403;0.00380331384399256;0.00730397569492287;0.03624504335074;0.116050114747855;0.0724920374817577;0.0430450867488033;0.170798203193058;0.113622290521426;0.103497835583743;0.00195922334555638
Yussuf Poulsen;0.0127714341823847;0.117407130296906;0.0558179696706968;0.0684248111533538;0.0767624194517517;0.00380331134694439;0.00730392070550832;0.0362450319271816;0.116049744187968;0.0724922567354889;0.0430449791932673;0.170797967143189;0.11362208473788;0.103497704628652;0.00195923463882755
