;Anthony Gordon;Bruno Guimaraes;Callum Wilson;Fabian Schar;Jamaal Lascelles;Joe Willock;Joelinton;Kieran Trippier;Lewis Hall;Miguel Almiron;Nick Pope;Sean Longstaff;Tino Livramento
Anthony Gordon;0.0294594396269133;0.107152978501177;0.00534522231266038;0.120485960561047;0.0991816653031976;0.0793420448379753;0.109158036332811;0.162140295163054;0.040955210897277;0.065312142537678;0.00627198953508092;0.0919979716340424;0.083197042757086
Bruno Guimaraes;0.0294595459793505;0.107154535501488;0.00534536543651035;0.120484470992911;0.0991809082156681;0.0793451665973298;0.109155070093124;0.162139045164622;0.0409557564377098;0.0653134174023734;0.00627207958431668;0.0919974856734695;0.0831971529211261
Callum Wilson;0.0294599261858737;0.107158509750878;0.0053456833412379;0.120481611094566;0.0991790952054537;0.0793531481900565;0.109146105392202;0.162135420724401;0.0409566793393872;0.0653172283128178;0.0062723436719027;0.0919962976237685;0.0831979511674548
Fabian Schar;0.0294596591717729;0.107156405400154;0.00534536063960613;0.120482427938782;0.0991791074458443;0.0793498530508533;0.109149894159869;0.162138924935968;0.0409566507896946;0.0653148673342772;0.00627219723272275;0.0919970834091526;0.0831975684913027
Jamaal Lascelles;0.0294594993217312;0.107154096789639;0.00534534133199758;0.120483839850961;0.0991811955856238;0.079344568488364;0.109155764733092;0.162139659044497;0.0409561030961326;0.0653129738670765;0.00627210966972417;0.0919976270161002;0.0831972212050604
Joe Willock;0.0294594823397675;0.10715458430956;0.005345296091914;0.120484797880124;0.0991802666069883;0.0793453345595544;0.109155576256243;0.162139846312601;0.0409556673538429;0.0653129817321674;0.00627199427600423;0.0919973587685867;0.0831968135126465
Joelinton;0.0294596246505553;0.107156359911313;0.00534532098824862;0.120481006728005;0.099178941004749;0.0793504423979572;0.109149240713726;0.162139729174775;0.0409573696277198;0.0653147100802928;0.00627227222515103;0.0919971934521134;0.0831977890453931
Kieran Trippier;0.0294594001692598;0.107153602456283;0.00534512376014509;0.120484570101287;0.099180413454894;0.079344255648399;0.109155837579879;0.162141414973621;0.0409559339400233;0.0653123050916129;0.00627202878184008;0.0919979548069046;0.0831971592358503
Lewis Hall;0.0294593475824265;0.107153275794172;0.00534520230288453;0.120484247681363;0.0991808897141781;0.0793431853062636;0.109158236129584;0.162141508145574;0.0409560871114475;0.0653116016652588;0.00627197872197499;0.0919977667296041;0.0831966731152693
Miguel Almiron;0.0294593943210769;0.107153256771142;0.00534511255503501;0.120483429613221;0.0991807765491076;0.0793440726009611;0.109155708482327;0.162141848130101;0.0409565059832845;0.0653121515354175;0.00627211302324741;0.0919981951326215;0.0831974353024571
Nick Pope;0.029459476967602;0.10715339502196;0.00534544406608472;0.12048416702796;0.0991824775836421;0.0793425407442846;0.109157983289424;0.162138936565381;0.0409559035247668;0.0653126338695448;0.00627212005758571;0.0919977799939219;0.0831971412878433
Sean Longstaff;0.0294596951754011;0.107156131474045;0.00534539472640826;0.120482838128874;0.0991798092220932;0.0793491118849232;0.10914976185517;0.162138192649307;0.0409564112362872;0.0653151856675464;0.00627225285772168;0.0919973133194442;0.083197901802778
Tino Livramento;0.0294595275459739;0.107154957981888;0.00534515564140015;0.120483964178191;0.0991795636338873;0.0793472586387134;0.109151622118151;0.162140364149717;0.0409560947774867;0.0653138509767072;0.00627214428222357;0.0919977382754052;0.0831977578002559
