;Adam Marusic;Alessio Romagnoli;Ciro Immobile;Daichi Kamada;Danilo Cataldi;Felipe Anderson;Gustav Isaksen;Ivan Provedel;Luca Pellegrini;Luis Alberto;Mario Gila;Matias Vecino;Matteo Guendouzi;Mattia Zaccagni;Pedro Rodriguez;Taty Castellanos
Adam Marusic;0.106541470760382;0.0875041173743751;0.0442076244124551;0.0160652700760185;0.0364329654609684;0.0834956819400667;0.0337211711741764;0.0480001720424967;0.0906900594847297;0.105512389499616;0.0926118065165704;0.0543898361190407;0.108021884643501;0.0658719360767138;0.0131558676285684;0.0137777467903207
Alessio Romagnoli;0.106528424047418;0.0875127458743512;0.0442098810322941;0.0160661958793539;0.0364344540426074;0.0834861984441373;0.0337148086317296;0.0480029451710312;0.0907013734781952;0.105520072975673;0.0926106045411098;0.0543934131277388;0.108004746691095;0.0658789108173991;0.0131584714587139;0.0137767537871527
Ciro Immobile;0.106525254009259;0.0875148269484378;0.0442104440756066;0.0160664111685822;0.0364348126653792;0.0834839057975456;0.0337132584930471;0.0480035990111559;0.0907041229528823;0.105521962452126;0.0926102802919745;0.0543942963257419;0.108000593355965;0.0658806258658555;0.0131591009369365;0.0137765056495043
Daichi Kamada;0.106537013551798;0.0875070810215252;0.0442083947625116;0.016065588174273;0.0364334778706625;0.0834924194244454;0.0337189913329054;0.0480011239537805;0.0906939284616999;0.105515011824913;0.0926114108400596;0.054391055228085;0.10801602465163;0.065874311195304;0.0131567601840655;0.013777407522341
Danilo Cataldi;0.10653819393207;0.0875063001927396;0.0442081921276117;0.0160655041003071;0.0364333432509061;0.0834932745145602;0.0337195657326084;0.0480008720853416;0.0906929051556582;0.105514316554119;0.0926115182027438;0.054390732152795;0.108017580144385;0.0658736801744454;0.0131565245633475;0.013777497116362
Felipe Anderson;0.106538954804077;0.0875057788976503;0.0442080695416715;0.0160654452898897;0.0364332534089735;0.0834938359349864;0.0337199365114369;0.0480006977212785;0.0906922430461895;0.105513870704689;0.0926115706269302;0.0543905301328024;0.108018608997868;0.0658732828902989;0.01315636915659;0.0137775523346684
Gustav Isaksen;0.10654527784401;0.0875016046565702;0.0442069737409433;0.0160649994461782;0.0364325340154192;0.0834984178297344;0.0337230179302544;0.0479993589265014;0.0906867608151325;0.105510137801914;0.092612166100531;0.0543887922206989;0.108026920497287;0.0658698942692328;0.0131551087305928;0.0137780351749994
Ivan Provedel;0.106535402801751;0.08750815737342;0.0442086723786443;0.0160657032781133;0.0364336637778983;0.083491238636806;0.0337182025640588;0.0480014695707111;0.0906953279275605;0.105515963707144;0.0926112682568378;0.0543914958976513;0.108013895847554;0.065875169523019;0.0131570837390162;0.0137772847198146
Luca Pellegrini;0.106524382265991;0.0875154128793331;0.0442105887971048;0.0160664768455587;0.036434913869756;0.0834832657810858;0.0337128341596617;0.0480037929128602;0.0907048795932791;0.105522469339674;0.0926102132848931;0.0543945299003336;0.107999437970184;0.0658810838276535;0.0131592767934771;0.0137764417791537
Luis Alberto;0.106524074603107;0.0875155985085922;0.0442106428482146;0.0160664973062673;0.0364349454496488;0.0834830614553451;0.0337126903293148;0.0480038533780311;0.0907051419738547;0.105522646314381;0.092610174420155;0.0543946158424352;0.107999050779589;0.0658812532287793;0.0131593346500063;0.0137764189122783
Mario Gila;0.106535719324114;0.0875079295254783;0.0442086187935453;0.0160656787797505;0.0364336234128395;0.0834914924197872;0.0337183635096626;0.0480013967373461;0.0906950491409953;0.105515778458573;0.0926112816902376;0.0543914122309306;0.108014321722262;0.0658750083736691;0.0131570170711162;0.0137773088096934
Matias Vecino;0.106523865122718;0.087515747220228;0.0442106874752476;0.0160665079580516;0.0364349716343039;0.0834828919717152;0.0337125781663787;0.0480038909609419;0.0907053287730011;0.105522785775018;0.0926101497328008;0.0543946796376706;0.107998767832388;0.0658813711460497;0.0131593784793718;0.0137763981141151
Matteo Guendouzi;0.106539247164041;0.0875055973526871;0.0442080123469649;0.0160654259906665;0.0364332210521353;0.0834940548663987;0.0337200809877169;0.0480006425488085;0.0906919912921473;0.105513709346484;0.0926116012750925;0.0543904486692196;0.108018951610738;0.0658731273013166;0.013156313264021;0.0137775749315622
Mattia Zaccagni;0.106521135425456;0.0875175484049251;0.0442111576239677;0.0160667029218079;0.0364352823496635;0.0834809126037977;0.0337112499990854;0.0480044728866977;0.0907076941618118;0.105524386742745;0.092609898899791;0.0543954260370553;0.107995189566709;0.0658828279673007;0.0131599222573209;0.0137761921518658
Pedro Rodriguez;0.106531106220352;0.0875109869073757;0.0442094131879107;0.0160660080422367;0.0364341510771132;0.083488135666841;0.0337161141239189;0.0480023819838244;0.0906990502461005;0.105518492437616;0.0926108645545114;0.0543926740971603;0.108008253590521;0.0658774700469434;0.01315793885392;0.0137769589636538
Taty Castellanos;0.106542178414427;0.0875036654334132;0.0442075117085594;0.016065215077225;0.0364328882800857;0.0834961717829029;0.0337215030802935;0.0480000143275688;0.0906894528886726;0.105511992857579;0.0926118682060199;0.0543896493184967;0.108022800558741;0.0658715638236285;0.0131557295821714;0.0137777946602152
