;Abdulkerim Bardakci;Angelino;Baris Yilmaz;Davinson Sanchez;Dries Mertens;Fernando Muslera;Kaan Ayhan;Kerem Akturkoglu;Lucas Torreira;Mateus Tete;Mauro Icardi;Sacha Boey;Sergio Oliveira;Tanguy Ndombele;Victor Nelsson;Wilfried Zaha
Abdulkerim Bardakci;0.10366306801081;0.0945541541921435;0.0379313551464748;0.132561298578167;0.0291350534324747;0.0789467375994478;0.0464520631971053;0.088417190921541;0.0431657859844556;0.0726754457327682;0.0481059142283922;0.084168283746435;0.0422215249341374;0.0171532052517009;0.0132669628515267;0.067581956192419
Angelino;0.103662086432836;0.0945530593472614;0.0379327849242419;0.132562122581763;0.029135121367198;0.0789458737380746;0.0464517465191323;0.0884172704499618;0.0431653100583344;0.0726754601605779;0.0481066757246491;0.0841685125290347;0.0422224922886483;0.0171531841974922;0.0132673394245892;0.0675809602562047
Baris Yilmaz;0.103651153761329;0.0945343984610427;0.0379434197861819;0.132567724767638;0.0291330621408271;0.0789467226807612;0.0464523782707398;0.0884062103503782;0.0431591823525495;0.0726836026991068;0.0481168244659884;0.0841800008770713;0.0422341665035238;0.0171549102924929;0.0132723200714277;0.0675639225189412
Davinson Sanchez;0.103660367183774;0.0945495253497621;0.0379340294879326;0.132563686543032;0.0291344284539429;0.0789466525972452;0.0464520565634361;0.0884145460227146;0.0431641186320984;0.0726773861610937;0.0481084931877892;0.0841710281722166;0.0422244126281273;0.0171535651551166;0.013268150091609;0.0675775537701089
Dries Mertens;0.103652549409897;0.0945359715387293;0.0379419048012321;0.132566131707555;0.0291334065161027;0.0789468535252851;0.0464525770061762;0.0884073122140008;0.0431598234866693;0.0726826173912246;0.0481157247979493;0.0841789988926819;0.0422332063360467;0.0171548633549622;0.0132717324408316;0.0675663265806565
Fernando Muslera;0.103663050373055;0.094554015959943;0.037931933949897;0.13256125503288;0.0291349615542387;0.078946962576498;0.0464521345587283;0.0884167184445276;0.0431658386631114;0.0726759089578022;0.0481059866484284;0.0841686216791478;0.0422209578514656;0.0171530093208461;0.0132673452673963;0.0675812991620343
Kaan Ayhan;0.10366244566758;0.0945532686855797;0.0379324295068036;0.132561699687752;0.0291349341915953;0.0789467091180233;0.046452038490512;0.0884165438429032;0.0431655324652892;0.0726760504684995;0.0481064576293189;0.0841688976793419;0.0422217276479363;0.0171531204760906;0.0132674593950135;0.0675806850477609
Kerem Akturkoglu;0.10365784897761;0.0945454870500847;0.0379367015624826;0.132565106327596;0.0291343146202451;0.0789457000128125;0.0464518469752582;0.0884133287553417;0.0431626360859872;0.0726781907205718;0.0481107631654877;0.0841728324179876;0.042227594749819;0.0171539346001257;0.0132690578484522;0.0675746561301374
Lucas Torreira;0.10365951448268;0.0945488768740215;0.0379355546183899;0.132561522745621;0.0291349313573974;0.0789463899089624;0.0464521177422585;0.0884147246515177;0.0431642302603019;0.0726774362863477;0.048108887745786;0.0841712295255832;0.0422249871714543;0.0171535850385611;0.013268698007032;0.0675773135840855
Mateus Tete;0.103659468566826;0.0945480161229873;0.0379352585902681;0.132563073630846;0.0291344913161183;0.0789466639226489;0.0464521831942024;0.0884138513240805;0.0431637719199494;0.0726779292213006;0.0481092698047673;0.084171920172834;0.0422252712397063;0.017153657315468;0.0132687131862734;0.0675764604717232
Mauro Icardi;0.1036572419901;0.0945442309358072;0.0379371752804658;0.132564576680691;0.0291341629436423;0.0789463713852945;0.0464521590125204;0.0884121401333444;0.0431623951077491;0.0726790774867839;0.0481113416813051;0.0841739120298102;0.0422281414632522;0.0171541044134969;0.0132694623648115;0.0675735070909261
Sacha Boey;0.10365761212329;0.0945445958561468;0.0379366580860109;0.132564420850758;0.0291341257127375;0.078946630281563;0.0464522607272783;0.0884121169907277;0.0431625485638218;0.0726790816789191;0.0481110747416148;0.0841738123018161;0.0422277971934102;0.0171540997170979;0.01326932014219;0.0675738450326189
Sergio Oliveira;0.103653737805414;0.0945364397350713;0.0379400439647704;0.132567760246471;0.0291331226667872;0.0789467721592905;0.0464525690780806;0.0884076766486178;0.0431596454493716;0.0726819370461223;0.0481152390645172;0.0841785894041775;0.0422329699890064;0.0171549128833365;0.0132709982102582;0.0675675856487072
Tanguy Ndombele;0.103655366854869;0.0945413073199276;0.0379392139236679;0.132564943421489;0.0291337825462417;0.0789469835376787;0.0464523914932631;0.0884098671498662;0.0431615938617414;0.0726809091718406;0.0481129617946743;0.084176039547362;0.0422295832968609;0.017154310246157;0.0132705320144682;0.0675702138198916
Victor Nelsson;0.103663230816573;0.0945536255835414;0.0379311058363092;0.132562462701236;0.0291346117201259;0.0789472677150833;0.0464522129654586;0.0884161894306907;0.043165540377801;0.072676119583679;0.0481060996816164;0.0841689692127488;0.0422212337517104;0.0171531599420766;0.013267093718779;0.0675810769625704
Wilfried Zaha;0.10365882712324;0.0945476356773204;0.037935837710185;0.132560482989582;0.0291350868952687;0.0789465061275853;0.046452321114151;0.0884143648111653;0.0431639528620423;0.0726775959520898;0.0481094404012639;0.0841718314037566;0.0422262832579515;0.0171539266537643;0.0132688087491482;0.0675770982714863
