;Alessio Romagnoli;Ciro Immobile;Daichi Kamada;Elseid Hysaj;Felipe Anderson;Ivan Provedel;Luca Pellegrini;Luis Alberto;Manuel Lazzari;Matias Vecino;Matteo Guendouzi;Mattia Zaccagni;Nicolo Rovella;Patric Gil;Pedro Rodriguez;Taty Castellanos
Alessio Romagnoli;0.106772510335886;0.0416015088861958;0.0431110807740856;0.0835985953131873;0.0959540257508116;0.0576276595934088;0.00711834178373519;0.110750372552626;0.0667582399320992;0.0622044145047005;0.05608962976383;0.0597052528402289;0.00949747469472195;0.143297087281199;0.0266234175200246;0.0292903884732598
Ciro Immobile;0.106769817360343;0.0416018436080805;0.0431119996222021;0.0836021761839722;0.0959527708351159;0.0576287033866121;0.00711822085557366;0.110750688824929;0.0667579234490536;0.0622047081594314;0.0560902753211261;0.0597028683391064;0.00949747049771072;0.143297327472386;0.0266231589608763;0.0292900471234804
Daichi Kamada;0.106767150045232;0.041600885748076;0.043111614244642;0.0836016481880428;0.0959541314610997;0.0576286133080566;0.00711879632353277;0.110751676226544;0.0667585196745554;0.0622047721093434;0.0560926974468298;0.059698463541471;0.00949844516313777;0.143296278241607;0.0266246883747823;0.0292916199030476
Elseid Hysaj;0.106766911373418;0.0416022786071987;0.0431131095619628;0.0836063701924712;0.0959511635715159;0.0576299935122055;0.00711805371327114;0.110751012807223;0.0667576473588198;0.0622050823827641;0.0560908469456843;0.0597003387024263;0.00949738359436095;0.143297550241905;0.0266227232534022;0.0292895341813716
Felipe Anderson;0.10677018085219;0.0416003824181369;0.0431103892990725;0.0835968767095852;0.0959558127099286;0.0576270747576959;0.00711902048136976;0.110751421418261;0.0667588394586622;0.0622043641272903;0.0560923565910939;0.0597011230210774;0.00949864353808399;0.143295916582319;0.0266253089101793;0.0292922891250535
Ivan Provedel;0.106769186026668;0.0416015207672928;0.0431118347837794;0.0836018354944657;0.0959532611098517;0.0576286622041608;0.00711838916403408;0.11075093926722;0.0667581324389681;0.0622047196762377;0.0560909578158097;0.0597016224638381;0.00949774545130103;0.143297077727408;0.026623607168329;0.0292905084406345
Luca Pellegrini;0.106764372466515;0.0415992680751341;0.0431103160080903;0.0835979277262083;0.0959570073810818;0.0576270883453662;0.00711991050942709;0.110753348287041;0.0667593413773915;0.06220452275239;0.0560966079910402;0.0596935943559098;0.00950029643518973;0.14329392987013;0.0266277705771588;0.029294697841926
Luis Alberto;0.106769436463066;0.0416008569753853;0.0431110050346802;0.083599141844662;0.0959548188490873;0.0576277300821632;0.00711880819869062;0.110751346977047;0.0667585192850011;0.062204498211916;0.0560918651115567;0.0597010784694463;0.00949833752418385;0.143296170189659;0.0266247149694236;0.0292916718140316
Manuel Lazzari;0.106769294408735;0.0416007570756044;0.0431110088347397;0.0835991396202282;0.0959548393658084;0.0576278394896784;0.00711882717279759;0.110751372160926;0.06675866071763;0.0622045524432351;0.0560920537621147;0.0597006272041027;0.00949836977887158;0.143296199632073;0.0266247451319327;0.0292917132015221
Matias Vecino;0.106768795973897;0.041600881857061;0.0431112465549835;0.0835998604729528;0.0959543696488868;0.0576280146704873;0.00711878730292774;0.110751444502889;0.0667585976271547;0.0622046285414059;0.0560922175602971;0.0597003293846785;0.0094983625935237;0.143296217602518;0.0266246590987308;0.0292915866076059
Matteo Guendouzi;0.106766825475148;0.0416008094378032;0.0431116113154753;0.0836014558736351;0.0959540307406367;0.057628500690488;0.00711887372882199;0.110751855761711;0.0667586244789083;0.0622048024126362;0.0560931680180445;0.0596980738175856;0.00949860893632515;0.143296040979256;0.0266249090386181;0.0292918092949063
Mattia Zaccagni;0.106772474934379;0.0416017031817566;0.0431112898484542;0.0835991580776827;0.0959535500275154;0.0576278023271283;0.0071182562218691;0.110750325167872;0.0667581585454319;0.0622044632681723;0.0560894479880449;0.0597055503135916;0.00949735508704181;0.143297154067585;0.026623183115049;0.0292901278284254
Nicolo Rovella;0.106764342345461;0.0415990159563118;0.0431100725648282;0.0835973398662542;0.0959576192702297;0.0576269833383048;0.00712003527774377;0.110753448858988;0.0667595155967457;0.0622044794978115;0.0560968036614748;0.0596930992826088;0.00950043840877849;0.143293707399377;0.0266280573827324;0.0292950412923486
Patric Gil;0.106767219981054;0.0416012159171011;0.0431119598199076;0.0836025242669083;0.0959532957111895;0.0576288501321926;0.00711862413450322;0.110751526467493;0.0667583643117411;0.0622048602308707;0.0560923612862221;0.0596990588526463;0.00949822067463345;0.143296548185302;0.0266242393670219;0.0292911306612136
Pedro Rodriguez;0.106768598766815;0.0415986201003224;0.0431087351352917;0.0835917490677621;0.0959591964413651;0.0576252230011408;0.00712016182868986;0.110752920250509;0.0667598461657268;0.0622040112304968;0.0560959084971549;0.0596972367068378;0.00950043189491489;0.14329352587536;0.0266284194815609;0.0292954155560521
Taty Castellanos;0.106765319513467;0.041599499704049;0.0431104140640915;0.0835982480918233;0.0959567947064187;0.0576273433418101;0.00711969533823369;0.110752909842462;0.0667592271203827;0.0622045307906858;0.0560956226827181;0.0596947386280928;0.00949989341427043;0.143294483943419;0.0266271471533394;0.0292941316647361
