;Alhassan Yusuf;Arbnor Muja;Arthur Vermeeren;Chidera Ejuke;George Ilenikhena;Gyrano Kerk;Jelle Bataille;Jurgen Ekkelenkamp;Kobe Corbanie;Michel-Ange Balikwisha;Owen Wijndal;Ritchie De Laet;Senne Lammens;Soumaila Coulibaly;Van Den Bosch;Vincent Janssen
Alhassan Yusuf;0.115228016903926;0.0243594896420981;0.0926500555039198;0.0275718199765169;0.0294636340041615;0.0659582887016667;0.0653785246050508;0.0284895502980386;0.0214480684042053;0.0339840388984696;0.0965818922839939;0.042761583377875;0.119824365725798;0.122152193030785;0.108915802210745;0.00523267643275083
Arbnor Muja;0.115228976617365;0.024359594300313;0.0926521316539868;0.0275714097693243;0.0294636142714709;0.0659581179639223;0.0653774542460041;0.0284895722624911;0.0214474572363994;0.0339837943887389;0.0965805183193976;0.0427614357130177;0.119822484335052;0.122153843695691;0.108916912065093;0.0052326831617324
Arthur Vermeeren;0.115227365055371;0.0243595817301208;0.0926494023657042;0.0275719974193585;0.0294636203875866;0.0659581797509689;0.0653789095152331;0.0284895335937591;0.02144834292174;0.0339838258261816;0.0965828000909639;0.042761209164922;0.119825767539264;0.122151286710594;0.108915520808143;0.00523265712008932
Chidera Ejuke;0.115228007533987;0.024359565920259;0.0926503086211467;0.0275719103096429;0.0294632423555053;0.0659584474587871;0.0653780906505068;0.0284891710844803;0.0214480103096437;0.0339838910858019;0.0965812862889512;0.0427609842004232;0.119825228841965;0.122153207415773;0.108916005350157;0.00523264257296869
George Ilenikhena;0.115227803171085;0.0243594419077436;0.0926474284563787;0.0275724081304162;0.0294630396527548;0.0659591681599906;0.0653789577396328;0.0284890054888928;0.0214486412491411;0.0339845038050943;0.096581483192233;0.0427606931068002;0.11982809452128;0.122152534892659;0.108914226635825;0.00523256989007387
Gyrano Kerk;0.115228973297;0.0243594850358513;0.0926499757303141;0.0275715171018295;0.0294643028933965;0.06595853696742;0.065378503523187;0.0284901760877462;0.0214478893559505;0.0339843650622542;0.0965815214209814;0.0427620170010246;0.119822964865946;0.122151677457472;0.108915417115535;0.00523267708409153
Jelle Bataille;0.115228010655652;0.0243595520792214;0.092649949891419;0.0275718805907681;0.0294635861063369;0.0659586817221992;0.0653782443512489;0.0284893849578888;0.0214480622466213;0.0339840537981279;0.0965815595190521;0.0427612515917299;0.119824892943366;0.122152522206624;0.10891571084728;0.00523265649246371
Jurgen Ekkelenkamp;0.115227667179546;0.0243593225642165;0.0926490352929656;0.0275718251655134;0.0294644648900369;0.0659589403193071;0.0653790913762511;0.0284899627185447;0.0214482651214124;0.0339846071650195;0.0965828485240642;0.0427627821944905;0.119823021876582;0.122150327019513;0.108915087136911;0.00523275145562626
Kobe Corbanie;0.115228276623176;0.0243595122046502;0.0926503877995334;0.0275717012115696;0.0294638764049752;0.0659586713205643;0.0653781497135061;0.0284896145001838;0.0214479011383997;0.0339841325359309;0.0965815011639682;0.0427616763373386;0.119823636136387;0.122152384837576;0.108915893086596;0.00523268498564461
Michel-Ange Balikwisha;0.115227910532932;0.0243597274263966;0.0926536311238755;0.027571211271759;0.0294639638230034;0.0659569454149147;0.0653777826706741;0.0284899070135096;0.0214474097340445;0.0339830257211919;0.0965824554615894;0.0427618640859057;0.119821107213513;0.122152197073455;0.108918085645289;0.00523277578794656
Owen Wijndal;0.115228392258337;0.0243594866755869;0.0926484808058768;0.0275721275294363;0.0294632351814031;0.0659591157785882;0.0653784538777455;0.0284891844794984;0.0214482999693702;0.0339844326682814;0.0965808851487072;0.0427607897915434;0.119826727020171;0.122153076828485;0.10891473097405;0.00523258101292006
Ritchie De Laet;0.115228119060235;0.0243595137816573;0.0926504005688348;0.0275716756283998;0.0294641593589789;0.0659589439423059;0.0653781186955573;0.0284896894050989;0.0214478993849308;0.0339842280979817;0.0965817177724629;0.0427619657197408;0.119823053854141;0.122151923845088;0.108915874635754;0.00523271624883317
Senne Lammens;0.115228779345375;0.0243595278309993;0.0926518944105293;0.0275715095689083;0.0294634776407693;0.065958144300512;0.0653775807492535;0.0284894310169304;0.0214475428292249;0.0339838805169757;0.0965805910842387;0.0427615548114493;0.119822657606186;0.122153902638731;0.108916833479457;0.00523269217046058
Soumaila Coulibaly;0.115227061120607;0.0243596831425583;0.0926508948793441;0.0275717399090243;0.0294638689287323;0.0659574612871929;0.0653787849071408;0.0284897745768542;0.0214481206706992;0.0339833233270412;0.096583536728468;0.0427614627646663;0.119824289700693;0.122150762261853;0.108916521268308;0.00523271452681757
Van Den Bosch;0.115227433528456;0.0243595095034688;0.0926478990521754;0.027572233743639;0.0294636237089555;0.0659589943793104;0.0653790890387881;0.0284894011105894;0.0214485938106456;0.0339843098085043;0.0965824913732425;0.0427611044752599;0.119826974186757;0.122151213699451;0.108914508478443;0.00523262010231497
Vincent Janssen;0.115226141190148;0.0243594171435378;0.0926469488181742;0.0275724535555485;0.029463835167154;0.065958624420911;0.0653801224781839;0.028489550441726;0.0214490304708595;0.0339842110292323;0.0965845268071708;0.0427616499391339;0.119827502512319;0.122149122529612;0.108914197165468;0.0052326663308206
