;Anthony Racioppi;Aurele Amenda;Cedric Itten;Cheikh Niasse;Darian Males;Filip Ugrinic;Lewin Blum;Loris Benito;Meschack Elia;Mohamed Ali Camara;Noah Persson;Saidy Janko;Sandro Lauper;Silvere Ganvoula;Ulisses Garcia
Anthony Racioppi;0.04872749653488;0.0857408089120379;0.0106188891062514;0.0825539123684775;0.0245191978708809;0.0820821947503591;0.02703782859702;0.159284537671107;0.0563399848273136;0.117797129359781;0.0219141770603947;0.0523935623104628;0.0847547088729546;0.0295151186945748;0.116720453063504
Aurele Amenda;0.0487274801565601;0.0857414610233085;0.0106187744972727;0.0825544806522776;0.0245191849813267;0.0820822587912623;0.0270377461774988;0.159285172029115;0.0563399210756188;0.117796353836945;0.0219140630837805;0.0523932127218182;0.0847551656172293;0.0295151736233016;0.116719551732685
Cedric Itten;0.0487273576922174;0.085741515542138;0.0106187048849588;0.0825548770761675;0.0245193304489669;0.0820824229135992;0.0270376055936729;0.159285486453617;0.0563398918407418;0.117795837234298;0.0219139799336336;0.0523930035229413;0.0847554436990729;0.0295154171635517;0.116719126000423
Cheikh Niasse;0.0487272560132268;0.0857411980082364;0.0106187523078044;0.0825544993117618;0.0245193054031047;0.0820823987087114;0.0270379480541897;0.159285100456929;0.0563400565017332;0.11779606428478;0.0219141219659455;0.0523930431283065;0.0847551344802696;0.0295153690661654;0.116719752308836
Darian Males;0.0487271238085978;0.0857424342150156;0.0106182414539085;0.0825569998398943;0.0245203346295966;0.0820830742079363;0.0270367009231556;0.159287694274131;0.0563394663433249;0.11779315156921;0.0219134298650363;0.0523917930479819;0.0847568227519589;0.0295170215309553;0.116715711539297
Filip Ugrinic;0.0487271315081759;0.0857413309105949;0.0106186272245944;0.0825550915492975;0.0245196122929847;0.0820826257343538;0.0270377077595057;0.159285659339509;0.0563399657688684;0.117795293299581;0.0219139788851509;0.0523927001629144;0.0847555126484616;0.0295158554178625;0.116718907498145
Lewin Blum;0.0487268580097499;0.0857382954687267;0.0106193614349604;0.0825507941381163;0.0245187044839075;0.0820818935836817;0.0270402974783731;0.159281218862068;0.0563412083639708;0.117799538506808;0.0219152762876642;0.0523942503724732;0.0847522818848667;0.0295142736449125;0.116725747479722
Loris Benito;0.0487271910185736;0.0857415751145651;0.0106186390724285;0.0825550400418852;0.0245194427166185;0.082082533112641;0.027037804789435;0.159285660955348;0.0563399855201276;0.117795334501366;0.0219140034965748;0.0523927133475098;0.0847555217553394;0.0295156232539834;0.116718931303604
Meschack Elia;0.0487270895041501;0.085740031282081;0.0106189362991517;0.0825534301530893;0.0245192849489619;0.0820823433423723;0.0270384961481592;0.159283889856786;0.0563403652943904;0.117797147731922;0.0219144349204829;0.0523934475155031;0.0847542693911571;0.0295152509619019;0.116721582649891
Mohamed Ali Camara;0.0487274577091339;0.0857410893477566;0.010618807832911;0.0825543102662823;0.0245192932586714;0.0820822877135432;0.0270377090187862;0.159284951929773;0.0563399260681908;0.117796610238035;0.021914086008867;0.0523933325275838;0.0847549978295088;0.0295152952963952;0.116719844954562
Noah Persson;0.048726906939041;0.0857390753409728;0.0106191749403162;0.0825518405780173;0.0245189167483069;0.0820820703765249;0.0270397313510369;0.159282317719789;0.0563409299177745;0.117798443503922;0.021914973807628;0.0523938288829618;0.0847530679224591;0.029514653856983;0.116724068114267
Saidy Janko;0.048727463818179;0.0857410508996382;0.0106188294902987;0.0825542107308457;0.0245192419633045;0.0820822591089185;0.0270377604478915;0.159284844522392;0.0563399506237711;0.117796725855841;0.0219141147263593;0.0523933835864672;0.0847549329630741;0.0295152162414543;0.116720015021565
Sandro Lauper;0.0487271979441923;0.0857412625517797;0.0106187285818013;0.0825546191711573;0.0245193155658136;0.0820824441834813;0.0270379705991201;0.159285198579521;0.0563400764788784;0.117795849739667;0.0219141125521519;0.0523929459460468;0.0847552266252395;0.0295154037275754;0.116719647753575
Silvere Ganvoula;0.0487268888122814;0.085742149831398;0.0106182752526881;0.0825567951439763;0.0245202452702178;0.0820831347794418;0.0270370894066501;0.159287363176719;0.0563396978935883;0.117793089679974;0.0219135724112721;0.0523917301114934;0.0847566811381368;0.0295169129442268;0.116716374147937
Ulisses Garcia;0.0487271951295034;0.0857403471357513;0.010618871423521;0.0825538611250745;0.0245193829241267;0.082082386926956;0.0270381088290341;0.159284352387902;0.0563401738267172;0.117796854055524;0.0219142710623215;0.0523933734935348;0.08475459687207;0.0295154034187352;0.116720821389228
