;Alan Varela;Danny Namaso;David Carmo;Diogo Costa;Evanilson;Fabio Cardoso;Francisco Conceicao;Galeno;Ivan Jaime;Joao Mario;Mehdi Taremi;Nico Gonzalez;Pepe;Romario Baro;Stephen Eustaquio;Wendell
Alan Varela;0.119025796966043;0.00994050603098845;0.112161618746122;0.0706649309338371;0.0115416372488947;0.087027367854841;0.0264945296443448;0.0583812045501114;0.0263963176868854;0.0633197088239497;0.0327865330014093;0.0351231336838384;0.0728971215528134;0.0602297463769231;0.0736184508642959;0.140391396034702
Danny Namaso;0.119027856172083;0.00994057940629347;0.112162528951668;0.0706624515148008;0.0115408868751729;0.08702567391463;0.0264962736720111;0.0583825442170522;0.0263986988441471;0.0633185740107372;0.0327870221248647;0.0351235267673375;0.0728975183042201;0.0602283161490819;0.073620260455178;0.140387288620722
David Carmo;0.11902988810013;0.00994028616803904;0.112164522443451;0.070663648827518;0.0115406665285046;0.0870268621345912;0.026495629906501;0.0583821762722646;0.0263983542284808;0.0633195320995951;0.0327867329131344;0.0351225011491748;0.0728966999454395;0.0602286814928981;0.0736193385166578;0.14038447927362
Diogo Costa;0.119025071393794;0.00994055570303475;0.112161173126343;0.0706648937528603;0.0115417812589958;0.0870273218778349;0.0264944641500589;0.0583811194488373;0.0263961220827583;0.0633196753644469;0.0327865284608523;0.0351232914349608;0.0728972505661903;0.0602298094317423;0.0736184774508685;0.140392464496421
Evanilson;0.119025356850436;0.00994038923769667;0.112162917433283;0.0706643033465812;0.0115417741448682;0.0870279768840268;0.0264943434311718;0.0583811153967835;0.0263963020634326;0.0633202190378383;0.0327864066727366;0.0351227342261137;0.072897065542907;0.0602296566731344;0.0736185604865505;0.140390878572439
Fabio Cardoso;0.119028127491231;0.00994038170999283;0.112163959148459;0.0706633041490569;0.011541033531053;0.0870270149235503;0.0264955256840729;0.0583819617770566;0.0263980115260565;0.0633195161399012;0.0327866768667613;0.0351227901586103;0.0728970429535513;0.0602287667329626;0.0736193555501011;0.140386531657584
Francisco Conceicao;0.119027438826805;0.00994054451446191;0.112162308604711;0.0706630636669808;0.0115410493281773;0.0870260647671618;0.0264958218199497;0.0583822638135081;0.0263981218967493;0.0633188516685869;0.0327869297989112;0.0351233823981409;0.0728973894210508;0.0602286765460077;0.0736198588581958;0.140388234070602
Galeno;0.119029804185127;0.00994029883856798;0.112163698349812;0.070664280347009;0.0115406991255629;0.0870267855832712;0.0264953872768719;0.0583821232220128;0.0263979765867832;0.063319444349832;0.0327867820795892;0.0351225580397886;0.0728966368149;0.0602289781849475;0.0736191096382135;0.140385437377712
Ivan Jaime;0.119028344838654;0.00994051820855787;0.112162503138704;0.0706632441839484;0.0115408529613582;0.0870259339970913;0.026495941895759;0.0583823682474005;0.0263983360375835;0.0633187922248115;0.0327869569981688;0.0351233109384395;0.0728972513662915;0.060228609504352;0.0736198346117498;0.14038720084713
Joao Mario;0.119028506574017;0.0099403820154009;0.112163618406371;0.0706640860995301;0.0115410019040226;0.0870270300106045;0.0264953037504204;0.058381776711699;0.0263976860446546;0.0633196364398868;0.0327866186850726;0.0351227570645499;0.0728968523623045;0.0602289986809432;0.073619016515926;0.140386728734597
Mehdi Taremi;0.119026655408949;0.00994042404928156;0.112162370546185;0.0706647116538263;0.0115414520124008;0.0870274109401485;0.0264946466997439;0.0583813917802229;0.0263966563562694;0.0633197713355422;0.0327865625002644;0.0351228862256028;0.0728969779009785;0.0602295908549165;0.0736185783548959;0.140389913380772
Nico Gonzalez;0.119024150059247;0.009940746912231;0.112160324112749;0.0706635301152164;0.011541784965414;0.0870262575737275;0.026495215963202;0.0583815771061493;0.0263968256744424;0.0633189681195853;0.0327867714626825;0.0351239724893002;0.0728978256944345;0.0602292351322544;0.0736194988261412;0.140393315793223
Pepe;0.119027728480611;0.00994045288745179;0.112163087778019;0.0706632893291976;0.0115410643438538;0.0870266199495715;0.0264955964627543;0.0583820773908716;0.0263979680689958;0.0633192167537602;0.0327867932196975;0.0351230573355513;0.0728971954187383;0.0602287926280612;0.0736195276079491;0.140387532344915
Romario Baro;0.119027633517751;0.00994034119919089;0.112163862317946;0.0706640024729756;0.0115412360529756;0.0870275652184909;0.0264950076622772;0.0583815773550343;0.0263973405019663;0.0633198972268308;0.0327865251109811;0.0351226120199118;0.0728968939049701;0.0602291733497522;0.0736188278080624;0.140387504280883
Stephen Eustaquio;0.119026501130004;0.00994041174538186;0.112162745709532;0.0706644141208299;0.0115414827326417;0.0870274640015531;0.0264946733124526;0.0583813757727391;0.0263967250878173;0.0633199079041309;0.0327865240202201;0.035122832377389;0.0728969932152799;0.0602294820072874;0.0736187201183219;0.140389746744419
Wendell;0.119026590481215;0.00994043149002919;0.112163084814189;0.0706636392554672;0.0115413958303828;0.0870272269594602;0.0264950696879252;0.0583816422370632;0.0263972626355825;0.0633196758878333;0.0327866110575131;0.0351229263251159;0.0728971645672073;0.0602291366375383;0.0736191378835249;0.140389004249952
