;Alex Meret;Amir Rrahmani;Eljif Elmas;Giacomo Raspadori;Giovanni Di Lorenzo;Giovanni Simeone;Jens Cajuste;Jesper Lindstrom;Khvicha Kvaratskhelia;Leo Ostigard;Mario Rui;Mathias Olivera;Matteo Politano;Natan;Piotr Zielinski;Stanislav Lobotka
Alex Meret;0.0163007927232522;0.09177189132777;0.0608549342141339;0.0322667316321191;0.12315496608178;0.0171802019701119;0.0354548177697135;0.00435503032480556;0.101695355459477;0.00134867250453915;0.136447009392403;0.0201494940072224;0.0559577173110533;0.0839516686438227;0.10688553062045;0.112225186017346
Amir Rrahmani;0.0163008132873526;0.0917718495523409;0.0608549126945787;0.0322667151907239;0.123155331040545;0.0171801953996176;0.0354547794727281;0.00435502188888098;0.101695376117722;0.00134867090095721;0.136447047721967;0.0201494841865469;0.055957594308989;0.0839516318724427;0.106885375106383;0.112225201258225
Eljif Elmas;0.0163008407495668;0.0917718623401633;0.0608549637873774;0.0322666973211336;0.123155607222513;0.0171801983055935;0.0354548489020372;0.00435503013031207;0.101695225846519;0.00134866934733855;0.136446843397508;0.0201494699685754;0.0559577418187409;0.0839515640078546;0.10688526655831;0.112225170296456
Giacomo Raspadori;0.0163006944661375;0.0917722383096344;0.0608550359327236;0.0322667876930197;0.123153641545197;0.0171802148147345;0.0354549330489795;0.00435505448869945;0.101695168728137;0.00134867179058751;0.136447241115584;0.0201495578478539;0.0559580687928218;0.083951568725422;0.106886027315066;0.112225095385402
Giovanni Di Lorenzo;0.0163006155863627;0.0917729369272742;0.0608552969282249;0.0322668449739599;0.123152290084937;0.017180197802737;0.0354554316147338;0.0043551195951966;0.10169425738424;0.00134865590962001;0.136446970254738;0.0201495779448335;0.0559592761573964;0.0839511068856479;0.106886563227385;0.112224858722713
Giovanni Simeone;0.0163007172603791;0.0917727799571817;0.0608553448923632;0.032266779990611;0.123153509846234;0.0171802004249417;0.0354554866200562;0.00435512066784097;0.101694088986968;0.00134865430153084;0.136446499739034;0.0201495226371028;0.0559593348964356;0.0839510283586329;0.106886086053532;0.112224845367156
Jens Cajuste;0.01630087189682;0.0917715302440627;0.0608548015139807;0.0322666773612009;0.12315621945815;0.0171801946315229;0.0354545933865853;0.00435499393056597;0.101695698477636;0.00134867529428511;0.136447055602728;0.0201494555846968;0.0559571139565278;0.083951787622053;0.106885030109874;0.11222530092931
Jesper Lindstrom;0.0163011130966868;0.0917705067878443;0.060854474382782;0.0322665266691264;0.123159704695796;0.0171801767371614;0.0354540936235311;0.00435490926558559;0.101696509378632;0.00134868340327336;0.136446802059828;0.0201493218735765;0.0559557425091182;0.0839521570197644;0.106883683513488;0.112225594983806
Khvicha Kvaratskhelia;0.0163007193118512;0.0917721620857005;0.0608550080375881;0.0322667646193244;0.123154106971069;0.0171802125510077;0.0354548548024712;0.00435504173472516;0.101695243592479;0.00134867139720084;0.136447324341701;0.0201495524920597;0.0559578498857232;0.0839515450821273;0.106885822028553;0.112225121066418
Leo Ostigard;0.0163004351146486;0.0917743582083454;0.060855866300149;0.0322669660005762;0.123149255411292;0.017180188826918;0.0354564106493076;0.00435525501901995;0.101692477707653;0.00134862948817993;0.136446476110683;0.0201496492913426;0.0559616941479136;0.0839502274407372;0.106887745346214;0.112224364937019
Mario Rui;0.0163007085398832;0.0917721188925046;0.0608549861189642;0.0322667842041362;0.123153809297766;0.01718021248588;0.0354548827748458;0.00435504678507437;0.101695296792787;0.00134867387665806;0.136447206942563;0.0201495440721475;0.0559579472134532;0.0839516659318997;0.106885980258985;0.112225135812451
Mathias Olivera;0.0163008664305737;0.0917717164918666;0.0608549275328398;0.032266685241151;0.123155898834282;0.01718020158378;0.0354548023921949;0.00435502383177489;0.10169534247467;0.00134867224611715;0.136446738446909;0.0201494537462049;0.0559576283672852;0.0839516656532363;0.106885169827478;0.112225206899636
Matteo Politano;0.0163008955619052;0.0917714976512272;0.060854810079985;0.0322666645538278;0.123156483722504;0.0171801925028681;0.0354546194138139;0.0043549952876906;0.101695645589189;0.00134867441700375;0.136446922772724;0.0201494388745249;0.0559571581177955;0.083951770621261;0.106884933336074;0.112225297497606
Natan;0.016300727295592;0.0917722722355647;0.0608550478562568;0.0322667610686761;0.123154188373851;0.0171802002613081;0.0354549525044314;0.00435505051262718;0.101695031065562;0.00134866580647601;0.136447230439974;0.0201495398085775;0.0559580536675899;0.0839514088900458;0.106885789469641;0.112225080743826
Piotr Zielinski;0.0163007875298228;0.0917717839642542;0.0608548651455762;0.0322667197753051;0.123155181806245;0.0171802089607251;0.0354546202329871;0.00435500605685616;0.101695641705112;0.00134867604903772;0.136447378730236;0.020149519329363;0.0559572420733583;0.0839517227555802;0.106885401331715;0.112225244553825
Stanislav Lobotka;0.0163007372025408;0.0917722000375346;0.0608550322632505;0.0322667563048873;0.123154293744378;0.0171802040736718;0.0354549250802161;0.00435504748766434;0.101695099599641;0.00134866787271591;0.136447188357282;0.020149534746884;0.0559579920263628;0.0839514673862264;0.106885755331419;0.112225098485325
