;Alejandro Garnacho;Andre Onana;Antony;Bruno Fernandes;Casemiro;Christian Eriksen;Diogo Dalot;Hannibal Mejbri;Marcus Rashford;Mason Mount;Raphael Varane;Rasmus Hojlund;Sofyan Amrabat;Victor Lindelof
Alejandro Garnacho;0.0288328364169366;0.0808370967555899;0.0163814753895338;0.111468252551185;0.104071453493627;0.0810728716463722;0.0724502531677312;0.056917640184911;0.0572136064616148;0.0907413972754843;0.0913507741801419;0.0442758378304053;0.0739490903478043;0.0904374142986631
Andre Onana;0.028833820621495;0.0808358624075689;0.0163808574756862;0.111467823757534;0.104070549556256;0.0810714387426306;0.0724496989889086;0.0569160160995285;0.0572128157595391;0.0907395114391336;0.0913550352040466;0.0442752506988179;0.0739490275078642;0.0904422917409904
Antony;0.0288309334058658;0.0808315695137122;0.0163820258854189;0.111473043288393;0.104072748162125;0.0810711330191096;0.0724501261027788;0.0569195362551824;0.0572164301746447;0.09074522715615;0.0913481984985901;0.0442776445120641;0.0739482533544447;0.0904331306715206
Bruno Fernandes;0.0288311855431732;0.0808309430004321;0.0163818480215058;0.111473118697555;0.104072499157439;0.081070638295224;0.0724498424390911;0.0569191040045469;0.0572162728345915;0.0907447801026921;0.0913495730364223;0.0442774785794661;0.0739481945056619;0.0904345217821986
Casemiro;0.0288321887055709;0.0808340147366237;0.0163815666050715;0.111470488024815;0.104071817974785;0.0810716125235234;0.0724500011279272;0.0569181019199967;0.0572147587912877;0.0907427433939313;0.0913507809496028;0.0442765399930341;0.0739486542130235;0.0904367310408068
Christian Eriksen;0.0288330265767843;0.0808354550974758;0.0163812387603598;0.111468873386427;0.104071200692698;0.0810717830753015;0.0724499518648104;0.0569171000755332;0.0572136923016007;0.090741053495196;0.0913525916538785;0.0442758543013083;0.0739489073654506;0.0904392713531767
Diogo Dalot;0.0288320041507842;0.0808337334606675;0.0163816408675866;0.11147083298063;0.104071960639593;0.0810715945901884;0.072450013740627;0.0569183317216707;0.0572149939310791;0.0907431093392089;0.0913503566889237;0.0442766893142731;0.0739486034339762;0.0904361351407914
Hannibal Mejbri;0.0288314908072535;0.0808330260692478;0.0163818469775941;0.111471706141296;0.104072357210467;0.0810715221668412;0.0724501925143692;0.0569189355094683;0.0572156352466967;0.0907440912458188;0.0913490387715225;0.044277153066084;0.073948479124152;0.0904345251491891
Marcus Rashford;0.0288324510301033;0.0808347401541156;0.0163814920575447;0.111469850788872;0.104071657442232;0.0810718322610409;0.0724500037451597;0.0569178504211078;0.057214372478499;0.0907422102937109;0.0913511427078151;0.0442762943875546;0.0739487817958963;0.0904373204363478
Mason Mount;0.0288315064999731;0.080832277894217;0.0163817809606545;0.111472088807125;0.104072296926776;0.0810711222207499;0.0724499994797203;0.0569188171918059;0.0572157406002893;0.0907441022448984;0.0913496824522158;0.0442771725186319;0.0739483804486014;0.090435031754342
Raphael Varane;0.0288328129076714;0.0808379316372388;0.0163815546757896;0.111467855043432;0.104071526879647;0.0810733518424368;0.0724504109541328;0.0569178014238024;0.0572134961701656;0.0907414119389103;0.0913500753240076;0.0442757953964511;0.0739491948769196;0.0904367809293955
Rasmus Hojlund;0.0288308607042349;0.0808317724133924;0.0163820866752518;0.11147302564878;0.104072816793724;0.0810713363882664;0.0724501278131426;0.0569196917342995;0.0572164550627526;0.0907453908207985;0.0913478387958599;0.0442776493766051;0.0739482704510401;0.0904326773218517
Sofyan Amrabat;0.0288331229401609;0.0808377821033679;0.0163813766160295;0.111467600752283;0.104071242023215;0.081073039928452;0.0724502706982137;0.0569173193185845;0.0572132113215549;0.0907408181941656;0.0913512662526154;0.0442755866872538;0.0739491912103096;0.0904381719537938
Victor Lindelof;0.0288331064660594;0.0808378170783096;0.0163813903277839;0.111467609505519;0.104071268913476;0.0810730771094108;0.0724502659831103;0.0569173605630016;0.0572132231384706;0.090740848065666;0.0913511830046635;0.0442755914264694;0.0739492007510383;0.0904380576670216
