;Aissa Laidouni;Alex Kral;Brenden Aaronson;Christopher Trimmel;Danilho Doekhi;David Fofana;Diogo Leite;Frederik Ronnow;Janik Haberer;Kevin Behrens;Kevin Volland;Lucas Tousart;Rani Khedira;Robin Gosens;Robin Knoche;Sheraldo Becker
Aissa Laidouni;0.0223403203238219;0.0449970539924569;0.038460412748627;0.12545474491942;0.0956476799373281;0.0529349555572153;0.122384605556194;0.0890628099970534;0.0510969341450153;0.00998496123551709;0.00627299376096976;0.0279690565456462;0.0328211923371846;0.064832097269157;0.125900699366548;0.0898394823078451
Alex Kral;0.0223398449367566;0.0449981487573002;0.0384612366249585;0.125454782693478;0.0956477123517544;0.0529346502607667;0.122387040135554;0.0890634587731682;0.0510963828030806;0.00998504065368764;0.00627321671635122;0.0279692146433804;0.0328218267004018;0.0648309866257321;0.12589773443055;0.08983872289308
Brenden Aaronson;0.0223402061551865;0.0449979592931352;0.0384610328754169;0.125454843165873;0.095648098328432;0.0529348697770163;0.122386584475923;0.0890627603114715;0.0510962604310751;0.00998502003240939;0.00627323889054693;0.0279692662300444;0.0328216112664256;0.0648309341944974;0.125898385661072;0.0898389289114749
Christopher Trimmel;0.0223396824397727;0.0449981510605268;0.0384608596806495;0.125455828414646;0.0956471342299602;0.0529342939533659;0.122385915842939;0.0890633962881549;0.0510966178671239;0.00998513031085937;0.00627309976049411;0.027969394858541;0.0328217642306324;0.0648312071223503;0.125898596127801;0.0898389278121831
Danilho Doekhi;0.0223400474484984;0.0449978928708415;0.0384611243270302;0.125454807184354;0.0956480837588154;0.0529347747355711;0.122387245920906;0.0890629702664655;0.0510963115532025;0.00998495620098717;0.006273257175577;0.0279690911598153;0.032821668105383;0.0648309609279647;0.1258979512967;0.0898388570678876
David Fofana;0.0223402755445027;0.044998106930113;0.038461406364453;0.125454416448424;0.0956487888845656;0.0529350034826173;0.12238844728978;0.0890625139936553;0.0510958657256396;0.00998491416087015;0.00627342982424894;0.0279691037286861;0.0328217164347733;0.0648303597366611;0.125896984678618;0.0898386667723915
Diogo Leite;0.0223398862752233;0.0449976875461086;0.0384609521966694;0.125455635054431;0.0956485896027655;0.0529344526686012;0.122388947750037;0.0890620850742793;0.051096195794068;0.00998483343597901;0.00627334819593017;0.0279690022927058;0.032821564405264;0.0648305998306183;0.12589740681181;0.089838813065509
Frederik Ronnow;0.0223399898249333;0.044997809525769;0.0384609329290199;0.125454325986916;0.0956470451479165;0.0529348742004599;0.122384563152346;0.089063985255477;0.0510968704772565;0.00998512205207023;0.00627299055799566;0.027969257260796;0.0328216575223041;0.064831911599949;0.125899576450815;0.0898390880559756
Janik Haberer;0.0223401936687086;0.0449976364437633;0.0384609584894257;0.125455013424774;0.0956486597704538;0.0529347847289319;0.122388002045744;0.0890621797527189;0.0510961820205358;0.00998487111254996;0.00627332552504452;0.0279690398774888;0.0328214734153878;0.0648307616118187;0.12589799451155;0.0898389236011042
Kevin Behrens;0.0223388244213414;0.0449989184561001;0.0384611985222624;0.125459225913175;0.0956489809210989;0.0529329263529277;0.122393491801172;0.0890610888142168;0.0510953858486418;0.00998488824987277;0.0062736706136839;0.0279694328499342;0.03282214708017;0.0648283261031815;0.125893640195517;0.0898378538567039
Kevin Volland;0.0223410177738751;0.0449982888434049;0.0384613807126562;0.125452117100824;0.0956468664593717;0.0529360190219589;0.122380515914218;0.0890654769441002;0.0510966403867771;0.00998540391721658;0.00627293496273904;0.027969473984879;0.0328216735746677;0.0648320978784903;0.125900931058867;0.089839161465954
Lucas Tousart;0.0223401451154035;0.0449981186368435;0.0384613026308582;0.125454265788373;0.0956480374714271;0.0529349518855351;0.122386871377383;0.0890632598759436;0.0510962305891449;0.009985029679963;0.0062732635308703;0.0279692172632034;0.0328217550644421;0.0648309243134676;0.125897866146481;0.0898387606306602
Rani Khedira;0.0223400874599621;0.0449981349307231;0.0384612271317974;0.125454313931189;0.0956476696273069;0.0529349004350795;0.122386092018579;0.0890635700910281;0.0510963934822264;0.00998508628103478;0.00627318773597736;0.0279692744383239;0.0328217646567699;0.0648311668673926;0.125898301818574;0.0898388290940356
Robin Gosens;0.0223397028699543;0.0449984196429362;0.0384611781863402;0.125454480388114;0.0956464199197259;0.0529346017831442;0.122384264544601;0.0890648128057686;0.0510968498996152;0.00998528261610732;0.00627298122981657;0.0279694786877056;0.0328219630165635;0.0648317503257027;0.125898969501221;0.0898388445826836
Robin Knoche;0.0223399958753538;0.0449975698887805;0.0384607896660644;0.125455463742397;0.095648206686819;0.0529346000404989;0.122387345365337;0.08906238083221;0.0510964315258835;0.00998490678329018;0.00627321551750444;0.0279690893229496;0.0328214894990516;0.064831043536589;0.125898477275849;0.0898389944414218
Sheraldo Becker;0.0223403953368167;0.0449972503025964;0.0384603907094173;0.125455727898695;0.0956484032947493;0.0529347148654605;0.12238630154736;0.0890617476980958;0.0510964405911911;0.00998489739803005;0.00627320258865625;0.0279690928009318;0.0328211497817774;0.0648312060148644;0.125899690079003;0.0898393890923554
