;Aissa Laidouni;Alex Kral;Brenden Aaronson;Christopher Trimmel;David Fofana;Diogo Leite;Frederik Ronnow;Janik Haberer;Jerome Roussillon;Josip Juranovic;Leonardo Bonucci;Lucas Tousart;Paul Jaeckel;Rani Khedira;Robin Gosens;Sheraldo Becker
Aissa Laidouni;0.102788474651284;0.0229742597409011;0.0318126107870641;0.0262682996862343;0.0657092643838032;0.177650398138982;0.0711802540107765;0.0521839132165353;0.0773457273113379;0.035771033951389;0.0629955594353416;0.0210008914287062;0.0824511382249266;0.0392937732988204;0.00592025907791045;0.124654142655987
Alex Kral;0.102791335041005;0.0229738111432332;0.0318140442624961;0.0262671273449047;0.0657080712850841;0.177647368287098;0.0711820326638491;0.0521853737218857;0.0773439638548319;0.035769972613998;0.0629960577916686;0.0210013288627972;0.0824503263865437;0.0392934003654571;0.00591977664537255;0.124656009729775
Brenden Aaronson;0.10278535046724;0.0229748697142097;0.0318114134225966;0.0262709540751241;0.0657095932452192;0.17764853740999;0.0711812012589068;0.0521836510562826;0.0773478060257222;0.0357708349714658;0.062996379832165;0.0210005338343665;0.0824496350822969;0.0392939080213912;0.00592019753077574;0.124655134052247
Christopher Trimmel;0.102791074148154;0.0229738532117521;0.0318138669837691;0.0262671229357462;0.0657079270214009;0.177648976502964;0.0711816518874558;0.0521852414655037;0.0773437548438613;0.0357702970435137;0.0629960523047942;0.0210011578981393;0.0824511737610179;0.0392933390542103;0.00591988909068364;0.124654621847034
David Fofana;0.102790799854592;0.0229748807087232;0.0318125799331417;0.0262680971511884;0.0657077160689628;0.177647754289224;0.0711823297529069;0.0521854980244741;0.0773450198149003;0.0357699227946072;0.0629969083347688;0.0210011708363794;0.0824487448587136;0.0392932310208832;0.00591977845802404;0.124655568098511
Diogo Leite;0.10278984728608;0.0229739779154213;0.0318126206019601;0.0262681643612799;0.0657079378505535;0.177646925757626;0.0711828758344472;0.0521851179044114;0.0773456599594011;0.0357699147410335;0.0629969442452427;0.0210011505405117;0.0824493395516472;0.0392938153148883;0.00591987268970371;0.124655835445792
Frederik Ronnow;0.102791152397858;0.0229748955411234;0.0318131268823349;0.0262672496151929;0.0657078729528396;0.177648943878368;0.0711823260018856;0.0521856247816973;0.0773442568426424;0.0357700477919443;0.0629966907423641;0.0210010594309426;0.0824498178629286;0.0392933130208594;0.00591983003307019;0.124653792223949
Janik Haberer;0.102787721815714;0.0229738172772506;0.0318124034496366;0.0262689207444382;0.0657087780801388;0.177650269661745;0.0711805796803853;0.0521835370812321;0.0773458303856903;0.0357709757758386;0.0629959177276514;0.0210009760020377;0.0824513770401163;0.0392938345456915;0.00592041403604899;0.124654646696385
Jerome Roussillon;0.102790611347921;0.0229745655422544;0.0318126445010113;0.0262678208662917;0.0657079818935234;0.177646559731669;0.0711833927865834;0.0521859773100626;0.0773456048743836;0.0357697448914533;0.06299717850975;0.0210009285644189;0.0824487182755654;0.0392936867486042;0.00591957250888646;0.124655011647622
Josip Juranovic;0.102789386162259;0.0229742837598204;0.0318126741490643;0.0262682077206452;0.0657082858045125;0.177647410120754;0.0711829366752608;0.0521852471662972;0.0773457248003373;0.0357700279225806;0.062996905084083;0.0210009005574153;0.082449648439737;0.0392938643221689;0.0059198343873068;0.124654662927758
Leonardo Bonucci;0.102787821793706;0.0229740066394547;0.031812688720671;0.0262684762595869;0.0657093455387247;0.177649082035534;0.0711812486578776;0.0521838864997924;0.0773461334206197;0.0357707208081555;0.0629958925216303;0.0210009088823491;0.0824509082154403;0.0392941316778326;0.00592025902053673;0.124654489308088
Lucas Tousart;0.102783293205727;0.0229761328105691;0.0318114955668598;0.0262712447985851;0.0657116314936909;0.17764965355709;0.0711799649648411;0.0521826111310796;0.0773485850086156;0.0357712754820738;0.0629954856603553;0.0210003106239541;0.0824496006641812;0.0392941870159999;0.00592050155783733;0.124654026458539
Paul Jaeckel;0.102790242860852;0.0229744847085856;0.0318128053813663;0.026267871602973;0.0657079705124138;0.177647731806036;0.0711828961342537;0.0521855004247548;0.0773451397500241;0.0357699376964404;0.0629969629658124;0.021000993317951;0.0824494787133604;0.0392936234168547;0.00591979877084009;0.124654561937482
Rani Khedira;0.102789730364551;0.0229744478329812;0.0318124278073378;0.0262682205568811;0.065708299621414;0.177648345859621;0.0711819628759883;0.0521850407049329;0.0773456719690211;0.035770308653364;0.0629966094131916;0.0210009489579386;0.0824495939200456;0.0392936237357171;0.0059198928121941;0.12465487491482
Robin Gosens;0.102786124885169;0.022974666086132;0.0318126061815415;0.0262690482147333;0.0657105512845288;0.177649957765887;0.0711803571787715;0.0521831119156876;0.0773467343300989;0.0357710851795825;0.0629953311390515;0.0210007302767528;0.0824510874978821;0.0392942724446676;0.00592047893711936;0.124653856682395
Sheraldo Becker;0.102790232238537;0.0229740128108314;0.0318134599103937;0.0262673977110779;0.0657084282537987;0.177647991386866;0.0711822643740544;0.0521851793423527;0.0773447960426847;0.035770159607769;0.0629962746095121;0.0210010510910649;0.0824504880218361;0.0392937489473169;0.00591986983614855;0.124654645815756
