;Guus Til;Hirving Lozano;Isaac Babadi;Jerdy Schouten;Joey Veerman;Johan Bakayoko;Jordan Teze;Luuk de Jong;Malik Tillman;Mauro Junior ;Olivier Boscagli;Ricardo Pepi;Sergino Dest;Walter Benitez
Guus Til;0.0361112077992964;0.0543981441796763;0.00320897480998681;0.0913857675058977;0.121434699069616;0.0844354308573397;0.0959660094926012;0.0346626399665332;0.114434957311726;0.0805747003966569;0.133277568583319;0.00713302727928042;0.121117341582517;0.0218595311655543
Hirving Lozano;0.0361122265699342;0.0543960565439013;0.00320903739050337;0.0913881532883303;0.121435564526223;0.0844351809913462;0.0959655574931272;0.0346624488699928;0.114433535923345;0.0805733941103708;0.133273577045441;0.00713304633699077;0.121122998200322;0.0218592227101722
Isaac Babadi;0.0361119926079682;0.0543964289791481;0.00320902396078644;0.0913876567362506;0.121435362100021;0.0844352061046104;0.095965725818605;0.0346624832430571;0.114433866760019;0.0805736558783387;0.133274414669168;0.00713304524501335;0.121121859020257;0.0218592788767573
Jerdy Schouten;0.0361112224091953;0.0543981491671652;0.00320897561983061;0.0913857883796128;0.121434709248856;0.0844354434137482;0.0959659726982408;0.0346626407731627;0.114434936334282;0.0805746993199813;0.133277529918799;0.00713302661722801;0.121117374045282;0.0218595320546167
Joey Veerman;0.0361115831430408;0.0543972660256729;0.00320899633029559;0.091386682071253;0.12143499997376;0.0844352796857232;0.0959659326335236;0.034662571287145;0.114434436599199;0.0805741648289063;0.13327599750783;0.0071330453015133;0.121119652498621;0.0218593921135161
Johan Bakayoko;0.0361119057617653;0.0543965264647842;0.00320901650678681;0.0913874806318309;0.121435266903878;0.0844351637233275;0.0959658382929714;0.034662503817269;0.114433989391801;0.0805737166690429;0.133274673874543;0.00713305503021076;0.121121578400115;0.0218592845316739
Jordan Teze;0.0361119294689432;0.0543968560849736;0.00320902347694052;0.0913874076569619;0.121435344005716;0.084435360354903;0.0959655069588573;0.0346624961446535;0.114433938115636;0.0805738758729987;0.133274934739395;0.00713301999060627;0.121120942416311;0.0218593647131044
Luuk de Jong;0.0361119084530636;0.0543967990460833;0.00320902057992035;0.0913873847937413;0.12143531275072;0.0844353184514376;0.095965604721861;0.0346625028104778;0.114433972241824;0.080573855126444;0.133274922579619;0.00713302908907896;0.121121023887837;0.021859345467892
Malik Tillman;0.0361122084599676;0.0543962916494622;0.00320904032553451;0.0913880570012795;0.12143557947344;0.0844352953445655;0.0959653796617765;0.0346624455802418;0.11443355030658;0.0805735215630189;0.133273840720239;0.0071330253586926;0.121122484422236;0.0218592801329661
Mauro Junior ;0.03611233729779;0.0543959086175961;0.0032090468127968;0.0913883989849763;0.121435674203047;0.0844351997006739;0.0959654230826356;0.0346624208394898;0.114433374203706;0.080573296014047;0.133273233500555;0.00713303823057063;0.121123433563528;0.0218592149485884
Olivier Boscagli;0.0361126096953418;0.0543952803184231;0.0032090622108007;0.0913890576226647;0.121435889978635;0.0844350929424521;0.0959653598977694;0.0346623733860031;0.114432995784501;0.0805729115838606;0.133272094945351;0.00713305194050627;0.12112510541938;0.0218591142743114
Ricardo Pepi;0.0361117301930575;0.0543972649115086;0.00320901229020104;0.0913869470422969;0.121435194239876;0.0844354147886585;0.0959656048034811;0.0346625236874629;0.114434219094263;0.0805741291603531;0.133275742708928;0.00713300962267791;0.121119776147337;0.0218594313098976
Sergino Dest;0.0361110287280428;0.054398467185058;0.00320896140930059;0.0913853480213249;0.121434526672209;0.0844354524424995;0.0959661348060137;0.0346626852876433;0.114435212716193;0.0805749095882649;0.133278195826088;0.0071330334041611;0.121116479018338;0.0218595648948632
Walter Benitez;0.0361117663622831;0.0543970553577291;0.00320900865986072;0.0913870481811471;0.121435173669858;0.0844353127146549;0.0959657250280145;0.0346625407979885;0.114434175328312;0.0805740059505318;0.133275419038352;0.00713303646373344;0.121120363075466;0.0218593693720691
