;Aleksandar Dragovic;Aleksandar Katai;Cherif Ndiaye;Guelor Kanga;In-beom Hwang;Jean-Philippe Krasso;Jovan Mijatovic;Kosta Nedeljkovic;Milan Rodic;Mirko Ivanic;Nasser Djiga;Omri Glazer;Osman Bukari;Peter Olayinka;Srdjan Mijailovic;Vladimir Lucic
Aleksandar Dragovic;0.0990008893100689;0.00709165563241063;0.0252507214950774;0.148758177134175;0.112824539032362;0.0342790636222991;0.00964048400344292;0.0680053399776186;0.0718444138368002;0.0493990457808915;0.0925816643804597;0.0360440431234874;0.0858346420441156;0.0211772519884006;0.0659760003576584;0.0722920682807317
Aleksandar Katai;0.0990000754455327;0.00709174405575471;0.0252509445899868;0.14875695009257;0.112825837192147;0.0342796674042063;0.00964030900179504;0.0680041936304247;0.0718446814738827;0.0493984446176947;0.0925826123121512;0.0360439811862154;0.0858361938551818;0.0211774470559403;0.0659750426758124;0.072291875410704
Cherif Ndiaye;0.0989998494889454;0.00709148657605496;0.0252511573942684;0.148756515219591;0.112826348127022;0.0342798760742331;0.00963995679662725;0.0680039136326788;0.0718450940235115;0.0493988164042357;0.0925822935969284;0.0360440377477828;0.0858365443990426;0.0211772145240967;0.0659751318802857;0.0722917641146953
Guelor Kanga;0.0990006857064727;0.00709162503479951;0.0252507891217023;0.14875766493678;0.112825112563696;0.0342791229328875;0.0096403358891356;0.0680050120382776;0.071844696126382;0.0493991119849292;0.0925814342483717;0.0360440960097606;0.0858350846112917;0.0211773024157178;0.0659760432051945;0.0722918831746017
In-beom Hwang;0.0989997600744242;0.00709169816717923;0.0252509854253832;0.148756034873389;0.11282705230059;0.0342793715453876;0.00963999555776383;0.0680035509617308;0.0718452428408789;0.0493987771323315;0.0925815210405988;0.0360442408992673;0.0858370171313913;0.0211778102669217;0.0659756139877542;0.0722913277950082
Jean-Philippe Krasso;0.0990003076339887;0.00709169179451074;0.0252509432491275;0.148757037020074;0.112825738371966;0.0342795517778178;0.00964028506493554;0.0680044060972428;0.0718448305446023;0.0493986769324284;0.0925821017484703;0.036044040092733;0.0858358922211456;0.0211773105587829;0.0659753731202869;0.0722918137718879
Jovan Mijatovic;0.0990027105797039;0.00709214085663461;0.0252500059108684;0.148761913038744;0.112820688769172;0.0342776707268854;0.00964170481685816;0.0680074594743816;0.0718424595925798;0.0493985549501819;0.0925821155585145;0.0360439398954769;0.0858317315294818;0.0211777453690391;0.0659764892444223;0.0722926696870561
Kosta Nedeljkovic;0.0990011716105501;0.00709180237622632;0.0252506467139698;0.148758226231221;0.112824219462836;0.0342793043564548;0.00964073318887471;0.0680057065396019;0.0718443250686994;0.0493987485827948;0.0925820208672435;0.0360439414798661;0.0858341607590905;0.0211769480367901;0.0659757521377717;0.0722922925880091
Milan Rodic;0.099000457397031;0.00709155134228184;0.0252508665048074;0.148756939039653;0.112825830768082;0.0342793503719584;0.00964014133602773;0.0680048384482768;0.0718451355214497;0.0493993093848067;0.0925810189142283;0.0360441714984792;0.0858353193383723;0.0211770769373557;0.0659761814602552;0.0722918117369338
Mirko Ivanic;0.0990004044151958;0.00709153885200823;0.0252508403924603;0.148757297196399;0.112825644710489;0.0342790432524892;0.00964013030564413;0.0680046738534435;0.0718448944764567;0.0493993088904066;0.092581099141669;0.0360441830512647;0.0858355077550107;0.0211774605645209;0.0659762123282996;0.072291760814243
Nasser Djiga;0.0990004917567724;0.00709170605253229;0.0252508029322346;0.14875737059223;0.112825565819891;0.0342790083457345;0.00964030398158995;0.068004605875328;0.071844770108337;0.0493989937027299;0.0925813092077893;0.0360441824313659;0.0858356278999869;0.0211775954069744;0.0659760377451681;0.0722916281413354
Omri Glazer;0.0989999294003751;0.00709177078485838;0.0252509574740006;0.148756380876279;0.112826532339347;0.0342795591222323;0.00964018816567557;0.0680038486321418;0.0718449933446693;0.0493985369666807;0.0925820685317079;0.0360441214437247;0.0858366455721196;0.0211776084038047;0.0659752964304083;0.0722915625119752
Osman Bukari;0.0990001109494626;0.00709160768598829;0.0252509535371797;0.148756938074227;0.11282609883118;0.0342792246906631;0.0096400944961416;0.0680041199526638;0.0718449438677973;0.049398968528321;0.092581539356204;0.0360441822766474;0.0858362604327653;0.0211776385567638;0.0659757644607199;0.0722915543032749
Peter Olayinka;0.0989996568942656;0.0070921170574754;0.0252509417245425;0.148754779893222;0.112828269147767;0.0342794817184721;0.00964017143774198;0.0680027627782294;0.0718456182886033;0.0493980305048733;0.0925815778091909;0.0360443251121475;0.0858381015087263;0.0211781930821596;0.0659752692741772;0.072290703768405
Srdjan Mijailovic;0.0990008471273944;0.00709181709856707;0.0252506837829518;0.148757726470286;0.11282489096844;0.0342792198561414;0.00964059091720016;0.0680052044511145;0.0718445140080556;0.0493987522475049;0.0925818075144619;0.0360440262156022;0.0858348337111303;0.0211772474697086;0.0659758017558001;0.0722920364056409
Vladimir Lucic;0.0990004441170434;0.00709156205074129;0.0252508717633549;0.14875724183465;0.112825418555341;0.0342795470836412;0.0096402423864133;0.0680049235219366;0.0718448024251736;0.0493990675506194;0.0925818025073767;0.0360440310182652;0.0858351861589776;0.0211769944676322;0.0659757289619881;0.0722921355968447
