;Achraf Hakimi;Bradley Barcola;Fabian Ruiz;Gianluigi Donnarumma;Kang-In Lee;Kylian Mbappe;Lucas Hernandez;Manuel Ugarte;Marco Asensio;Marquinhos;Nuno Mendes;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.118698558987305;0.0651129317088649;0.0682502781448949;0.0296156888751854;0.0277533764342718;0.0621776972002657;0.104214392405883;0.0129850032118112;0.0185416050075967;0.113975651346489;0.108002679751369;0.0823915913429315;0.00230387922172085;0.112306791927395;0.0736698744340165
Bradley Barcola;0.1186940000084;0.0651166542248517;0.0682532232152385;0.0296157677564473;0.0277519023366998;0.0621780028752367;0.104218091461386;0.0129839074023657;0.0185399959105637;0.113974792544697;0.108005014522701;0.0823882146593163;0.00230340558901528;0.112308537658252;0.0736684898348283
Fabian Ruiz;0.11869538480824;0.0651171500083747;0.0682543281061806;0.0296155321455461;0.0277526346112446;0.0621783511009376;0.104224829735119;0.012984124767928;0.0185391495081952;0.11397070648473;0.107998792297223;0.0823895433829676;0.00230317430423507;0.112309529532713;0.0736667692063653
Gianluigi Donnarumma;0.1186967018756;0.0651150445644302;0.068252242258288;0.0296159201219083;0.0277526499557646;0.0621776052750341;0.10422014445975;0.0129843076888059;0.018540104081857;0.113973873628116;0.108001181420723;0.0823903934809495;0.00230343335258307;0.112308248648174;0.0736681491880171
Kang-In Lee;0.118698533854457;0.0651144837900399;0.0682517366733767;0.0296152217537599;0.0277538787758006;0.0621782807074253;0.104219253563405;0.0129849734555559;0.0185408505220038;0.113972389793864;0.107999139851891;0.0823914017301467;0.00230364831899457;0.112307744679118;0.0736684625301619
Kylian Mbappe;0.118696235952942;0.0651156450922244;0.0682524255399359;0.0296155718573992;0.0277527622805825;0.0621780264774597;0.104218858101273;0.0129843690035163;0.0185403240919465;0.113973760026254;0.10800224211434;0.0823897361705254;0.00230350466750051;0.112308158051311;0.0736683805727894
Lucas Hernandez;0.11869506941077;0.065116125489758;0.068252212104476;0.0296159205343662;0.027752069452493;0.0621774144702176;0.104217300866526;0.0129838065227978;0.0185401419913071;0.113976027385323;0.108005458119932;0.0823884122146625;0.00230340709598795;0.112308007970057;0.0736686263713255
Manuel Ugarte;0.11869851967018;0.0651145707452851;0.068251274206785;0.0296154870653516;0.0277535997126094;0.0621776710326341;0.104218928090468;0.0129846105971517;0.0185406774574411;0.11397378555882;0.108000384850285;0.0823909414924381;0.00230355602777227;0.112307562068558;0.0736684314242207
Marco Asensio;0.118702096410789;0.0651136029432359;0.0682510734436821;0.0296148575173606;0.0277554026167651;0.062178204561193;0.104223332967509;0.0129854361038433;0.0185408182313435;0.113969749328985;0.107993049990994;0.082393652435025;0.00230358461243138;0.112307642067202;0.0736674967696419
Marquinhos;0.118699398501313;0.0651142092823695;0.0682523306977179;0.0296155405020433;0.027753933450904;0.0621780294832929;0.10422447642688;0.0129849691258993;0.0185400479143966;0.11397030506493;0.107994793614023;0.0823927605469241;0.00230342737910316;0.112308530713683;0.0736672472965209
Nuno Mendes;0.118695083748695;0.0651162109173572;0.0682538764925058;0.0296157757683738;0.0277523075236576;0.0621782910021967;0.104222478660447;0.0129842800024973;0.0185395728957872;0.113971921516819;0.108000268998521;0.0823898600839718;0.00230333195103094;0.112309198780501;0.0736675416576385
Ousmane Dembele;0.11870057639545;0.0651138865222499;0.0682507283508728;0.0296151528960508;0.0277545841789305;0.0621777915862104;0.104219924612412;0.0129849991644648;0.018540961236688;0.113972517667374;0.10799748803928;0.0823922206657119;0.0023036097693429;0.112307289595681;0.0736682693192809
Randal Kolo Muani;0.118697794988005;0.065115299819102;0.0682524132253514;0.0296149404570093;0.0277539336535848;0.0621787136670309;0.104219615125953;0.0129849538599423;0.0185407612537551;0.113971613866691;0.107999218968899;0.0823907948987869;0.00230362066676557;0.112308029369549;0.0736682961795736
Vitinha Ferreira;0.11869647639703;0.0651150052299083;0.0682518520672499;0.0296157733260237;0.0277526524086474;0.0621777220967852;0.104217577741654;0.01298436197654;0.0185405378559655;0.11397485089582;0.10800307264421;0.08238995126063;0.00230355920428776;0.112307830022053;0.0736687768731952
Warren Zaire-Emery;0.118700687042063;0.0651133515411162;0.0682511165975797;0.0296153154971221;0.0277544972013318;0.0621779683146741;0.104221471088783;0.0129852399085973;0.0185408205269372;0.113971384217989;0.10799566456519;0.0823931542449939;0.00230362569310278;0.112307646450329;0.0736680571101906
