;Adrien Thomasson;Andy Diouf;Angelo Fulgini;Brice Samba;Deiver Machado;Elye Wahi;Facundo Medina;Florian Sotoca;Jonathan Gradit;Kevin Danso;Morgan Guilavogui;Nampalys Mendy;Przemyslaw Frankowski;Salis Samed
Adrien Thomasson;0.0166284935667662;0.0360025629104074;0.113114298938638;0.037820726986827;0.0903917010718602;0.0608649422383615;0.119163477090096;0.133218036124552;0.0741657367003749;0.0507047768679575;0.0291422661514205;0.0561216688324154;0.099305837032091;0.0833554754882316
Andy Diouf;0.0166297303498003;0.0360006930930362;0.113118088524585;0.0378197920759399;0.0903881978955656;0.0608627405620489;0.119171623929999;0.133226091290708;0.0741711228326142;0.0507022697072137;0.0291422319691677;0.0561170826963311;0.0992955086691575;0.0833548264038329
Angelo Fulgini;0.0166295787293458;0.0360012292174914;0.113117936673649;0.0378202124346411;0.0903902375062308;0.0608628390577006;0.119171106809737;0.133222665597936;0.0741696787574771;0.0507026619337692;0.0291421216251221;0.0561187893726801;0.0992960499780634;0.0833548923061553
Brice Samba;0.0166296274246167;0.0360025343837521;0.113120589149324;0.0378210297521681;0.0903944354938621;0.0608611249396421;0.119174842653482;0.13321600506228;0.0741668655455596;0.0507026033344244;0.0291413259903155;0.056122171285686;0.0992921914054642;0.0833546535794228
Deiver Machado;0.0166289788119272;0.0360034668447538;0.113117970151926;0.0378215486530925;0.0903966997439627;0.0608626706365863;0.11916987431237;0.133211351746068;0.0741641449288481;0.0507039735524725;0.029141489940109;0.0561246279970444;0.0992981000070943;0.0833551026737456
Elye Wahi;0.0166283174684642;0.0360032831348807;0.113115281137669;0.0378210681688128;0.0903931505111096;0.0608642874996419;0.119164463109135;0.133215282266369;0.0741640552010011;0.0507049619438485;0.0291418586725176;0.0561232481880716;0.0993053546855014;0.0833553880129769
Facundo Medina;0.0166292360756007;0.0360032015932253;0.113118778860568;0.0378214930931974;0.090396730531383;0.0608622207059097;0.119171625853265;0.133211879212413;0.0741649576853816;0.0507035148841365;0.0291414660623842;0.0561241918101926;0.0992957287667472;0.0833549748655965
Florian Sotoca;0.0166292552199566;0.0359999192540868;0.11311447969503;0.0378192343555257;0.0903846958626144;0.0608650115224114;0.119165552529206;0.133230769575976;0.074172286887242;0.0507030873052003;0.0291429811943622;0.0561149724073816;0.0993025330871936;0.0833552211038128
Jonathan Gradit;0.0166285291053446;0.0360010232447415;0.113112922750306;0.0378196841799135;0.0903861293272134;0.0608658844588582;0.11916170406228;0.13322688373347;0.0741692310717589;0.0507043934547457;0.029142857649913;0.0561173583067843;0.0993079069622881;0.0833554916923814
Kevin Danso;0.0166286201198503;0.0360022698247151;0.113114743463523;0.0378206157763584;0.0903913009184567;0.0608647140182521;0.119164555254596;0.13321905678499;0.0741664942082044;0.0507044342635964;0.0291422757549296;0.056121055552015;0.09930447807395;0.0833553859865631
Morgan Guilavogui;0.0166281526286216;0.0360012898787168;0.113111770362951;0.0378195976242718;0.0903851595684932;0.0608665206689013;0.119159113767235;0.133227424066665;0.0741684138080093;0.0507050070891396;0.029142910969733;0.05611741741078;0.099311570658982;0.0833556514975001
Nampalys Mendy;0.0166293766549717;0.0360025789993803;0.113118995966861;0.0378210435265405;0.0903944091694592;0.0608621081112405;0.119172183513042;0.133215694865288;0.0741665176988058;0.0507031116606848;0.0291415767163517;0.0561223328300672;0.09929519459453;0.0833548756927767
Przemyslaw Frankowski;0.0166282630517828;0.0360012006527357;0.113111835147538;0.037819708522678;0.0903859512344961;0.06086652515301;0.119159566248586;0.13322659180245;0.0741685823529782;0.0507048890467609;0.0291429594917506;0.0561176481041122;0.099310634910201;0.0833556442809203
Salis Samed;0.0166289240319411;0.0360017425797931;0.11311598343367;0.037820265992837;0.0903895897302114;0.0608639645174163;0.119166804467393;0.133222184671265;0.0741679861092304;0.0507037636454015;0.0291422042644019;0.0561195095684172;0.099301909016418;0.083355167971603
