;Donyell Malen;Emre Can;Felix Nmecha;Giovanni Reyna;Gregor Kobel;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Marius Wolf;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Ramy Bensebaini;Salih Ozcan;Sebastien Haller
Donyell Malen;0.112748303916176;0.0570402593119094;0.0949143496604502;0.0164400389225005;0.0421214887794281;0.0267713681297905;0.0762078939457743;0.092720288440786;0.0858268434653739;0.0741804365283221;0.0584185380025425;0.124472438394145;0.06691330567961;0.0612440191298881;0.00998042769330278
Emre Can;0.112748092518762;0.0570402003472457;0.0949141818359228;0.0164403640789191;0.0421214519100945;0.0267715086012827;0.0762078945593891;0.0927201958713074;0.0858268036873267;0.07418043603469;0.0584184147370069;0.124472365222669;0.0669132733542668;0.0612442140369504;0.00998060320416743
Felix Nmecha;0.112748044015401;0.0570401704651827;0.0949141455242623;0.0164404805438874;0.0421214246056332;0.0267715596584946;0.0762078892153163;0.0927201697938927;0.0858268047908956;0.0741804193124363;0.0584183818225177;0.124472320743094;0.0669132328963757;0.0612442907825485;0.00998066583006132
Giovanni Reyna;0.112740150646064;0.0570372802639876;0.0949076887337316;0.0164546951897372;0.042119267640668;0.0267775954302373;0.0762078743929571;0.0927162819947188;0.0858252277239618;0.0741801003659127;0.058413274799235;0.124468320341736;0.0669107403470832;0.0612531284232454;0.00998837370672443
Gregor Kobel;0.112748048199408;0.0570401856598826;0.0949141489913217;0.0164404418470518;0.042121439961666;0.0267715413548721;0.0762078930104757;0.0927201739957665;0.0858267900995306;0.0741804379752205;0.0584183860705098;0.12447234440156;0.0669132602468237;0.0612442628247992;0.00998064536111142
Karim Adeyemi;0.11274125167878;0.0570376932073099;0.0949085762106786;0.0164526925639418;0.0421195851233669;0.0267767624547703;0.0762078763282629;0.0927168132355937;0.0858254660074748;0.0741801202392213;0.0584139811787906;0.124468859219669;0.0669110961304132;0.0612519175849403;0.00998730883678692
Marcel Sabitzer;0.112746469208969;0.0570395892056365;0.0949128576067608;0.0164433266530468;0.0421209871512227;0.0267727537019144;0.0762078915791067;0.0927194005449228;0.0858264721076332;0.07418037910607;0.0584173632828564;0.124471542648684;0.066912739408296;0.0612460336082983;0.00998219418658217
Marco Reus;0.112747981335772;0.0570401489732607;0.0949140940422308;0.0164405939690374;0.0421214084675891;0.0267716074299523;0.0762078903299321;0.0927201360637211;0.0858267858627009;0.0741804213567123;0.0584183389977564;0.124472285997444;0.0669132143390677;0.0612443636324656;0.00998072920235744
Marius Wolf;0.112748101287914;0.0570401861901186;0.0949141815877884;0.0164403933155967;0.0421214355742541;0.0267715138842282;0.0762078946474003;0.092720197396257;0.0858268043655921;0.0741804334776707;0.0584184108156447;0.124472359421586;0.0669132525258031;0.0612442243556411;0.00998061115450508
Mats Hummels;0.112748233781342;0.0570402473448082;0.0949142993293236;0.0164401233462361;0.0421214836043121;0.0267714078161635;0.076207887681217;0.0927202644569285;0.0858268326957488;0.0741804356929674;0.0584185013969559;0.124472434760973;0.0669133071019065;0.0612440691445701;0.00998047184654749
Niclas Fullkrug;0.112747875347505;0.0570401014611933;0.0949139972401813;0.0164408049065043;0.0421213726091052;0.0267716934649363;0.0762078931851369;0.0927200829852882;0.0858267688703962;0.0741804130201806;0.0584182653280851;0.124472229684092;0.06691317296528;0.0612444893562138;0.0099808395759018
Nico Schlotterbeck;0.112747588329535;0.0570400132935087;0.0949137670935682;0.0164412813656978;0.0421213107611719;0.0267718981973174;0.0762078899515381;0.0927199457820694;0.0858266999294671;0.074180414269804;0.0584180823816113;0.124472111225621;0.0669131099214336;0.061244787474482;0.0099811000231752
Ramy Bensebaini;0.112747251144407;0.057039881409966;0.0949134927065541;0.0164419079138419;0.0421212085949593;0.0267721594820087;0.0762078896816431;0.0927197808238392;0.085826632287161;0.0741804016028369;0.0584178641983035;0.124471935849435;0.0669129915066264;0.0612451687497492;0.00998143404866822
Salih Ozcan;0.112746129915734;0.0570394738991743;0.0949125854233552;0.0164439138569822;0.042120904794529;0.0267730068867765;0.0762078952792064;0.0927192334522501;0.0858264074897177;0.074180366653948;0.0584171527534506;0.124471365098031;0.0669126427895165;0.0612464026938807;0.00998251901344764
Sebastien Haller;0.112734602318736;0.0570352495016087;0.0949032049959533;0.0164646523890583;0.0421177447042509;0.0267817729156511;0.0762079165885499;0.0927135841331155;0.0858240855864808;0.0741799702160358;0.0584097609822446;0.124465514178005;0.0669090099012005;0.0612592001297639;0.00999373145934647
