;Achraf Hakimi;Danilo Pereira;Gianluigi Donnarumma;Goncalo Ramos;Kang-In Lee;Kylian Mbappe;Lucas Hernandez;Manuel Ugarte;Marquinhos;Milan Skriniar;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.135806751739595;0.00859743867838295;0.0209468294957574;0.0129100480565836;0.0195288893594965;0.0810039202569914;0.0893954402379409;0.0862284510227359;0.118344741808035;0.117191040666796;0.108489055568002;0.0330132929794642;0.0732949561427002;0.0952491439875187
Danilo Pereira;0.135808856854443;0.00859741405144258;0.0209468067646711;0.0129098709340147;0.0195289724547441;0.0810049713845964;0.0893942933244637;0.0862285537742839;0.11834232771918;0.117193891275937;0.108487551887879;0.0330129877503638;0.073294327425229;0.0952491743987505
Gianluigi Donnarumma;0.135808617264804;0.00859741468738409;0.0209468204168967;0.0129098778456217;0.0195289738028716;0.0810049477126784;0.0893944848300791;0.0862285717650192;0.118342472264994;0.117193937332907;0.10848749014077;0.0330129683334403;0.0732944056783775;0.0952490179241557
Goncalo Ramos;0.135809231190881;0.00859740732196274;0.0209468049840263;0.0129098410574134;0.0195289864476161;0.0810051516593979;0.0893940292701629;0.0862285778065247;0.118341848313562;0.117194429484232;0.108487351769503;0.0330129378012752;0.0732942130718813;0.0952491898215607
Kang-In Lee;0.135808798106177;0.00859741370865003;0.0209468124620652;0.0129098694045961;0.01952897356345;0.081004988776548;0.0893943275407066;0.0862285673592451;0.118342316040068;0.117193993505908;0.108487512950945;0.0330129720032827;0.0732943439493334;0.0952491106290249
Kylian Mbappe;0.135806290075065;0.00859744551547484;0.0209468364287488;0.012910080158145;0.0195288749797546;0.081003733860355;0.0893957560336242;0.0862284358912922;0.118345258274898;0.117190531589974;0.108489249854228;0.0330133358724195;0.073295096461504;0.0952490750045167
Lucas Hernandez;0.135812566115975;0.00859736150612999;0.0209467842189421;0.0129095525740401;0.0195291318298577;0.081006885667432;0.0893922306499931;0.0862287714986397;0.118337859399433;0.11719932394638;0.108484801846529;0.0330124098362522;0.0732932318075399;0.0952490891028559
Manuel Ugarte;0.135807229327118;0.00859743390100901;0.0209468272494735;0.0129100008745607;0.0195289121040623;0.0810042055099504;0.0893952300824112;0.0862284845566862;0.118344162399654;0.117191827009094;0.108488587894133;0.0330131985023248;0.073294815037375;0.0952490855521485
Marquinhos;0.135810277249625;0.00859739389840731;0.0209467992137626;0.0129097471404456;0.0195290343642763;0.0810057172516311;0.0893935090364669;0.0862286409160074;0.118340600620787;0.117196015960442;0.108486472206976;0.0330127597318944;0.0732939076174311;0.095249124791847
Milan Skriniar;0.135804561506098;0.00859746891946133;0.020946858618254;0.0129102112296894;0.0195288124353095;0.081002963149165;0.0893968019292752;0.0862283689619372;0.118347198145519;0.117188432949516;0.10849023766602;0.0330135384626404;0.0732956122282475;0.0952489337988676
Ousmane Dembele;0.13580925318719;0.00859740891968408;0.0209468014080283;0.0129098403701845;0.0195289856717063;0.0810051507608484;0.0893940404529254;0.086228570587898;0.11834187406626;0.117194377676748;0.108487338012856;0.0330129412711685;0.0732942061980934;0.0952492114164093
Randal Kolo Muani;0.135809435573921;0.00859740618192101;0.0209467978681368;0.0129098292917365;0.0195289907911145;0.0810052137122657;0.0893939121185738;0.0862285734450863;0.118341683290696;0.117194543067407;0.10848728179694;0.0330129297695132;0.0732941513486222;0.0952492517440659
Vitinha Ferreira;0.135807906075179;0.00859742520881782;0.0209468210645117;0.0129099436792091;0.0195289385594026;0.0810045466043917;0.0893948384896099;0.0862285214486935;0.118343360076408;0.117192772377904;0.108488121976117;0.0330130994272073;0.0732946111218901;0.0952490938906571
Warren Zaire-Emery;0.13580806905624;0.0085974215828733;0.0209468177382875;0.0129099373293475;0.0195289428330462;0.0810045807519516;0.0893947059781728;0.0862285199146832;0.118343199408036;0.117192870682239;0.108488120020594;0.0330130994853017;0.0732945643612942;0.0952491508579325
