;Adrien Thomasson;Angelo Fulgini;Brice Samba;Deiver Machado;Elye Wahi;Facundo Medina;Florian Sotoca;Jonathan Gradit;Kevin Danso;Massadio Haidara;Morgan Guilavogui;Nampalys Mendy;Przemyslaw Frankowski;Salis Samed;Wesley Said
Adrien Thomasson;0.0821977855329956;0.0212041621832843;0.0631979899525749;0.0863786619283289;0.0314725841808669;0.125223608221162;0.114109634515702;0.0699752767821945;0.0558434237341598;0.0184950959205474;0.0122408115695336;0.0736306535724422;0.11003942156481;0.115948312826893;0.0200425775145056
Angelo Fulgini;0.0822017723106904;0.0212027126541219;0.0631993042350321;0.0863735405194588;0.0314723302791398;0.125226506662604;0.114115731655257;0.0699729508076053;0.0558404049322576;0.018491385088354;0.0122378681048879;0.0736292394323755;0.110033971590104;0.115953745614511;0.0200485361136003
Brice Samba;0.0821989672092968;0.0212035568516752;0.063198542392891;0.0863761901253084;0.0314722118202599;0.125224822919227;0.114112807474792;0.0699744677400374;0.0558418179544398;0.0184936564109355;0.0122398156163418;0.0736296259271135;0.11003659486222;0.115951179165456;0.0200457435300063
Deiver Machado;0.0822044150604508;0.0212024041590803;0.0631999561444289;0.086372870619035;0.0314727764184577;0.125225267269739;0.114116922779441;0.0699726666990379;0.0558400556953215;0.0184926268421167;0.0122385538501139;0.0736293096510668;0.110031485133533;0.115953973720945;0.0200467159572316
Elye Wahi;0.0821969544827765;0.0212045712327358;0.0631977185432641;0.0863800427617796;0.0314727074796553;0.125222460167386;0.114108056744404;0.0699759806669833;0.0558442617737041;0.018496411799276;0.0122418411460943;0.0736310365318124;0.110040701168422;0.115946749226003;0.0200405062757045
Facundo Medina;0.0822019226866313;0.0212033453339466;0.0631994639480542;0.0863752503147709;0.0314726593353316;0.125222561435062;0.114114482536394;0.0699744858699015;0.0558413979092965;0.0184955801824687;0.0122411340194267;0.0736294609851165;0.110033678347213;0.115951461045506;0.0200431160508812
Florian Sotoca;0.0821965158420478;0.0212045850974172;0.0631975289892864;0.0863801042161058;0.0314725661148326;0.125222763984279;0.114108140167025;0.0699761403561662;0.0558442012520677;0.0184961925272646;0.0122417545053441;0.0736308883735631;0.110040852545075;0.115946790137824;0.0200409758917008
Jonathan Gradit;0.0821987215586357;0.0212040402293877;0.0631984934828406;0.0863777678314334;0.0314725791731286;0.125222843987799;0.11411087785821;0.0699751893067556;0.0558429246469944;0.0184956463458535;0.0122412668159546;0.0736302734064287;0.110037871501777;0.115949142559211;0.0200423612955901
Kevin Danso;0.0822037170802101;0.0212025662253322;0.0631997633058509;0.086373336440414;0.0314727171173337;0.125225180309596;0.11411634247521;0.0699729244270751;0.0558403223933765;0.0184927501557777;0.0122387111589406;0.0736293722592165;0.110032239633546;0.115953539793298;0.0200465172248231
Massadio Haidara;0.0821980307856743;0.0212034313045355;0.0631983985251085;0.086375346959566;0.0314718270850391;0.125226494277801;0.114113464630175;0.0699740892436565;0.0558413397795616;0.0184916355093447;0.0122384533580315;0.0736292247452426;0.110037248253294;0.115952367902707;0.0200486476402613
Morgan Guilavogui;0.0822064177818949;0.0212020038920375;0.0632004460950527;0.086371795463746;0.0314730456110277;0.125225479791014;0.114118156623587;0.0699719736949603;0.0558395440944818;0.018492155879974;0.0122379906461692;0.0736293299852052;0.110029944756394;0.115954784072927;0.0200469316115283
Nampalys Mendy;0.0821981259903654;0.0212038630431337;0.0631980351465963;0.0863778104323293;0.0314724439263527;0.12522473450561;0.114110651265833;0.069974800939926;0.0558428363314802;0.0184939854870217;0.0122399528766577;0.0736303808487473;0.110038662592971;0.115949378344186;0.0200443382687898
Przemyslaw Frankowski;0.0822074069309881;0.021201742283266;0.0632004464175865;0.0863715056772756;0.031473178921927;0.12522599969303;0.114118686473768;0.0699716800038042;0.0558393149919357;0.0184917476950866;0.0122375375490747;0.0736293976017032;0.110029184715437;0.11595498277688;0.0200471882682382
Salis Samed;0.0822009523319824;0.0212032538678067;0.0631990102172414;0.0863754689194249;0.0314725469696556;0.125224516644301;0.114113718045861;0.0699739891153426;0.055841509944558;0.0184937768050799;0.0122396908852339;0.0736297397278385;0.110035120042934;0.115951566216467;0.0200451402662729
Wesley Said;0.0822011475406115;0.0212036374647801;0.0631992762572981;0.0863759601318281;0.0314726333802414;0.125221907352356;0.114113691878452;0.069975036684078;0.0558418581865818;0.0184961364928039;0.0122416766970499;0.0736295461675854;0.1100347052573;0.115950608432023;0.0200421780770121
