;Adria Pedrosa;Djibril Sow;Erik Lamela;Fernando;Ivan Rakitic;Joan Jordan;Juanlu Sanchez ;Kike Salas;Loic Bade;Lucas Ocampos;Mariano Diaz;Marko Dmitrovic;Nemanja Gudelj;Tanguy Nianzou
Adria Pedrosa;0.0212595991998446;0.035388828088325;0.0459203634031191;0.116756033857169;0.0625084380711072;0.048834856969263;0.0695510682503669;0.0812251865631918;0.167327340734304;0.0155174317386029;0.00830206836408996;0.101465724036806;0.216541459173381;0.00940160155042889
Djibril Sow;0.0212595956875265;0.0353889343222292;0.0459202282492794;0.116755649338798;0.0625084885919314;0.0488347873756744;0.0695512910949696;0.0812252416965731;0.167327357772411;0.0155173507909991;0.00830207344591077;0.101465686425454;0.216541686725138;0.00940162848310526
Erik Lamela;0.0212592906333626;0.0353896957260824;0.0459201985176935;0.116752638668723;0.062509242433597;0.0488347189068855;0.0695516310200163;0.0812259431867243;0.167329302715843;0.0155175265063594;0.00830227637442518;0.101464880019305;0.216540705371905;0.00940194991907692
Fernando;0.0212592525673284;0.0353897335492751;0.0459203291626849;0.116752947374291;0.0625087208439869;0.0488349214360358;0.0695509491136978;0.0812263264573013;0.167329683316016;0.0155174292619002;0.00830202825936604;0.101465244142214;0.216540573911477;0.00940186060442599
Ivan Rakitic;0.0212593357416503;0.0353895112562453;0.0459203889734919;0.116753324981217;0.0625090930269891;0.0488348201609437;0.0695512651776182;0.081225834652909;0.167329215084543;0.0155176156961805;0.00830224024466159;0.101465015912332;0.216540451532666;0.00940188755855311
Joan Jordan;0.0212596314175831;0.0353888097022103;0.0459202578532957;0.116756004209579;0.062508531018337;0.048834776142961;0.0695513410617187;0.0812250656561631;0.167327077669476;0.0155173978397377;0.00830211658010978;0.101465679320616;0.216541699727001;0.00940161180121126
Juanlu Sanchez ;0.0212593675947978;0.0353893145927075;0.0459205688103819;0.116753940941419;0.0625091130844289;0.0488348957024668;0.0695510949465259;0.081225624762242;0.167328980896227;0.0155177700644291;0.00830227491028004;0.101465036748869;0.216540168544348;0.00940184840087649
Kike Salas;0.0212594333142888;0.0353893131417951;0.0459202452352091;0.116754454288061;0.0625085104366064;0.0488348648764429;0.0695511078805369;0.0812257967626245;0.167328376727356;0.0155173396174917;0.00830201269807108;0.101465550787583;0.216541274557162;0.0094017196767718
Loic Bade;0.0212593546811827;0.0353895165841815;0.0459202493290847;0.116753601574571;0.062508750114383;0.0488348343240328;0.0695512163673154;0.0812259657978997;0.167328931938915;0.0155174046791472;0.0083020839027325;0.10146530373753;0.216540972195155;0.00940181477387001
Lucas Ocampos;0.0212596361054359;0.035388704001366;0.045920596607281;0.116754975038095;0.062510202179709;0.0488345461764103;0.0695522471237537;0.0812241997232663;0.167327301620345;0.015518197639077;0.00830286412747596;0.101464438074008;0.216540184058201;0.00940190752557483
Mariano Diaz;0.0212594255906382;0.0353889768422013;0.0459209237116245;0.116753811119149;0.0625104484183567;0.0488346992735788;0.069551843767355;0.0812245675506542;0.167328807590852;0.0155185352792017;0.00830295800770444;0.10146401582916;0.216538920399606;0.00940206661991848
Marko Dmitrovic;0.0212592072999394;0.0353898772053807;0.0459203227868753;0.116752412994543;0.0625088378715179;0.0488349075024268;0.0695509851198785;0.0812264590107061;0.167330025712396;0.0155174444578083;0.00830205028732699;0.10146513125683;0.216540427198709;0.00940191129566221
Nemanja Gudelj;0.0212595695792235;0.0353889251120042;0.0459202913570838;0.116755708174259;0.0625084581618654;0.0488348411965445;0.0695511744859536;0.0812252961719458;0.167327446994607;0.0155173888882918;0.0083020568433658;0.101465690291432;0.216541530752915;0.00940162199050723
Tanguy Nianzou;0.021259723769032;0.0353884554278123;0.0459205663685161;0.116756509121788;0.0625092949717965;0.0488347151743753;0.0695516529059209;0.0812242856900872;0.16732661853602;0.0155179022840139;0.00830250496062658;0.101465191524902;0.216540902861891;0.00940167640321779
