;Anthony Racioppi;Aurele Amenda;Cedric Itten;Cheikh Niasse;Filip Ugrinic;Loris Benito;Meschack Elia;Mohamed Ali Camara;Noah Persson;Saidy Janko;Sandro Lauper;Silvere Ganvoula;Ulisses Garcia
Anthony Racioppi;0.115859224504782;0.0549903806611556;0.0281834135192289;0.145737368057521;0.105060944476898;0.144662831873;0.0395338837829253;0.101412593827498;0.0391961661136435;0.0542653336835561;0.055742931797482;0.00341629100706391;0.111938636695246
Aurele Amenda;0.115859337345623;0.0549887226297757;0.0281828380895499;0.145733532513594;0.105059458694255;0.144662904948842;0.0395321597772122;0.101412645980539;0.0391972649266346;0.0542687420438302;0.0557432554810046;0.00341657383359778;0.111942563735541
Cedric Itten;0.115858275870051;0.0549906387914426;0.0281837210882888;0.145739547039867;0.105061957768357;0.144663639099246;0.0395345743783099;0.101412217100415;0.0391959869768522;0.054263091205934;0.0557426089685983;0.00341598710335696;0.111937754609282
Cheikh Niasse;0.115858767322013;0.0549891289694678;0.0281831329887644;0.14573592696979;0.105060339120841;0.144663289098133;0.0395329756136957;0.101412268146672;0.0391970613719049;0.054266500910869;0.0557429758317509;0.00341629220523168;0.111941341450866
Filip Ugrinic;0.115858583064672;0.054989822144654;0.0281833174930901;0.145737304849549;0.105060826609335;0.144663410858894;0.0395336385947319;0.101412128053274;0.0391967658031469;0.0542650836951608;0.0557427054106728;0.00341613452260241;0.111940278900217
Loris Benito;0.115858954092072;0.0549903125102177;0.0281833701635262;0.145736893523322;0.105060764808128;0.144663361152771;0.0395338091630746;0.101412216147626;0.0391965342505253;0.0542651535740162;0.0557426068069838;0.0034161915538538;0.111939832253883
Meschack Elia;0.115858568612486;0.0549883818531046;0.0281830832142895;0.14573534563038;0.105060398899853;0.144663354200453;0.0395324379590779;0.10141259394927;0.03919705152174;0.0542674427250214;0.0557433907923652;0.00341642547678889;0.111941525165171
Mohamed Ali Camara;0.115858820046207;0.054991651049435;0.0281835656514888;0.145738955515669;0.105061511918746;0.144662891399445;0.0395347231997069;0.101412720724766;0.0391955811392303;0.0542637433842625;0.0557425513200535;0.00341611334870377;0.111937171302287
Noah Persson;0.115857871821481;0.0549901684251574;0.0281837976153649;0.14573994154384;0.105062375119081;0.144663853659057;0.0395344156359851;0.101412408193623;0.0391958502332653;0.054263075839078;0.0557428804649332;0.00341600465296096;0.111937356796172
Saidy Janko;0.115858624150792;0.0549921084232068;0.0281838871957015;0.145740645671693;0.105062254448855;0.144663284313873;0.0395354760630874;0.101412363337107;0.0391953282244141;0.0542619033369567;0.0557422868780791;0.00341591859810796;0.111935919358127
Sandro Lauper;0.115859005251294;0.0549896729076017;0.0281831935079029;0.14573640778239;0.105060557668333;0.144662817109719;0.0395332373215697;0.101412723740913;0.0391965113916111;0.0542664648175913;0.0557431437154056;0.00341637257484869;0.11193989221082
Silvere Ganvoula;0.11585831362754;0.0549919492489731;0.0281840497830663;0.14574169570769;0.105062860198266;0.144663372455552;0.0395356306337971;0.101412528038145;0.0391950228110692;0.0542613417246643;0.0557425060327422;0.0034158949363309;0.111934834802164
Ulisses Garcia;0.115858514255888;0.0549898054939641;0.028183417673352;0.145737799094404;0.105061245421272;0.144663259592949;0.0395336767688835;0.101412543167821;0.0391963241767131;0.0542651114659698;0.0557430188723491;0.00341621197498914;0.111939072041445
