;Andreas Cornelius;Birger Meling;Denis Vavro;Elias Achouri;Elias Jelert;Kamil Grabara;Kevin Diks;Magnus Mattsson;Mohamed Elyounoussi;Orri Oskarsson;Oscar Hojlund;Peter Ankersen;Roony Bardghji;Scott McKenna;Victor Froholdt;William Clem
Andreas Cornelius;0.014224704435515;0.0110758258130642;0.106881208988327;0.0612958261015397;0.118551094420242;0.0591406819523692;0.0916416459509507;0.0251086622145055;0.0970306637070271;0.0341369253526362;0.027363328708363;0.082491349596406;0.0264521458836354;0.163355283301812;0.029337366570785;0.0519132870028225
Birger Meling;0.0142247169058246;0.011075911996091;0.106879611971925;0.0612961044494202;0.118551833731116;0.0591407971179036;0.0916420392037574;0.0251087602930342;0.097031114006731;0.0341365489767103;0.0273634011546513;0.0824906872945475;0.0264518426533265;0.163356367707467;0.0293368135148815;0.0519134490226123
Denis Vavro;0.0142247220450674;0.0110757106368071;0.10688096991036;0.061295803135758;0.118549847278915;0.059141232593448;0.0916422019495608;0.025108683203287;0.0970298587348801;0.0341370413897068;0.0273631450004411;0.0824940486400457;0.0264522121297234;0.163353851093098;0.0293377208026304;0.0519129514562715
Elias Achouri;0.0142246926125483;0.0110757869534533;0.10688216914332;0.0612957178081987;0.118550930760381;0.0591404493734435;0.0916411767819914;0.0251086185533619;0.0970306415807699;0.0341370869930879;0.0273633404645085;0.0824910498783986;0.0264522764070398;0.163355269317492;0.0293375401687705;0.0519132532032348
Elias Jelert;0.0142247147755207;0.0110758803396034;0.106880049879068;0.0612960184978404;0.118551530538269;0.059140810724534;0.0916419821309364;0.0251087320735342;0.0970309186569881;0.03413666802585;0.0273633652728199;0.0824910886410727;0.026451937158423;0.163355919315489;0.0293370048602202;0.0519133791098319
Kamil Grabara;0.0142246964873359;0.0110757774377587;0.106881958956429;0.0612957500505921;0.118550823821907;0.0591405384526931;0.0916412879117697;0.0251086343694658;0.0970305777608291;0.0341370599851551;0.0273633225150112;0.0824913696020646;0.0264522498964647;0.163355208569974;0.0293375250330835;0.051913219149467
Kevin Diks;0.0142246948978229;0.0110757905875826;0.106882040049221;0.0612957219297346;0.118550909406377;0.0591405074281339;0.0916412796290301;0.0251086215892172;0.0970306041272391;0.034137076092605;0.0273633299145661;0.0824912014229209;0.0264522677181121;0.16335516357601;0.0293375433885707;0.0519132482428562
Magnus Mattsson;0.0142247095718085;0.0110758602681326;0.106880568947531;0.0612959350983602;0.118551382538838;0.0591407340182169;0.09164181310102;0.0251087007464317;0.0970308353628328;0.0341367769754667;0.0273633558395071;0.0824911069100677;0.0264520264905097;0.163355692854059;0.0293371509905198;0.0519133502866978
Mohamed Elyounoussi;0.0142247008102603;0.0110758116974153;0.10688148554316;0.0612958046222684;0.118551046574369;0.0591406040111412;0.0916414835176659;0.0251086531722363;0.0970306713589863;0.0341369658370714;0.0273633351858729;0.0824912393002383;0.0264521774762945;0.163355343856688;0.0293374022695992;0.0519132747667325
Orri Oskarsson;0.0142247024060694;0.0110756678585606;0.106882555440683;0.0612955869743338;0.118549672265296;0.0591408597855315;0.0916415115562021;0.025108595416449;0.0970298208008883;0.0341373227968391;0.0273631642304745;0.0824934667365355;0.0264524461595518;0.163353657120881;0.0293380396747801;0.051912930776924
Oscar Hojlund;0.0142247294627738;0.0110757673571889;0.106880109224651;0.0612959204266124;0.118550250997838;0.0591413308600058;0.0916425056759943;0.0251087241142163;0.0970300555637741;0.0341368587970324;0.0273631739243562;0.0824937668023241;0.0264520689553256;0.16335421942368;0.0293374704402308;0.0519130479739963
Peter Ankersen;0.0142246490969823;0.0110755243468334;0.106886905338167;0.0612950309103183;0.118549052491757;0.059139840699474;0.0916395435814271;0.0251083711301946;0.0970296928493472;0.0341380848160921;0.0273632114715102;0.0824920438164128;0.0264530721505407;0.163353256857111;0.0293388936916248;0.0519128267522072
Roony Bardghji;0.014224708304868;0.0110758201098468;0.106880961247794;0.0612958676695145;0.118551028754376;0.0591407626276193;0.0916417532919874;0.0251086807902836;0.097030627957231;0.0341368854495335;0.0273633164149095;0.0824916004560564;0.0264521093272156;0.163355286473002;0.0293373284234909;0.0519132627022722
Scott McKenna;0.0142247026112768;0.0110758616424839;0.106881052937795;0.0612958612391615;0.11855144061293;0.0591405916930153;0.0916415989929971;0.0251086686497082;0.0970308758335888;0.0341368570777386;0.0273633733443964;0.0824907337775369;0.0264520970774347;0.16335567567253;0.0293372322068277;0.0519133766305792
Victor Froholdt;0.014224725369339;0.0110754767882274;0.10688259890843;0.0612954809279068;0.118547643399235;0.0591416486267594;0.0916422434141584;0.0251086012048473;0.0970285142206614;0.0341375897759402;0.0273628735733541;0.0824976314795814;0.0264526210534243;0.163351251435823;0.0293387050417845;0.0519123947805279
William Clem;0.0142247090509017;0.0110758258416911;0.106880868777246;0.0612958818291416;0.118551072922727;0.059140771088583;0.0916417812501654;0.0251086857528357;0.097030651963446;0.0341368647659881;0.0273633201320711;0.0824915644778426;0.0264520929303441;0.163355337323748;0.0293372989762641;0.0519132729170048
