;Aleksandar Dragovic;Cherif Ndiaye;In-beom Hwang;Jovan Mijatovic;Kosta Nedeljkovic;Marko Stamenic;Milan Rodic;Mirko Ivanic;Nasser Djiga;Omri Glazer;Osman Bukari;Peter Olayinka;Srdjan Mijailovic;Stefan Mitrovic;Vladimir Lucic
Aleksandar Dragovic;0.079552723874257;0.0976078412458547;0.171883694960116;0.0171004430273834;0.0178113850193761;0.0627297098503454;0.0577500396296565;0.117081250070569;0.060477900074454;0.0150575115218408;0.0557319922867897;0.0406614715628931;0.0683290648026091;0.0926418934668948;0.0455830786069605
Cherif Ndiaye;0.0795485973367004;0.097610712877338;0.171884989502476;0.0171008389447235;0.0178116475099751;0.0627299074646712;0.0577507042906361;0.117081378894899;0.0604796602852212;0.0150563739293473;0.0557320191099068;0.040661528536653;0.0683267114788338;0.0926428430711091;0.0455820867675093
In-beom Hwang;0.0795515042543201;0.0976087623560053;0.171884327518812;0.0171004776357929;0.0178114041679825;0.0627296777040331;0.0577502662062528;0.117081497444004;0.0604778744041955;0.0150571454605817;0.0557319647114604;0.0406616861543857;0.0683284187419127;0.0926422849128123;0.0455827083274494
Jovan Mijatovic;0.0795518848925454;0.0976085392688434;0.171884327420784;0.0171004034067315;0.0178113525294426;0.0627296116106202;0.0577502219776503;0.117081574357184;0.0604774504484396;0.0150572336999187;0.055731943716991;0.0406617750745346;0.0683286602289002;0.0926422591640553;0.0455827622033588
Kosta Nedeljkovic;0.0795510997268112;0.0976088082378395;0.171883644361083;0.0171007795943875;0.0178116173475696;0.0627299900669079;0.0577502351553549;0.117080843241865;0.0604797985001346;0.0150571300799101;0.0557320840690503;0.0406610573317863;0.0683280294136962;0.0926420231012463;0.0455828597723581
Marko Stamenic;0.079551822122348;0.0976083395205799;0.171883532181001;0.0171006727753917;0.0178115444881506;0.0627299136940877;0.05775013272181;0.117080915183016;0.0604792412034186;0.0150573154964828;0.0557320629506193;0.0406611380082287;0.0683284639871609;0.0926419081500684;0.0455829975176363
Milan Rodic;0.0795526929232513;0.0976079481619482;0.171884002509584;0.0171003487827369;0.017811317853988;0.0627296042825662;0.0577500796283476;0.117081498577906;0.0604772684356933;0.0150574680185801;0.0557319498469943;0.0406617058378221;0.0683291054920637;0.0926420299895321;0.0455829796589857
Mirko Ivanic;0.079551345544545;0.0976090676230909;0.171885031347734;0.0171002829631888;0.0178112641264489;0.0627294463559875;0.0577503703085689;0.117082029312594;0.0604765354772653;0.015057023057002;0.0557318697022489;0.0406621975119624;0.0683284560226551;0.0926426109704596;0.0455824696762485
Nasser Djiga;0.079551226138773;0.0976083208679444;0.171882257983883;0.0171012013177078;0.0178119190774698;0.0627304755032647;0.0577500529281568;0.117079748047368;0.0604826478600726;0.0150573268619937;0.055732280064497;0.0406600049629565;0.0683278378143388;0.092641397572975;0.0455833029985993
Omri Glazer;0.0795569332583675;0.0976045852969074;0.171881238843196;0.0171004065495837;0.0178113786829374;0.0627299171614846;0.0577492280173264;0.117080184644642;0.0604785537211725;0.0150588060934994;0.0557321277948868;0.040660528131599;0.0683312439600414;0.0926404318229306;0.0455844360214252
Osman Bukari;0.0795521941986967;0.097608249543277;0.171884001203838;0.0171004463453979;0.0178113852187423;0.0627296847319941;0.0577501420061721;0.117081388491859;0.0604778147235807;0.0150573488009216;0.0557319765037737;0.0406615918595478;0.0683287908982698;0.0926420780135962;0.0455829074603338
Peter Olayinka;0.0795542844589244;0.0976073099503152;0.171885086171874;0.0170996831582716;0.0178108507407539;0.0627289503531692;0.0577500141620528;0.117082739470708;0.0604731666522213;0.0150577165753004;0.0557317088430305;0.0406629238991564;0.0683303240947899;0.0926423666691591;0.0455828748002736
Srdjan Mijailovic;0.0795572542292086;0.0976047737116681;0.171882552330213;0.0170999189376424;0.0178110326959715;0.0627293905441733;0.0577493433383374;0.117081330990919;0.0604753707461237;0.0150587271032481;0.0557319205554808;0.0406616265858749;0.0683317029386198;0.0926409746590567;0.0455840806334625
Stefan Mitrovic;0.0795520189519842;0.0976085893867192;0.171884784416001;0.0171002290212386;0.0178112289596903;0.0627294262177415;0.0577502583667987;0.117081980858961;0.0604763200209235;0.0150572124267284;0.0557318706821915;0.0406621623432286;0.0683288337000864;0.0926424429088125;0.045582641738894
Vladimir Lucic;0.079552762950505;0.0976079590112972;0.171884180243301;0.0171002789858369;0.0178112681187927;0.0627295279635253;0.057750092154069;0.117081654482663;0.0604768125826445;0.015057463261905;0.0557319199108061;0.0406618585955678;0.0683291840783445;0.0926421016913113;0.0455829359694315
