;Adria Pedrosa;Boubakary Soumare;Djibril Sow;Dodi Lukebakio;Erik Lamela;Fernando;Ivan Rakitic;Jesus Navas;Juanlu Sanchez ;Lucas Ocampos;Mariano Diaz;Marko Dmitrovic;Nemanja Gudelj;Sergio Ramos;Suso;Youssef En-Nesyri
Adria Pedrosa;0.109788269585189;0.0222070366486999;0.0630406089109825;0.0253397348485836;0.0482344175009915;0.117167849801937;0.0597258582704941;0.0230384615070278;0.0722121667942352;0.0753979321098157;0.00534723003189375;0.0427036915574428;0.127485666396342;0.158608758747813;0.0248530782852737;0.0248492390032793
Boubakary Soumare;0.109787688582192;0.0222076766129006;0.063040149239404;0.0253399383207851;0.0482337147199928;0.117166920167026;0.059725089866672;0.0230399823457387;0.0722118826549498;0.0753992944319869;0.00534741394558929;0.0427034844516848;0.127485241739348;0.158608349077872;0.0248544022469253;0.024848771596932
Djibril Sow;0.109788399008419;0.0222068599479886;0.0630402400339578;0.0253395385695378;0.0482337821935066;0.117168861652372;0.0597270140525711;0.023038357013999;0.0722142454173562;0.0753978395514757;0.00534688628259361;0.0427037011904041;0.12748365592019;0.158610086660307;0.0248505015698645;0.0248500309354564
Dodi Lukebakio;0.10978636481661;0.0222084327707226;0.0630396239721015;0.0253401769180653;0.0482318921253153;0.117166968113589;0.0597251737906439;0.0230416865657331;0.0722139845155349;0.075400201076769;0.00534741834336504;0.0427027649691248;0.127481617454335;0.158610477829232;0.0248543249892156;0.0248488917496431
Erik Lamela;0.109788673601516;0.0222067479950022;0.0630404180007271;0.0253395565239293;0.0482344611795531;0.117168472210173;0.0597265457573294;0.0230380379250275;0.0722129189949906;0.0753978340943851;0.00534699690005532;0.0427038948432643;0.127485358876191;0.158608971643776;0.0248513871023148;0.0248497243517651
Fernando;0.109788121251029;0.0222070303400018;0.0630402498294997;0.0253396416021854;0.0482336765602682;0.117168582934563;0.0597266678031396;0.0230386599615118;0.0722139595262496;0.0753980437205079;0.00534698385039338;0.0427035854140658;0.127483696278836;0.1586100424934;0.0248512419412986;0.0248498164930509
Ivan Rakitic;0.109789503969686;0.0222064016025052;0.0630406923248598;0.0253394722072946;0.0482357458932234;0.117167957722149;0.0597260352173071;0.0230372580919911;0.0722108237314246;0.0753976800290599;0.00534710303094828;0.0427044041273009;0.127488418221741;0.158606882708324;0.0248522646993222;0.0248493564228625
Jesus Navas;0.109789225694592;0.0222071965967259;0.0630408630284107;0.025339758525055;0.0482358401647141;0.117165707457704;0.0597241808970262;0.0230387967949108;0.0722083417058886;0.0753985955937269;0.00534770659024826;0.042704300314872;0.127490208658483;0.158604828903867;0.0248565011507956;0.0248479479229805
Juanlu Sanchez ;0.109790022060638;0.0222062914758444;0.0630407669064366;0.0253394393362765;0.0482365122850257;0.117167371633989;0.0597255258958042;0.0230370515452727;0.0722092836924357;0.0753978903560416;0.00534721223395847;0.0427047456823215;0.127490518471841;0.15860525164488;0.0248531163594198;0.024849000419815
Lucas Ocampos;0.109788245510516;0.0222073363195771;0.063040274226988;0.0253397768135887;0.0482341651754527;0.117167257430487;0.0597255049035354;0.0230392845338951;0.0722118624958477;0.0753988057202322;0.005347304521642;0.0427037323279765;0.127485794761164;0.158608076871769;0.0248535777562594;0.024849000631069
Mariano Diaz;0.109787905491347;0.0222084051205803;0.0630406613327601;0.0253402972183623;0.0482350163310972;0.117163629294447;0.0597221730410897;0.0230412071926392;0.0722066720124903;0.0754003454179076;0.00534831040730734;0.0427036998112274;0.127490266123526;0.158603946604071;0.0248608384426387;0.024846626158508
Marko Dmitrovic;0.109789386176302;0.0222063579895946;0.0630406312013466;0.0253394238419174;0.0482353882580562;0.117168413940927;0.0597264813788706;0.0230372077623239;0.0722118296888685;0.0753974625595021;0.00534698297684853;0.0427043143094681;0.127487316717818;0.158607774783829;0.0248513703716475;0.0248496580426811
Nemanja Gudelj;0.109787287750458;0.0222072543346372;0.0630401016061494;0.0253396854092563;0.0482323418769237;0.117169468302271;0.0597274991125112;0.0230391186935814;0.0722165628394967;0.0753977380196197;0.00534681270641472;0.0427030278306612;0.127480139581739;0.158612710601326;0.024849871248504;0.0248503800864504
Sergio Ramos;0.109790530055853;0.0222060824694254;0.0630406464317748;0.0253393139418307;0.0482368974203599;0.117167388067308;0.0597256356050485;0.0230367708605741;0.0722089452940559;0.0753980257697994;0.00534712823288064;0.042705067315893;0.127491445305353;0.158604482134813;0.0248525535721615;0.02484908752287
Suso;0.109786290907805;0.0222083259207475;0.0630397140173717;0.0253402089865441;0.0482320765465359;0.11716715651708;0.0597251537904919;0.0230413747505449;0.0722138045600455;0.0754000561506535;0.00534740621932949;0.0427027424455;0.127481874599743;0.158610557495973;0.0248543205422131;0.0248489365494213
Youssef En-Nesyri;0.109789253567769;0.0222066015887633;0.0630403467795429;0.0253394354798173;0.0482348817080435;0.117168248995415;0.0597265259698664;0.0230378741838144;0.0722123427278476;0.0753979753903092;0.00534697519562063;0.0427042311519584;0.127486475251795;0.158607934755538;0.0248512160282421;0.0248496812256562
