;Achraf Hakimi;Beraldo;Bradley Barcola;Fabian Ruiz;Gianluigi Donnarumma;Kylian Mbappe;Lucas Hernandez;Marquinhos;Nuno Mendes;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.113492017331656;0.0605178519532232;0.0500064719382491;0.0779745496359647;0.0132638934051;0.0781641941243126;0.0498530766797336;0.101310401669827;0.0987267771558073;0.123825948532944;0.0173890414595396;0.12256468294113;0.0929110931725121
Beraldo;0.113492487305258;0.0605158411696786;0.0500052153889423;0.0779746026143657;0.0132634580002952;0.0781707436084404;0.0498522500417357;0.101309348546484;0.0987308200367488;0.12381976063783;0.0173885357532238;0.122570266262032;0.0929066706349655
Bradley Barcola;0.113491547876026;0.0605162154709211;0.0500066157856603;0.0779752769492741;0.0132635715806776;0.0781677431409326;0.0498523290693265;0.101309872269802;0.0987293862316946;0.123822187983133;0.0173890408030657;0.122567628179125;0.0929085846603608
Fabian Ruiz;0.113491286611062;0.0605162531729186;0.0500071215463682;0.0779756970138449;0.013263494120909;0.078167723183411;0.049852433031158;0.101309517512506;0.0987292270689607;0.12382211691691;0.0173891839472563;0.122567386061951;0.0929085598127439
Gianluigi Donnarumma;0.113488371742871;0.0605165475970425;0.0500099550600231;0.0779771075163366;0.0132635459311395;0.0781642067532735;0.0498524389811652;0.101309291680751;0.0987280205823624;0.123825870830486;0.0173901802369412;0.122563482168154;0.092910980919454
Kylian Mbappe;0.1134915403831;0.060517245510825;0.0500063402015567;0.0779745675709262;0.0132637944276673;0.0781658830184146;0.0498527597402056;0.101310002235061;0.0987281071560242;0.123824789670213;0.0173889943224735;0.122565921448035;0.0929100543154982
Lucas Hernandez;0.113493308185337;0.0605158784986637;0.0500033077247138;0.0779731581877258;0.0132635535253144;0.0781727044990249;0.0498521968796561;0.101309253103075;0.0987319206433569;0.123819042587907;0.0173879258524374;0.122572097325209;0.0929056529875798
Marquinhos;0.113489549274121;0.0605174077456694;0.0500090065591282;0.0779761508395056;0.0132638133472291;0.0781623224107482;0.0498527616201116;0.101310240155908;0.0987266013053162;0.12382752676542;0.0173899089802317;0.122562451637814;0.0929122593587973
Nuno Mendes;0.113487457340471;0.0605167249783509;0.0500097586965653;0.0779766393646057;0.0132635697874061;0.0781649574229568;0.0498524799549785;0.101308514293176;0.0987286591668187;0.123826745452413;0.0173901394406677;0.122563500190773;0.0929108539108166
Ousmane Dembele;0.113492473506909;0.0605170569405368;0.0500045958636828;0.0779732370252949;0.0132639785966285;0.0781667188758881;0.0498524610107557;0.101310818781943;0.0987289252995902;0.123824376088558;0.0173884726660221;0.122567259176446;0.0929096261677454
Randal Kolo Muani;0.11349238245555;0.0605162026777601;0.0500060637418153;0.0779750438423208;0.0132635775424733;0.0781680695288098;0.049852353124416;0.101310149057488;0.0987293394945062;0.123821449723715;0.0173888448972011;0.122568249048932;0.0929082748650117
Vitinha Ferreira;0.113490127473532;0.0605169602095971;0.0500069986382692;0.0779748632130026;0.0132637351435532;0.0781663773009894;0.0498525683564278;0.101309372788776;0.0987288985424929;0.123825214234364;0.0173892288461698;0.122565741503115;0.0929099137497117
Warren Zaire-Emery;0.11349143937439;0.0605174294348361;0.0500069393443953;0.0779749554296042;0.0132638210950503;0.0781645776067009;0.0498528509540581;0.101310281240777;0.0987273164478774;0.123825512268726;0.0173891950712146;0.122564878151327;0.0929108035810438
