;Adam Marusic;Alessio Romagnoli;Ciro Immobile;Danilo Cataldi;Elseid Hysaj;Felipe Anderson;Ivan Provedel;Luis Alberto;Manuel Lazzari;Matias Vecino;Matteo Guendouzi;Mattia Zaccagni;Nicolo Casale;Nicolo Rovella;Pedro Rodriguez;Taty Castellanos
Adam Marusic;0.0913857484599523;0.116097233919832;0.0252896062400044;0.00429983247209063;0.0540622505110224;0.0602388860787409;0.0408676830174656;0.135057868004886;0.0623967630974672;0.0581571813391066;0.0446347143584991;0.0799166856147167;0.145587198016698;0.0464921044948998;0.0181723521989874;0.0173438921756301
Alessio Romagnoli;0.0913857695296346;0.116097159334103;0.0252895746145593;0.00429983062335633;0.0540620755835202;0.0602390354442407;0.0408677126718005;0.135057792284883;0.0623967180166275;0.0581571885976339;0.0446346796936071;0.0799166886020903;0.145587330476911;0.0464921435742262;0.0181723921476144;0.0173439088051915
Ciro Immobile;0.0913855840492254;0.116096176947328;0.0252890365470391;0.00429976734896651;0.0540599110277745;0.0602416881295222;0.0408682779762896;0.135055745977929;0.0623965794648003;0.0581571977046077;0.0446344203674012;0.0799162989023555;0.145589431331647;0.0464925281816172;0.0181731790829444;0.0173441769605531
Danilo Cataldi;0.0913853165663249;0.11609759128702;0.0252894345971063;0.00429975913857626;0.0540626089537729;0.0602387595496863;0.0408678732594815;0.135056894730609;0.06239783713458;0.0581565871018345;0.0446353617182987;0.0799158080536883;0.145587686093858;0.0464917712513549;0.0181727262973604;0.0173439842664478
Elseid Hysaj;0.0913854854204133;0.11609594866046;0.0252888725695873;0.00429973754576231;0.0540593238450362;0.0602423493746389;0.0408684763215025;0.135055147903075;0.0623966879275874;0.0581571047271358;0.0446344488810848;0.0799160333138324;0.145590059406955;0.0464926048639676;0.0181734490848925;0.0173442701540683
Felipe Anderson;0.0913845407291824;0.116099273007908;0.0252896366336274;0.00429968633005685;0.0540657048460714;0.0602361209334587;0.040867633204592;0.135056691257416;0.06240006419374;0.0581555270491682;0.0446368316795561;0.0799145897289474;0.145586504308101;0.0464906850458932;0.0181726465459594;0.0173438645063219
Ivan Provedel;0.0913855618695655;0.116097540538687;0.0252895772445867;0.00429980588648793;0.0540626642407596;0.0602385291980547;0.040867712308426;0.135057585434528;0.0623973034953236;0.0581568922560821;0.0446350595479981;0.0799163240871506;0.145587200745122;0.0464918896332353;0.0181724496380403;0.0173439038759537
Luis Alberto;0.0913858678065779;0.116096553750713;0.0252893665157737;0.00429982934960682;0.0540608271580316;0.0602403744633675;0.0408679213316873;0.135057151950514;0.0623962315649871;0.058157411591225;0.0446343036479981;0.0799168540422978;0.1455881968003;0.046492460131577;0.0181726432766625;0.0173440066186807
Manuel Lazzari;0.0913853832132117;0.116096788989092;0.0252890968400955;0.00429974291796599;0.0540608469443547;0.0602406629628184;0.0408682187475601;0.135055785452929;0.0623973435613825;0.0581567872392133;0.0446349478979137;0.0799158736296258;0.145589041040667;0.0464921670340173;0.018173167918833;0.0173441456103201
Matias Vecino;0.0913851099276332;0.116098373458396;0.0252896446536545;0.0042997552488356;0.0540641836012705;0.0602372688139444;0.0408676393186619;0.135057342378215;0.0623985531832547;0.0581562796278784;0.0446358733656966;0.0799155568920497;0.145586740275867;0.0464913272490462;0.0181724826190635;0.0173438693865327
Matteo Guendouzi;0.0913851159930925;0.116097777417483;0.0252893443980267;0.00429973182760577;0.0540627538254681;0.0602387785108557;0.0408679604856383;0.135056337952509;0.0623982964265588;0.0581563527283359;0.0446356310704514;0.0799154809358928;0.145587909860911;0.0464916099468935;0.0181729014294712;0.0173440171908051
Mattia Zaccagni;0.0913854478845176;0.116098079937013;0.0252898029936062;0.00429980866623845;0.0540639303190236;0.0602372768878695;0.040867493398339;0.135058259893561;0.062397722030031;0.058156729908503;0.0446353841534737;0.0799161836561649;0.14558630288514;0.0464916023632373;0.0181721734486232;0.0173438015746572
Nicolo Casale;0.0913853018268574;0.116097834620056;0.0252895296128418;0.00429977066697447;0.0540631103245712;0.0602382690227883;0.0408677659876817;0.135057152116787;0.0623979303893037;0.058156575087303;0.0446354447571877;0.0799158700520493;0.145587274349357;0.0464916554675036;0.0181725890441634;0.0173439266745743
Nicolo Rovella;0.0913855266295935;0.116097432745658;0.0252895321114816;0.00429979786911729;0.0540624997566562;0.0602387897839443;0.040867760265281;0.135057393356486;0.0623973014682611;0.0581568944177354;0.0446350379387707;0.0799162662512944;0.145587394021036;0.0464919250775162;0.0181725190695516;0.0173439292376162
Pedro Rodriguez;0.0913850085928164;0.116097969587989;0.02528933418461;0.00429971552502648;0.0540630207937859;0.0602385187398388;0.0408679738292508;0.135056214272782;0.0623986271779825;0.0581561709550297;0.0446358459858284;0.0799152550736001;0.145587890440649;0.0464914789266003;0.0181729522003457;0.0173440237138647
Taty Castellanos;0.0913851148017917;0.116096916832341;0.0252889858492685;0.00429969809014405;0.0540609517039825;0.0602407465411201;0.0408683580999701;0.135055175332689;0.062397920104623;0.0581564773785983;0.0446352852718917;0.0799153514716154;0.145589387922114;0.046492012475923;0.0181734079570736;0.0173442101668533
