;Alex Meret;Amir Rrahmani;Giacomo Raspadori;Giovanni Di Lorenzo;Giovanni Simeone;Jens Cajuste;Jesper Lindstrom;Khvicha Kvaratskhelia;Mario Rui;Mathias Olivera;Matteo Politano;Natan;Piotr Zielinski;Stanislav Lobotka;Zambo Anguissa
Alex Meret;0.0178297162243732;0.109465405727963;0.0326064245576835;0.127476333498836;0.0127846843363896;0.00303415180072838;0.0117824036806044;0.0983652009024216;0.096518298141428;0.0190143221601585;0.0688969952224623;0.0897356157353654;0.100139224387773;0.101937207832136;0.110414015791678
Amir Rrahmani;0.0178298105641155;0.109465047394259;0.0326063799417649;0.127476150955859;0.012784600263125;0.00303415315521956;0.0117824741469469;0.0983658919032228;0.0965172839581858;0.0190142086041727;0.068897195918536;0.0897361142423203;0.100139104071042;0.101937665594072;0.110413919287159
Giacomo Raspadori;0.0178298368219277;0.1094650343001;0.0326063675133946;0.127475811816335;0.0127845849287541;0.00303414659963786;0.0117825107080505;0.0983661771885262;0.0965168247919823;0.0190141647393777;0.0688973254118802;0.0897363252624689;0.1001391203041;0.101937908631802;0.110413860981664
Giovanni Di Lorenzo;0.0178298343399316;0.109465046470819;0.032606371876544;0.127475798839494;0.0127845876308815;0.0030341459575028;0.0117825124927532;0.0983661724435797;0.0965168159497625;0.0190141654706511;0.0688973351910959;0.0897363150854578;0.100139124852994;0.101937908741354;0.110413864657179
Giovanni Simeone;0.0178297125072595;0.10946534780623;0.032606423653753;0.127476561617551;0.0127846804291964;0.00303415705145401;0.0117823857738088;0.0983651005009371;0.0965184914800233;0.0190143370219566;0.0688969216052723;0.0897355466031503;0.10013919522398;0.101937100767597;0.110414037957832
Jens Cajuste;0.0178298325759072;0.109465108752477;0.0326063771548795;0.127475630053907;0.0127845951752044;0.00303414160882755;0.0117825249813616;0.0983662206255364;0.096516697656161;0.0190141584941645;0.0688973904219369;0.0897363421166443;0.100139152797828;0.101937972877742;0.110413854707423
Jesper Lindstrom;0.0178298966446868;0.109464922857115;0.032606343293433;0.127475326762183;0.0127845424153953;0.00303413893344907;0.0117825794630626;0.0983667481189158;0.0965159229358133;0.0190140744380987;0.0688975631004174;0.0897367267463175;0.100139094393924;0.101938347268988;0.1104137726282
Khvicha Kvaratskhelia;0.0178296442164885;0.109465623304495;0.0326064560254117;0.127476634549705;0.0127847415719469;0.00303415538072281;0.0117823366767534;0.0983646354574813;0.0965191821626238;0.0190144149822558;0.0688967952796434;0.0897352009727315;0.100139278427405;0.101936790088029;0.110414110904308
Mario Rui;0.0178299942392131;0.10946450259557;0.0326062905485599;0.127475348139868;0.0127844521681709;0.00303414492654823;0.0117826369121738;0.098367351022631;0.0965150684738748;0.0190139719398152;0.0688976894770545;0.0897371892956155;0.100138955791925;0.101938727407389;0.110413677061592
Mathias Olivera;0.0178300512749704;0.109464373218464;0.0326062624217438;0.127474973754832;0.0127844091831546;0.00303413990922175;0.0117826934742028;0.0983678525624307;0.0965143026964497;0.0190138922562264;0.0688978761789336;0.0897375532451702;0.100138921240876;0.101939103383316;0.110413595200009
Matteo Politano;0.0178298164510713;0.109465081525099;0.0326063796413057;0.127475936411908;0.012784599958225;0.00303414846014288;0.0117824918119636;0.098366014264756;0.0965170733028089;0.0190141909142019;0.0688972699843861;0.0897361960354373;0.100139125102079;0.10193777904504;0.110413897091575
Natan;0.0178297075710889;0.109465503204322;0.0326064320514544;0.127476118992899;0.012784697222336;0.00303414654882036;0.0117824121149814;0.0983652360813637;0.0965182153723636;0.0190143194454215;0.0688970507807636;0.0897356269603998;0.100139260591754;0.101937261534536;0.110414011527496
Piotr Zielinski;0.0178297933555708;0.109465163192076;0.0326063890325359;0.127476006105831;0.0127846197384118;0.00303414884090881;0.0117824719242775;0.0983658337662094;0.0965173480088496;0.0190142204722763;0.0688972096074267;0.0897360689045161;0.100139150771295;0.101937654768705;0.11041392151111
Stanislav Lobotka;0.0178297334907927;0.109465394099562;0.0326064193577253;0.127476098837958;0.0127846733712824;0.00303414740830484;0.0117824297967268;0.0983654120632599;0.0965179596721291;0.0190142901222984;0.0688970956250941;0.08973575779853;0.100139227410162;0.101937376560938;0.110413984385236
Zambo Anguissa;0.0178298185074277;0.109465036082337;0.0326063756791964;0.127476071351475;0.0127845952074555;0.00303415151115941;0.0117824839441056;0.0983659652262216;0.0965171649866593;0.0190141970594189;0.0688972262530991;0.0897361732640279;0.100139110150255;0.101937730672445;0.110413900104718
