;Alan Varela;Andre Franco;David Carmo;Diogo Costa;Francisco Conceicao;Galeno;Goncalo Borges;Ivan Jaime;Joao Mario;Jorge Sanchez;Mehdi Taremi;Nico Gonzalez;Pepe;Stephen Eustaquio;Wendell;Zaidu Sanusi
Alan Varela;0.0737859027468342;0.0708795446848794;0.148676954132071;0.0614576789348442;0.00218545967603377;0.0493098357610207;0.0119212501447073;0.040101355826825;0.0734501230255984;0.0279402412056874;0.0375415928242772;0.0059896016604286;0.199268988881889;0.09353662920402;0.0685488372551813;0.0354060040357019
Andre Franco;0.0737860900355669;0.070879036781064;0.148675773835166;0.0614569290656784;0.00218537609592013;0.0493090085377635;0.0119210199753316;0.0401017298577741;0.0734483994304462;0.0279398706318467;0.0375413502208375;0.00598970612472535;0.199272560238538;0.0935369050072728;0.0685497642984086;0.0354064798636596
David Carmo;0.0737861487705227;0.0708786878477112;0.148675146486819;0.0614564645239667;0.00218532424797247;0.0493085453908762;0.0119208981065524;0.0401019973797419;0.0734473203063989;0.0279396211440395;0.0375411414127861;0.00598974827174972;0.19927456230274;0.0935371789621847;0.068550423287422;0.0354067915585163
Diogo Costa;0.0737860538993274;0.0708790744919155;0.148676016892409;0.0614570211695648;0.0021853847589656;0.0493092128863734;0.0119210781785152;0.0401017026862655;0.0734485762618463;0.0279398799303813;0.0375413320088082;0.00598968450016559;0.199272043225941;0.0935368774189213;0.0685496499487146;0.0354064117418839
Francisco Conceicao;0.0737858154087583;0.0708796259971991;0.148677247117646;0.0614578313891357;0.00218547733309241;0.0493100024893779;0.0119213027345191;0.0401013058010376;0.0734504783673796;0.0279403142096539;0.0375416079739827;0.00598956270567275;0.19926809686726;0.0935366706588567;0.0685487322038077;0.0354059287426208
Galeno;0.0737858293255318;0.0708794074359356;0.148676958026039;0.0614575681979423;0.00218544709263523;0.0493097980101698;0.0119212522537193;0.0401014752279961;0.073449845855041;0.0279401504812929;0.037541452790334;0.00598957717072901;0.199269148378064;0.0935368546684053;0.0685491288075376;0.0354061062786262
Goncalo Borges;0.0737857527814219;0.070879827429206;0.148677700246775;0.0614581227772457;0.00218550962013537;0.0493103298428125;0.0119213924617405;0.0401011554365628;0.0734511460708332;0.0279404572041509;0.0375417076668323;0.00598952560249083;0.199266740680388;0.0935365417386715;0.0685483523227514;0.0354057381179819
Ivan Jaime;0.0737859180253617;0.0708793569779455;0.148676725544161;0.0614574570747748;0.00218543367356079;0.0493096877362721;0.0119212139144881;0.0401014998990788;0.0734495800201065;0.0279400945061663;0.0375414547946294;0.00598961411707831;0.19926987987188;0.0935367733085874;0.0685491615232755;0.0354061490126336
Joao Mario;0.0737863347036755;0.0708785333165711;0.148674473852863;0.0614561452002634;0.00218528856180522;0.0493081252778376;0.0119207678829687;0.0401020915478612;0.0734466030681666;0.0279394940988667;0.037541139860263;0.00598983388124592;0.199276462526384;0.0935370981964577;0.0685506506671135;0.035406957357656
Jorge Sanchez;0.0737862635471251;0.0708787894353628;0.148674926835174;0.06145649047888;0.00218532832598458;0.0493084169084306;0.0119208474956586;0.0401019015392779;0.0734474252793081;0.0279396957065128;0.0375412951390117;0.0059897946659644;0.199274899640795;0.0935369593421194;0.0685502198790774;0.0354067457813166
Mehdi Taremi;0.0737861205486102;0.070879144566741;0.148675859587018;0.061457038838271;0.00218538823884802;0.0493090983224148;0.0119210375786118;0.0401016397958021;0.0734486601253762;0.0279399403099876;0.0375414397858129;0.00598971312122341;0.199272241619213;0.0935367545805558;0.0685495343442015;0.0354063886373127
Nico Gonzalez;0.0737858425157625;0.0708799105209413;0.148677410749105;0.0614581234603011;0.00218551252560686;0.0493100963530023;0.0119213169548326;0.0401010807698712;0.0734512207537777;0.0279405430985238;0.0375418590366887;0.00598956711217004;0.199267119444203;0.0935364094766351;0.0685482527897233;0.0354057344388557
Pepe;0.0737857049806809;0.0708801194513182;0.148678131750521;0.0614584935990905;0.00218555236070325;0.0493106156632848;0.0119214669347043;0.0401009335534692;0.0734520346897585;0.0279406841106227;0.0375419040978812;0.00598949480209931;0.199265168932714;0.0935363423523291;0.0685478493517697;0.0354055033690528
Stephen Eustaquio;0.0737860333571324;0.0708791255305646;0.148676074246135;0.0614570851216859;0.00218539288687922;0.0493092254146731;0.0119210825090434;0.0401016670322928;0.0734487427093201;0.0279399306360907;0.0375413706498679;0.00598967615924425;0.199271743347532;0.0935368748496475;0.0685495931130291;0.0354063824368612
Wendell;0.0737858196333911;0.0708795385085377;0.148677285872104;0.0614577624209813;0.00218546659293948;0.0493100962586331;0.0119213304128882;0.0401013688773745;0.0734502551353769;0.027940217608097;0.037541508987171;0.00598956056234805;0.199268329651384;0.0935366933335217;0.0685488102937019;0.0354059558515502
Zaidu Sanusi;0.0737859295817875;0.0708792026693873;0.14867655686668;0.061457278737661;0.00218541248683321;0.0493095861474993;0.0119211896638618;0.0401016180532291;0.0734491376170316;0.0279399705990756;0.0375413368324863;0.0059896231896198;0.199270587769485;0.0935368871758648;0.0685494194072257;0.0354062632022717
