;Alan Varela;Andre Franco;David Carmo;Diogo Costa;Evanilson;Francisco Conceicao;Galeno;Joao Mario;Jorge Sanchez;Marko Grujic;Mehdi Taremi;Nico Gonzalez;Pepe_14926;Pepe_66499;Stephen Eustaquio;Wendell
Alan Varela;0.0656847841969143;0.0517803113072;0.102667690023977;0.0803126102795016;0.0580372276506661;0.0157801247481426;0.0777452916672638;0.0829182024033472;0.0263872124193369;0.0178206861034258;0.0605010134034113;0.0202925438947953;0.136025365761275;0.0943171930444482;0.0755905128430223;0.0341392302532733
Andre Franco;0.0656850695136135;0.051780210262431;0.102667261081774;0.0803123882034183;0.0580378169884515;0.0157803423768022;0.0777453909711166;0.0829182512458918;0.0263871001154782;0.0178207699048223;0.0605013227280279;0.0202928166357854;0.136024367426696;0.0943170844285452;0.0755907951146684;0.0341390130024776
David Carmo;0.0656851961201072;0.0517803670404207;0.102667820217873;0.0803123751987436;0.0580375647969425;0.0157796366936654;0.077744811065196;0.0829182874924388;0.0263870814501274;0.01782050580888;0.0605005995268719;0.0202925289867821;0.136027104642689;0.0943153759092594;0.0755918249214466;0.0341389201285558
Diogo Costa;0.0656849074704233;0.051780278626709;0.102668160178771;0.0803123795572066;0.0580372443159012;0.0157797617122513;0.0777450277490339;0.0829182481642482;0.0263871901090443;0.0178205307120181;0.0605006041753139;0.0202923882059401;0.136026888281026;0.0943160402465703;0.0755913630995894;0.034138987395953
Evanilson;0.0656842545171551;0.0517802650518339;0.102666659752283;0.0803115463168952;0.0580379862559786;0.0157806672933409;0.0777460195443709;0.0829179390925745;0.0263870768563879;0.0178208487704068;0.0605016312438886;0.0202930305555793;0.136024577045543;0.0943180168061276;0.0755900514139347;0.0341394294837004
Francisco Conceicao;0.0656844282909089;0.0517808505739788;0.102667003646089;0.0803142771786799;0.0580362944800799;0.0157801558213196;0.0777442525882544;0.0829189010962353;0.0263874341146729;0.0178207318821168;0.0605022933546266;0.0202926006990668;0.136023289988273;0.0943180075137929;0.0755892697912308;0.0341402089806749
Galeno;0.0656839845085649;0.0517803610380266;0.102666519623293;0.0803112901048212;0.0580379960071818;0.015780571267216;0.0777459316428074;0.0829179559279667;0.0263870642528577;0.0178207906663602;0.0605017145591066;0.0202930715995658;0.136025300863383;0.0943177138338023;0.0755901465510768;0.0341395875539692
Joao Mario;0.0656848181474162;0.0517802386995651;0.102667182170201;0.0803112612967955;0.0580382957368012;0.0157800458078925;0.0777455337938605;0.0829179674396281;0.0263869480996431;0.0178206239968695;0.0605008526977162;0.0202928693246892;0.136026923195789;0.0943158246683045;0.0755917187887003;0.0341388961361279
Jorge Sanchez;0.0656855364527263;0.0517802828504285;0.102667178465003;0.0803118653953009;0.0580384128458363;0.0157798473542237;0.0777450939327042;0.0829181250285267;0.0263868863552356;0.0178206020584444;0.060500712034128;0.0202928642046404;0.136026531574361;0.0943151258131998;0.0755922724504856;0.0341386631847557
Marko Grujic;0.0656844734166362;0.0517806167081888;0.102668122881225;0.0803135786955731;0.0580360149575894;0.0157798406304633;0.0777452352413801;0.0829179697933183;0.0263873966686752;0.01782065566703;0.0605002997460257;0.0202920948649207;0.136026466668504;0.0943181827993594;0.0755892811227594;0.0341397701383514
Mehdi Taremi;0.0656850229676343;0.0517802258264303;0.102666570506007;0.0803115591807352;0.0580386981014479;0.0157803879771073;0.0777452519632285;0.0829183693511804;0.0263869266596816;0.0178207477513304;0.0605018532661357;0.0202931909540785;0.136024594860817;0.094315952196131;0.0755917504427838;0.034138897995271
Nico Gonzalez;0.0656859866970311;0.0517797415905078;0.102668115213111;0.0803106974023786;0.0580391328811203;0.0157797613456597;0.0777456700623796;0.0829178351472603;0.0263867294837739;0.0178205610511742;0.0604996018744618;0.0202927628063077;0.136028318202681;0.0943139872415014;0.0755935623837666;0.0341375366168846
Pepe_14926;0.0656849474891149;0.0517807220931122;0.102667140939733;0.0803136193565764;0.0580367537809087;0.0157799701298048;0.0777450290388055;0.0829180892247372;0.026387216115837;0.0178207285656226;0.0605008559538601;0.0202925202825419;0.136025190884826;0.0943177565170561;0.0755897004006879;0.034139759226776
Pepe_66499;0.065684850008395;0.0517801358737802;0.102667095132139;0.080311360304537;0.0580384460881677;0.0157802856266529;0.0777454161233168;0.0829182441565138;0.0263869883150834;0.0178206840352548;0.0605014862303543;0.0202929809371127;0.136025444329409;0.0943159858687905;0.0755917597533657;0.0341388372171277
Stephen Eustaquio;0.0656847540042533;0.0517802728493094;0.102667325158628;0.080311874653126;0.0580378099353937;0.0157801363855918;0.0777454375520296;0.0829181143073343;0.0263870757300951;0.0178206579172486;0.0605010868676105;0.0202927722795136;0.136025901103524;0.0943166133010793;0.0755910490351137;0.0341391189201485
Wendell;0.0656850181871931;0.0517806262191311;0.102667385222775;0.080313354959931;0.0580369014545641;0.0157799051133365;0.0777450657938165;0.0829180389418901;0.0263871937163544;0.0178206984448849;0.0605006457736609;0.0202924538584403;0.136025723995544;0.0943173049126577;0.0755901538655064;0.0341395295403141
