;Alex Meret;Amir Rrahmani;Giacomo Raspadori;Giovanni Di Lorenzo;Hamed Junior Traore;Jesper Lindstrom;Juan Jesus;Khvicha Kvaratskhelia;Mario Rui;Mathias Olivera;Matteo Politano;Stanislav Lobotka;Victor Osimhen;Zambo Anguissa
Alex Meret;0.0535899918377123;0.131824933812063;0.0207289900448727;0.119111434752303;0.0654716982244484;0.0323148201314142;0.088055925465747;0.0723366667931556;0.0600873957575983;0.0271022738490568;0.0938202955326936;0.0793912189207963;0.033244268805245;0.122920086072893
Amir Rrahmani;0.0535896723744854;0.131821920345492;0.0207288039130915;0.119116587827781;0.0654711024893993;0.0323133320350535;0.0880558581082403;0.072337973108523;0.0600872823379994;0.0271026425473904;0.0938179847299823;0.0793916913428104;0.0332454424191104;0.122919706420641
Giacomo Raspadori;0.053591120134534;0.131820484938584;0.0207301286338585;0.119102973291816;0.0654724740332799;0.0323147219775051;0.0880586804499908;0.0723386754753463;0.0600930446886148;0.0271035202896111;0.0938217488142207;0.0793890319918761;0.0332424455738969;0.122920949706865
Giovanni Di Lorenzo;0.0535875813561333;0.13182146110162;0.0207293744399293;0.11911037837581;0.0654723561030427;0.0323152658862802;0.0880533158905533;0.0723381876082675;0.0600882336028954;0.0271025773931749;0.0938231822844434;0.0793910623623267;0.0332448271260692;0.122922196469454
Hamed Junior Traore;0.053590569782264;0.131822371686126;0.0207301453668609;0.11910210492582;0.0654733697260481;0.0323140445324813;0.0880590959055544;0.0723416965481683;0.0600928005107603;0.0271038544570934;0.0938197026879047;0.0793883046686003;0.0332428743400843;0.122919064862233
Jesper Lindstrom;0.0535873332966984;0.131819092083571;0.0207288905447748;0.119117543553976;0.0654708964639528;0.0323144017371812;0.088052705392211;0.0723364246796593;0.0600872602401701;0.0271025250437181;0.0938220325356958;0.0793924982008036;0.0332459563858236;0.122922439841765
Juan Jesus;0.0535924281930599;0.131823061128227;0.0207296794061271;0.119105166493104;0.0654720158262304;0.0323143193376004;0.0880596804997138;0.0723376235246269;0.0600918028033717;0.0271032583304824;0.0938194715532689;0.0793894494590834;0.0332425050669383;0.122919538378166
Khvicha Kvaratskhelia;0.0535927743737271;0.131823734033762;0.0207300881859193;0.1191020523123;0.0654732103051484;0.0323130242188578;0.0880619818501177;0.0723425595048123;0.0600930362822425;0.0271039490046928;0.0938163363312032;0.0793877800082737;0.0332424145404981;0.122917059048445
Mario Rui;0.0535926380040986;0.131823739229511;0.0207294447934106;0.119109417670059;0.0654718716340203;0.0323110301849116;0.0880633786575979;0.0723422074957698;0.0600930363583065;0.0271047284609579;0.0938119545314135;0.079388647812889;0.0332437666476344;0.12291413851942
Mathias Olivera;0.0535922370217904;0.131824055416592;0.0207293618372804;0.119110647530307;0.0654720941817438;0.0323101487454945;0.0880637605447566;0.072344038860314;0.06009306012535;0.0271051317583478;0.093809955378023;0.0793884114377088;0.0332443565784819;0.12291274058381
Matteo Politano;0.0535882741472899;0.131818365494129;0.0207292547822425;0.119114933946568;0.0654712192087645;0.0323132617648814;0.0880555565532881;0.0723387133228305;0.0600899913192089;0.0271035134356165;0.0938197076765958;0.0793912049508034;0.0332454358266506;0.122920567571131
Stanislav Lobotka;0.053590587583518;0.13182249048099;0.0207296614253466;0.11910665692541;0.0654723539214827;0.0323142031671378;0.0880580500031599;0.0723391112019951;0.0600909861941307;0.0271032986644859;0.0938198642136807;0.0793896383565153;0.0332434233018988;0.122919674560248
Victor Osimhen;0.0535890397587462;0.131821967879873;0.0207295260897158;0.119109944715929;0.0654726852517134;0.0323126704724696;0.0880578183622223;0.0723425498560826;0.0600907259428907;0.0271039658749369;0.093816988289468;0.0793894836550002;0.0332448738698322;0.122917759981119
Zambo Anguissa;0.053588977062369;0.131821646770372;0.0207294781423631;0.11910938719777;0.0654722525069427;0.0323145487131375;0.0880556109902079;0.0723387929122161;0.0600894601804294;0.0271029504655806;0.0938212338214456;0.0793904632341601;0.0332443233864847;0.122920874616522
