;Aissa Laidouni;Alex Kral;Aljoscha Kemlein;Brenden Aaronson;Danilho Doekhi;Diogo Leite;Frederik Ronnow;Josip Juranovic;Kevin Behrens;Kevin Volland;Leonardo Bonucci;Lucas Tousart;Robin Gosens;Sheraldo Becker
Aissa Laidouni;0.0814483361305399;0.104243467812549;0.00449921688829917;0.0338609556384764;0.0857105788434979;0.107222044395178;0.0622091555913554;0.112432040562408;0.0285684549727353;0.0219428723238742;0.103015791163352;0.115949778702643;0.0899767721612402;0.0489205348138514
Alex Kral;0.0814397124763074;0.104242703118653;0.00449809966467307;0.0338658027156884;0.0857150429300593;0.107213570372043;0.0622056233175458;0.112443644826467;0.0285676873041219;0.0219457635096568;0.103015848218267;0.115953869056694;0.0899661997337871;0.0489264327560356
Aljoscha Kemlein;0.0814486035091884;0.104243281488766;0.00449924851400384;0.0338610590365166;0.0857099941138124;0.107222363866792;0.0622095701710925;0.112432235641354;0.0285686787456743;0.0219424593952154;0.103015269373842;0.115950050436815;0.0899772103147001;0.0489199753922271
Brenden Aaronson;0.0814358193985337;0.104242472945893;0.00449758436475994;0.0338678465197413;0.0857174573409111;0.107209677531119;0.0622037725201264;0.112448578204394;0.0285671792994825;0.0219473170909061;0.103016243789154;0.115955389337316;0.0899612865037005;0.0489293751539638
Danilho Doekhi;0.081437926398325;0.10424286874352;0.00449784489149774;0.0338663982676186;0.085716987396852;0.107211650269113;0.0622042297416092;0.112445184919921;0.0285671023740865;0.0219470184765587;0.103016851350967;0.11595386111556;0.0899636793084696;0.048928396745902
Diogo Leite;0.0814455951143524;0.104243182175916;0.004498860515735;0.0338625311314219;0.0857118976196367;0.107219361477429;0.0622080979442979;0.112435839240237;0.0285682404857544;0.0219437344802184;0.103015705811721;0.115951156663181;0.0899734662559713;0.0489223310841283
Frederik Ronnow;0.0814417118392091;0.104242955456257;0.00449835546161898;0.0338645886835593;0.0857142169447268;0.107215503170656;0.0622063045693046;0.112440758512498;0.0285677776263346;0.0219452303492893;0.103016046524193;0.115952744189413;0.0899685839414709;0.048925222731469
Josip Juranovic;0.0814388796871001;0.10424258439023;0.004498000190362;0.0338663150964131;0.0857152518415335;0.107212787218863;0.0622054180136071;0.112444885285452;0.0285676857311084;0.0219459293479028;0.103015678518465;0.11595443135664;0.0899652888714769;0.0489268644508462
Kevin Behrens;0.0814503689722678;0.104243362233128;0.0044994776336324;0.0338601139353184;0.0857088676531367;0.107224125743989;0.0622104285106384;0.112430046228984;0.0285688898024511;0.021941760378293;0.103015066024345;0.115949364425883;0.0899795105896987;0.0489186178682337
Kevin Volland;0.0814390077113918;0.104242888488096;0.00449799650568789;0.0338658763677688;0.0857160921084635;0.107212768277603;0.0622048810729271;0.112443939452248;0.0285673169500654;0.0219464699991217;0.103016562332151;0.11595360802373;0.0899651537786556;0.0489274389320895
Leonardo Bonucci;0.0814459559041829;0.104243142824606;0.00449890778108452;0.0338624130909227;0.0857115423429063;0.107219739065759;0.0622083592731354;0.112435540782409;0.0285683452569697;0.0219434971504957;0.103015519428713;0.115951131214355;0.0899739560808683;0.0489219498035923
Lucas Tousart;0.0814421433475376;0.104242989076985;0.00449841571319249;0.0338643604185484;0.0857139326565453;0.107215941001967;0.0622065179638579;0.112440193022197;0.0285678427853009;0.021945050235203;0.103015999453487;0.115952589065577;0.0899691329511837;0.0489248923084169
Robin Gosens;0.0814492745338586;0.104243328515912;0.00449934325117747;0.0338606947828792;0.0857095170489855;0.107223051381409;0.0622099210564265;0.1124313660988;0.0285687806987623;0.0219421709002366;0.103015178199248;0.11594982651596;0.0899781029305393;0.0489194440858049
Sheraldo Becker;0.0814379109968615;0.104242970213702;0.00449785085874982;0.0338663366731659;0.0857171665796217;0.107211626907151;0.0622041059661131;0.112444952163707;0.0285670588877678;0.0219471206653847;0.103017049846388;0.115953739312064;0.0899635569155073;0.048928554013816
