;Abdulkerim Bardakci;Baris Yilmaz;Davinson Sanchez;Dries Mertens;Fernando Muslera;Hakim Ziyech;Kaan Ayhan;Kazimcan Karatas;Kerem Akturkoglu;Lucas Torreira;Mateus Tete;Mauro Icardi;Sacha Boey;Tanguy Ndombele;Wilfried Zaha
Abdulkerim Bardakci;0.118457359788141;0.0131177508284699;0.125857011398537;0.0295223281624911;0.0388255564376;0.0107674987754525;0.1197948664282;0.0530324009972616;0.0577080889478408;0.1315840209538;0.0682962644213984;0.0550486348094967;0.101175562072371;0.0114304674375406;0.0653821885413994
Baris Yilmaz;0.118459235099183;0.0131175426051923;0.125855335578703;0.0295224540966438;0.0388250983044604;0.0107675861743165;0.119795350807198;0.0530320601647498;0.0577081440375595;0.131584096521853;0.0682944964337747;0.0550484678929404;0.101177035623399;0.0114306951562509;0.0653824015037742
Davinson Sanchez;0.11845992522223;0.0131174508362565;0.125855038016423;0.0295222923009234;0.0388248478540621;0.0107676119561508;0.119795892876257;0.0530315300474657;0.0577079504451738;0.131583818556215;0.0682945693287468;0.055048047365621;0.101178250966677;0.0114307884078969;0.0653819858199017
Dries Mertens;0.118459811943115;0.0131174640736247;0.125855101557768;0.0295223328929857;0.0388248783044097;0.0107676048350797;0.119795787063011;0.0530316279172754;0.0577079775924624;0.131583877095644;0.0682945507936692;0.0550481228676309;0.101178046543944;0.0114307690690038;0.065382047450377
Fernando Muslera;0.118456622747148;0.0131178342550143;0.125857723606277;0.0295222890132138;0.0388257245075559;0.010767457159082;0.119794659404705;0.0530325416039862;0.0577080532431175;0.131584000887889;0.0682969685034842;0.0550486932046746;0.10117498985291;0.0114303757637277;0.0653820662472151
Hakim Ziyech;0.118460376334634;0.01311739358626;0.125854840166148;0.0295221918849406;0.0388246941477787;0.0107676285647474;0.119796245314217;0.0530311959593528;0.0577078169976438;0.131583656132399;0.0682946116558329;0.0550477751120243;0.101179014429427;0.0114308421393357;0.0653817175752587
Kaan Ayhan;0.118455701558422;0.0131179391180681;0.125858495613796;0.0295222582458991;0.038825965731717;0.0107674157428111;0.119794378722371;0.053032766702211;0.0577080470700545;0.131584015315279;0.0682977432275505;0.0550488215090456;0.101174168137127;0.0114302567702771;0.0653820265353713
Kazimcan Karatas;0.118458897589118;0.0131175733548407;0.125855741364783;0.0295223650088521;0.0388251464278859;0.0107675679626257;0.119795384099266;0.0530319895425526;0.0577080676597997;0.131583975644535;0.0682950471706313;0.0550483828847131;0.101177001091117;0.0114306569920662;0.0653822032072138
Kerem Akturkoglu;0.118456330080537;0.0131178694147084;0.125857910765599;0.0295223173392759;0.0388258084112509;0.010767444240483;0.11979451781609;0.0530326884218815;0.0577080918660615;0.131584048478559;0.0682970789672882;0.055048797711281;0.101174623666458;0.0114303325995303;0.065382140220995
Lucas Torreira;0.118459079495502;0.0131175497149402;0.125855626806687;0.029522366479758;0.038825090591402;0.01076757466385;0.119795440421811;0.0530319141093818;0.0577080402932406;0.131583975512045;0.0682949625263181;0.0550483318762164;0.101177203286817;0.0114306816432291;0.0653821625788024
Mateus Tete;0.118462610556792;0.0131171381001271;0.125852904356828;0.0295222777617933;0.0388241240835125;0.0107677351257237;0.119796911926899;0.0530306708671842;0.0577078477170274;0.13158364589791;0.0682926859775412;0.0550474907465306;0.101180959328588;0.0114311291955917;0.0653818683579506
Mauro Icardi;0.118456704770959;0.0131178270416174;0.125857545262445;0.0295222765661984;0.0388257319282797;0.0107674724224926;0.119794725660013;0.0530325366278369;0.0577080918957175;0.131583979894468;0.0682968362216259;0.0550487052054055;0.101175025224763;0.0114303840608101;0.0653821572173673
Sacha Boey;0.118452939801694;0.0131182620101199;0.125860717049875;0.0295221701660932;0.0388267131595008;0.0107672960222011;0.119793520589753;0.0530335156994121;0.0577081146476249;0.131584044318608;0.0682998841380021;0.0550492761753123;0.101171595549817;0.0114299086691903;0.0653820420027962
Tanguy Ndombele;0.118455545433913;0.0131179618123801;0.125858527922502;0.0295223605510756;0.0388260221490445;0.0107674053174631;0.119794122602977;0.0530329962056142;0.0577081506655855;0.131584158512057;0.0682975302189153;0.0550490163508631;0.101173730287568;0.0114302424597306;0.0653822295103103
Wilfried Zaha;0.118455740496032;0.0131179352751159;0.125858332144446;0.0295223814714397;0.0388259723490278;0.0107674176050892;0.119794161384127;0.0530329547406292;0.0577081517149027;0.131584181129857;0.0682973545359168;0.0550490038800743;0.101173887319343;0.0114302664899923;0.0653822594640058
