;Adam Marusic;Alessio Romagnoli;Ciro Immobile;Daichi Kamada;Elseid Hysaj;Felipe Anderson;Gustav Isaksen;Ivan Provedel;Luis Alberto;Manuel Lazzari;Matias Vecino;Matteo Guendouzi;Mattia Zaccagni;Patric Gil;Pedro Rodriguez;Taty Castellanos
Adam Marusic;0.014389387686775;0.112663077795521;0.0505319303920571;0.0895611749493754;0.0800138421138304;0.0637144417183107;0.0108186172894752;0.0519182300935445;0.101312177429181;0.095943326623042;0.0944455349734266;0.0103309830229591;0.0563468284936029;0.152982361927766;0.00778543883717381;0.00724264665395929
Alessio Romagnoli;0.0143786066620412;0.11267370740693;0.0505438489545616;0.0895605157016056;0.0800236432782683;0.0637136009253862;0.0108011016072992;0.0519219054365508;0.101331879139091;0.0959233106580807;0.0944486080189271;0.0103150080212668;0.0563602665213095;0.152981382735879;0.00778640956708003;0.00723620536572359
Ciro Immobile;0.0143787092619482;0.1126735744296;0.0505437304994163;0.0895605381167866;0.0800235862829028;0.0637135967589503;0.0108012676586171;0.0519218815392795;0.101331696032373;0.0959235134880159;0.0944485945703381;0.0103151597056893;0.0563601048980914;0.152981383433297;0.00778639833777894;0.00723626498691626
Daichi Kamada;0.0143796312588561;0.112672686252923;0.0505427118999423;0.0895605870424764;0.0800227246585604;0.0637136798351449;0.0108027926930677;0.0519215518221366;0.101329984428232;0.0959252276948983;0.0944483156094749;0.0103165264506215;0.0563589626608256;0.152981483866249;0.00778631453055762;0.00723681929603447
Elseid Hysaj;0.014377827008955;0.112674455722976;0.0505447262677843;0.0895604815405805;0.080024389766896;0.063713521127656;0.010799812430001;0.0519221874527308;0.101333312772538;0.095921871805898;0.094448847301846;0.0103138460947919;0.0563612266615959;0.152981285208415;0.00778647871230939;0.00723573012502674
Felipe Anderson;0.0143798966711227;0.112672434854249;0.0505424190638841;0.0895606040771055;0.0800224633154141;0.0637136986628596;0.0108032189737619;0.0519214648831681;0.101329493107529;0.0959257273733737;0.0944482376046847;0.0103169217312707;0.0563586446482372;0.152981500416694;0.00778629144812058;0.0072369831685257
Gustav Isaksen;0.0143897062991982;0.112662772684223;0.0505315163862521;0.0895612192660591;0.0800135519024491;0.0637145049885273;0.0108193763574207;0.0519180407986068;0.101311451318467;0.0959439943409149;0.0944453727535302;0.0103314603636438;0.0563462962899432;0.152982489595562;0.00778539102718768;0.0072428556280152
Ivan Provedel;0.0143800858388815;0.112672232945635;0.050542203156874;0.089560611658039;0.0800223054842965;0.0637137188972838;0.0108035528279476;0.0519213905386885;0.101329143191503;0.0959260766366168;0.0944481816222622;0.0103172049479609;0.0563583871689385;0.152981535435294;0.00778627217012303;0.00723709747965558
Luis Alberto;0.0143786457103449;0.112673690380418;0.0505438136368435;0.0895605157689908;0.0800235938633342;0.0637136094188944;0.0108011642782802;0.0519218867013081;0.101331792752775;0.0959233809591297;0.0944485898168291;0.0103150615825447;0.0563602322176916;0.152981390417376;0.00778640707410961;0.00723622542113068
Manuel Lazzari;0.0143805427543006;0.112671767369171;0.0505416899574082;0.0895606346677627;0.0800218795678226;0.0637137574206734;0.010804285230705;0.0519212407286404;0.101328311439169;0.0959269193277502;0.0944480626588433;0.0103178909929121;0.0563578177557535;0.152981586291112;0.00778623325127931;0.00723738058669738
Matias Vecino;0.0143795084146877;0.112672799147864;0.0505428476624967;0.0895605706493619;0.0800228284677906;0.0637136705760014;0.0108025720043438;0.0519216006124071;0.10133022569607;0.0959249873597496;0.0944483596646265;0.0103163499306286;0.0563591290797543;0.152981472088331;0.00778632813660713;0.00723675050927981
Matteo Guendouzi;0.0143852835903313;0.112666965687549;0.0505363800412398;0.0895609422372873;0.0800175213872183;0.063714120771042;0.0108121526191818;0.0519196230162828;0.101319510785648;0.0959358350790312;0.0944467315812182;0.0103249823926562;0.0563517747009276;0.152982074260145;0.00778579375855573;0.00724030809168538
Mattia Zaccagni;0.0143781901354652;0.112674106848635;0.0505443091048009;0.0895604996865556;0.0800240430170973;0.0637135607065634;0.0108004171920253;0.0519220544155367;0.101332650110647;0.0959225415760366;0.0944487337118076;0.0103143877288055;0.0563607733570455;0.152981334381705;0.00778644629849677;0.00723595172877673
Patric Gil;0.0143800715079648;0.112672232995697;0.0505422206288888;0.0895606255641813;0.0800223393120676;0.0637137028541911;0.0108035182531397;0.051921408715723;0.101329176852915;0.0959260639726656;0.0944481955286754;0.0103171811256726;0.0563583922395533;0.152981511889214;0.00778627223721685;0.00723708632223443
Pedro Rodriguez;0.0143784629747298;0.112673843332927;0.0505439967322251;0.0895605057626626;0.0800237581542425;0.063713593565074;0.0108008765714913;0.0519219540265841;0.101332135352259;0.0959230486525678;0.0944486495425371;0.0103148027364703;0.0563604413960249;0.15298137851083;0.00778642278922919;0.00723612990014457
Taty Castellanos;0.0143871792961452;0.112664981519082;0.0505342183617362;0.0895610408796741;0.0800157350827254;0.0637142849378507;0.0108153631178696;0.0519189650353954;0.101315956593466;0.0959394112478992;0.0944462101454281;0.0103278596255897;0.056349319700389;0.152982329288309;0.00778561647876051;0.00724152868967859
