;Alexander Meyer;Donyell Malen;Emre Can;Ian Maatsen;Jadon Sancho;Julian Brandt;Julian Ryerson;Marcel Sabitzer;Marco Reus;Marius Wolf;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Salih Ozcan;Youssoufa Moukoko
Alexander Meyer;0.092543592482755;0.0693946556838259;0.127375705555394;0.101644203410989;0.0643133720962807;0.0498986090775549;0.0905453704568617;0.0660999081927089;0.0416280227002483;0.01549948561389;0.110978944666011;0.0260450579048946;0.101621667117601;0.0260185526388733;0.0163928524021113
Donyell Malen;0.0925423284214383;0.0693950498342589;0.127377632164068;0.101640561400508;0.0643154105320975;0.0498998529936709;0.0905451703208271;0.0660985379833467;0.041626376793942;0.015499071037187;0.110979519403106;0.0260459065293164;0.101623749919286;0.0260176237851699;0.0163932088817763
Emre Can;0.0925426810988207;0.0693949638224103;0.127377010105595;0.101641711938713;0.0643147164831886;0.0498995076391669;0.0905453034104726;0.0660990368747404;0.0416269244346398;0.015499228685711;0.110979321605504;0.0260456343532596;0.101622835227672;0.0260179814812855;0.0163931428388198
Ian Maatsen;0.0925416275231827;0.0693950634402669;0.127377294492649;0.10164070316108;0.0643152096215198;0.0498995915450384;0.0905451358441788;0.0660986294795533;0.0416264736156569;0.0154992216605819;0.110979822434875;0.0260459007808824;0.101624358328638;0.026017857885742;0.0163931101861551
Jadon Sancho;0.0925429820937635;0.0693949345070532;0.127377228028287;0.101641518231426;0.0643149165826534;0.0498996116785886;0.0905452504884808;0.0660988867575588;0.0416267990488555;0.0154991237943529;0.11097923947266;0.0260456672046626;0.101622900835682;0.0260177899979974;0.0163931512779786
Julian Brandt;0.0925428804711149;0.0693951103395169;0.127377365840471;0.101641282481558;0.0643148831212654;0.0498999357264696;0.0905455237208436;0.0660990536364977;0.0416267952938433;0.015499172908052;0.110979129399539;0.0260457034332649;0.10162184414137;0.026017938144417;0.0163933813417757
Julian Ryerson;0.0925422949557768;0.0693949706125448;0.127377062754963;0.101641425208603;0.0643148768607269;0.049899465859484;0.090545197879286;0.0660988800405075;0.0416267817527336;0.0154992285843224;0.110979522550234;0.0260457191133706;0.101623556974962;0.0260179294244907;0.0163930874279934
Marcel Sabitzer;0.0925421033104483;0.0693950013638606;0.127377069765502;0.101641309228267;0.0643148952159101;0.0498994899243503;0.0905452121626294;0.0660988689164231;0.0416267438621501;0.015499251572713;0.110979594823114;0.0260457479634237;0.101623641211089;0.0260179660325615;0.0163931046475568
Marco Reus;0.0925420485769919;0.0693950346758069;0.127377537404135;0.101640552964375;0.0643153987623666;0.0498997361328999;0.090545102789076;0.0660985036857108;0.0416263660280838;0.0154991074431016;0.110979666851787;0.0260459223210101;0.101624219491143;0.02601765991426;0.0163931429592517
Marius Wolf;0.0925416911628238;0.0693951801330476;0.127377166619119;0.101640963894007;0.0643149036592235;0.049899734612939;0.0905454246285554;0.0660989736802437;0.0416266906662802;0.0154993257384561;0.110979642132188;0.0260458225720713;0.101623071038323;0.0260181267658132;0.0163932826969089
Mats Hummels;0.0925414469696196;0.0693953030686719;0.127378540799929;0.101638691800682;0.0643163847924404;0.0499004686379407;0.0905451297873726;0.0660979127985308;0.0416255765452073;0.015498913430128;0.11097988187226;0.0260463451680073;0.101624749480795;0.026017247214914;0.0163934076335018
Niclas Fullkrug;0.0925426000255196;0.0693949505065948;0.127377384078643;0.10164108446108;0.0643151691596112;0.0498996480664611;0.09054513164069;0.0660986660175932;0.0416265795515245;0.0154990988713333;0.110979433943664;0.0260457863091057;0.101623656664474;0.0260176891874703;0.0163931215162351
Nico Schlotterbeck;0.0925414485826028;0.0693952786314674;0.127378506117203;0.101638732975645;0.0643163760758503;0.0499004141076436;0.0905450968018951;0.0660978965123901;0.0416255834145677;0.0154989113942817;0.110979907872998;0.0260463361874756;0.101624900444922;0.0260172374001967;0.0163933734808606
Salih Ozcan;0.0925403980824164;0.0693953965297767;0.127377720496225;0.10163942759609;0.0643156223876168;0.0499000799381393;0.0905453333773744;0.0660984679195225;0.0416260427715824;0.0154992963659078;0.110980187846927;0.0260462074659917;0.101624482916502;0.0260179602817439;0.0163933760241824
Youssoufa Moukoko;0.0925422986375425;0.0693952344585912;0.12737725753753;0.101641153483865;0.064314770175503;0.0498999769473786;0.0905456588056524;0.066099185170553;0.0416268215337506;0.0154992981669826;0.110979289227725;0.0260457412053271;0.101621686115604;0.0260181696749804;0.0163934588590145
