;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Jan Oblak;Jose Gimenez;Marcos Llorente;Mario Hermoso;Nahuel Molina;Pablo Barrios ;Rodrigo Riquelme;Samuel Lino;Saul Niguez;Stefan Savic
Alvaro Morata;0.0455807227440799;0.0189448745743817;0.0976943408305966;0.0724254486040531;0.023340437505635;0.0289452568646849;0.0859684035662544;0.141992446490328;0.123960139586623;0.0555111060190945;0.00987112391402004;0.0760714066852333;0.103185163487455;0.11650912912756
Angel Correa;0.0455806381339839;0.0189449786899098;0.097694417440221;0.0724243756169198;0.0233403195594203;0.0289450519769718;0.0859689238697576;0.14199403043633;0.123959877757612;0.0555105870340451;0.00987104241189617;0.0760702232565913;0.103185518588792;0.11651001522755
Antoine Griezmann;0.0455807161021279;0.0189448844825729;0.0976943423267498;0.0724252874551822;0.0233404068235369;0.0289452270476474;0.0859684399501851;0.141992758610373;0.123960138191098;0.0555110162493097;0.00987111352357826;0.0760712408800946;0.103185197623934;0.116509230733611
Axel Witsel;0.0455806329736577;0.0189449236893714;0.0976944362676657;0.0724239438617453;0.0233402825456149;0.028944969459193;0.0859688261541971;0.141995767707462;0.12395879976329;0.0555103510931656;0.00987100821211375;0.0760699208722359;0.103185744227986;0.116510393172303
Jan Oblak;0.0455806943058923;0.0189449190804165;0.0976943642816512;0.0724251552610105;0.0233404058428006;0.0289452011160361;0.0859686016374172;0.141992695582243;0.123960212885252;0.0555109706521763;0.00987110164821349;0.0760710527403829;0.103185251254852;0.116509373711656
Jose Gimenez;0.0455806382886524;0.0189449292392052;0.0976944295081424;0.0724241083039822;0.0233403024464663;0.0289450007712514;0.0859688221949848;0.141995277894986;0.123959026866033;0.0555104398957294;0.00987102046210665;0.0760700624721448;0.10318567886847;0.116510262787846
Marcos Llorente;0.0455806663586828;0.0189449413134411;0.0976943916507369;0.0724247003960498;0.023340354708327;0.0289451147045997;0.0859687472345009;0.141993618468298;0.123959904384528;0.0555107420385421;0.0098710675130549;0.0760705910012392;0.10318541511521;0.11650974511279
Mario Hermoso;0.0455807872173045;0.0189448316052975;0.0976942695710104;0.0724264012226719;0.0233405231339745;0.0289454395958091;0.0859680743031273;0.141990486763502;0.123960966988212;0.0555115701470679;0.00987119873963798;0.0760723703516369;0.103184780882827;0.116508299477922
Nahuel Molina;0.0455806923477344;0.0189449168549942;0.0976943665534193;0.0724250830489593;0.0233403956021528;0.028945187402373;0.0859686014183727;0.141992909058748;0.123960125206963;0.0555109305555272;0.00987109649998105;0.0760709908592356;0.103185277242299;0.116509427349241
Pablo Barrios ;0.0455806440078127;0.0189448946406742;0.0976944242793859;0.0724238681397406;0.0233402571941449;0.028944955737562;0.0859687096343417;0.141996306141237;0.123958564612163;0.0555102880247738;0.00987100456532938;0.0760699069959317;0.103185762164534;0.11651041386237
Rodrigo Riquelme;0.0455805682852652;0.0189449382557941;0.0976945022006605;0.0724225641390997;0.0233401145575662;0.0289447069396881;0.085969064274772;0.141999177430742;0.123957472335684;0.0555096276904943;0.00987090534576443;0.0760686194817581;0.10318624952157;0.116511489541142
Samuel Lino;0.045580593081636;0.0189449111607333;0.0976944781380963;0.0724228783523426;0.0233401461351879;0.0289447672839039;0.0859689183500919;0.141998677604621;0.123957600691076;0.0555097787768496;0.00987092973909594;0.0760689598465879;0.103186138373311;0.116511222466467
Saul Niguez;0.0455806757235627;0.0189448966177515;0.0976943853289466;0.0724245011142784;0.0233403181477234;0.0289450769920103;0.085968601108899;0.141994652933246;0.123959367412062;0.0555106107205613;0.00987105393596735;0.076070491306561;0.10318549573235;0.116509872926081
Stefan Savic;0.0455806516382477;0.0189449393539751;0.0976944020038449;0.0724242312207823;0.0233402808120755;0.028945026181164;0.0859687747487508;0.141994868014418;0.123959508452298;0.0555104805905886;0.00987103463458799;0.0760701638013492;0.103185560858167;0.116510077689752
