;Donyell Malen;Emre Can;Felix Nmecha;Gregor Kobel;Jamie Bynoe-Gittens;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marco Reus;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Ramy Bensebaini;Salih Ozcan;Youssoufa Moukoko
Donyell Malen;0.0852776647247021;0.100395130422097;0.0193690288143384;0.0683497768550105;0.0313855158058634;0.0711483126607406;0.0937395549685434;0.0276322602097285;0.0279774683356866;0.0886477097366985;0.0337640923340567;0.101758412314952;0.133609417128218;0.113165026066338;0.00378062962302641
Emre Can;0.0852781873934513;0.100395902636288;0.0193685071286611;0.06834955328081;0.0313858786950241;0.0711480377967732;0.0937414842872084;0.0276314532788346;0.0279776925245886;0.0886477159944736;0.0337636828777541;0.101758551908717;0.133607896069414;0.113164792172789;0.00378066395521319
Felix Nmecha;0.085275477859432;0.100394552654554;0.0193695983658401;0.0683498562596553;0.031384143329923;0.0711485815641977;0.0937388771737892;0.0276335510354795;0.0279777330735867;0.0886482455675112;0.0337646575125797;0.101757458052748;0.133611808789898;0.113164957617773;0.00378050114303201
Gregor Kobel;0.0852772606471077;0.100395708062616;0.0193687140886431;0.0683495852793348;0.031385289062343;0.0711481750765252;0.0937413324651814;0.0276319794774545;0.0279778262850157;0.0886479582913615;0.0337639058080504;0.10175813388729;0.133608800317084;0.113164720727024;0.00378061052496835
Jamie Bynoe-Gittens;0.0852802704606627;0.100396868731719;0.0193677157205614;0.0683493397789673;0.0313872127957312;0.0711476463083645;0.0937432829963154;0.027629901683489;0.0279776265321789;0.0886472907098658;0.0337629628445297;0.10175940321321;0.133604995071364;0.113164694702308;0.00378078845073314
Julian Brandt;0.0852762786315772;0.10039500250324;0.0193691977269767;0.0683498039731099;0.0313845838739659;0.0711486694177328;0.0937398397746848;0.0276329970542881;0.0279777496197676;0.0886481765823319;0.0337643661522649;0.101757754677488;0.133610251297711;0.113164775625756;0.00378055308910375
Julian Ryerson;0.0852789251317503;0.10039658712429;0.0193679805233772;0.0683493987491316;0.0313863146254723;0.0711479771013463;0.0937431316259955;0.0276307070294132;0.0279778313743923;0.0886477000965917;0.0337632888830475;0.101758794177048;0.133606102777619;0.113164548324652;0.00378071245587149
Karim Adeyemi;0.0852755306610132;0.100394663483704;0.0193694483794518;0.0683499151338145;0.0313840568725814;0.0711489967902705;0.0937392371057494;0.0276336293179118;0.0279777792250137;0.0886483804093107;0.0337646340767606;0.101757433216524;0.133611049729576;0.113164734743819;0.00378051085449973
Marco Reus;0.0852781790887938;0.100395941476154;0.019368514553085;0.0683495077053026;0.0313859252777417;0.0711478390452582;0.0937415628245586;0.0276313486913969;0.0279777091572003;0.088647673154881;0.033763656281312;0.101758552701423;0.133608077309247;0.113164851360865;0.00378066137278074
Mats Hummels;0.0852773802700549;0.100395563092059;0.01936875446951;0.0683496667620981;0.0313853037693728;0.0711484057480544;0.0937409224356524;0.0276321207310357;0.0279777377017346;0.0886479526911033;0.0337639606354528;0.101758200235276;0.133608684578334;0.113164728141927;0.00378061873833519
Niclas Fullkrug;0.0852782271096117;0.100395981647587;0.0193685001465368;0.0683494792584309;0.0313859799398342;0.0711477389620789;0.0937416403757572;0.0276312642388169;0.0279777137554566;0.088647644291706;0.0337636264334099;0.101758578330967;0.133608088566508;0.113164873758154;0.00378066318514475
Nico Schlotterbeck;0.0852777996396442;0.100395442348304;0.0193688081135327;0.0683496968998079;0.0313855888155919;0.0711483050065052;0.0937403905571741;0.0276320041539672;0.0279775795956902;0.0886477677081906;0.0337639425868774;0.101758429636173;0.133608722201911;0.113164882452244;0.00378064028438631
Ramy Bensebaini;0.0852778556194752;0.100395765670084;0.0193687148152104;0.0683494837226074;0.0313858126369658;0.0711475705429466;0.0937411399062669;0.0276314760862666;0.0279776984546852;0.0886476340764243;0.0337637575581661;0.101758448506966;0.133608991702372;0.113165013350035;0.00378063735152821
Salih Ozcan;0.085277938226453;0.100395678323553;0.0193687097076557;0.0683495761510367;0.0313857776736917;0.0711478963240638;0.0937409073291569;0.0276316370377022;0.0279776448147038;0.0886476731515172;0.0337638036804505;0.101758476202253;0.133608694694275;0.113164941080981;0.00378064560250571
Youssoufa Moukoko;0.0852742942883241;0.100393950300807;0.0193700949923706;0.0683499833896755;0.0313834002190844;0.0711487745415255;0.0937376814402761;0.0276344621411059;0.0279777424873492;0.088648457212101;0.0337650871145664;0.101756987509273;0.133613600956927;0.113165054149103;0.00378042925751133
