;Bernardo Silva;Ederson;Erling Haaland;Jack Grealish;Jeremy Doku;John Stones;Kevin De Bruyne;Kyle Walker;Matheus Nunes;Nathan Ake;Phil Foden;Rodri;Ruben Dias
Bernardo Silva;0.0668462699082812;0.0263912632925458;0.0101442982044281;0.0288895578710871;0.0492043069887855;0.102388470355933;0.0791944979116541;0.126598919550543;0.0158492901620633;0.129724355431267;0.0900658636195673;0.124749735453143;0.149953171250702
Ederson;0.0668454177458535;0.0263911299265379;0.0101442716249347;0.0288889419954531;0.049203732140875;0.102388945003545;0.0791939781218899;0.126600015631987;0.0158491052627774;0.129727860847731;0.0900659678464725;0.124750057456447;0.149950576395497
Erling Haaland;0.0668468908773677;0.0263914045129409;0.0101443381992744;0.0288899763017717;0.0492047041781396;0.102388156503703;0.0791949877441392;0.126598196714242;0.015849452579278;0.129721251036652;0.0900658982561013;0.124749418324483;0.149955324771906
Jack Grealish;0.0668456962927947;0.0263911940078791;0.0101443082740789;0.0288891437513433;0.0492039074903879;0.102388966848943;0.0791940140754238;0.12659944459141;0.0158491133559498;0.129727060456304;0.0900659657087154;0.124749814717095;0.149951370429674
Jeremy Doku;0.06684539430859;0.0263910985580367;0.0101442533791143;0.0288889156573701;0.0492037118802558;0.102388935688648;0.0791939692756593;0.126600129970224;0.0158490997396759;0.12972811887485;0.0900658982491688;0.12475008658443;0.149950387833977
John Stones;0.0668454123900878;0.0263911890252945;0.0101443194418717;0.0288889407456841;0.0492037175902411;0.102389118851342;0.0791938937743929;0.126599779739998;0.0158490716262892;0.129727811695066;0.0900661109923;0.124749906797875;0.149950727329557
Kevin De Bruyne;0.0668464281524148;0.0263912536687472;0.0101442689636837;0.0288896540218559;0.0492044124697098;0.102388241003165;0.0791947231859211;0.126598978788066;0.0158493677167622;0.129723504314813;0.090065767439322;0.124749773979363;0.149953626296177
Kyle Walker;0.0668473358490679;0.026391224956298;0.0101441437299796;0.0288902345775762;0.0492050147096287;0.10238717479225;0.0791957369513532;0.126598883930419;0.0158497198746598;0.129719352533564;0.0900652532813948;0.124749849477216;0.149956075336592
Matheus Nunes;0.0668455448477442;0.0263912733883345;0.0101443842345749;0.0288890578275767;0.0492038030400763;0.10238931066557;0.0791937720057122;0.12659918379897;0.0158490273113193;0.129727555476226;0.0900662326049612;0.124749652977932;0.149951201821003
Nathan Ake;0.0668461986211822;0.0263910925944414;0.0101441633761776;0.0288894783909229;0.0492042746092849;0.102388017798031;0.0791947464189761;0.126599779512931;0.0158493840388486;0.129724613598858;0.0900655023461099;0.124750175536506;0.14995257315773
Phil Foden;0.0668443156650168;0.0263910508001381;0.010144313942462;0.0288881773316773;0.0492029913814969;0.102389802694047;0.0791931282302723;0.126600954334604;0.0158488076810511;0.129732384495236;0.0900663323177065;0.124750283394622;0.149947457731671
Rodri;0.0668455425869054;0.0263911584210898;0.0101442838739724;0.028889034007996;0.0492038153738336;0.10238891392208;0.0791940293108967;0.126599800809657;0.0158491226158099;0.129727379393;0.0900659720538508;0.124749978043431;0.149950969587477
Ruben Dias;0.0668450369197415;0.0263912257819626;0.0101443946973036;0.0288887107115675;0.0492034685377452;0.102389658472132;0.0791933945283642;0.126599650304965;0.0158488982016775;0.129729637204595;0.090066379659903;0.124749801564834;0.14994974341521
