;Emre Can;Felix Nmecha;Gregor Kobel;Ian Maatsen;Jadon Sancho;Jamie Bynoe-Gittens;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Salih Ozcan;Sebastien Haller
Emre Can;0.106656216515168;0.0224144675950847;0.062520363033419;0.127985350423935;0.0898393461921045;0.0142693100843386;0.0417593466899079;0.109157222788616;0.0445125596798357;0.0539057407717697;0.00503412793253489;0.136448022498956;0.0156774225800186;0.150412516691047;0.00837426257681251;0.0110337239464523
Felix Nmecha;0.106656094317951;0.0224144626326864;0.0625199434811521;0.127985346077113;0.0898392623725547;0.014269212567579;0.0417594672078986;0.109157709533535;0.044512312315226;0.0539057547354289;0.00503408719750695;0.136447727998605;0.0156773814148376;0.150413127261751;0.00837434327433494;0.0110337676118393
Gregor Kobel;0.106656202814444;0.0224143764974353;0.0625202926838748;0.127984570506288;0.0898398377811698;0.0142693629414054;0.0417592579978946;0.109156682446773;0.0445127425402092;0.0539056733210309;0.00503413534063871;0.136448422674289;0.0156774982590941;0.150413008575202;0.00837427257437902;0.0110336630458715
Ian Maatsen;0.106656054256029;0.0224141400391651;0.0625196985763152;0.12798268337182;0.0898410075961816;0.0142694498069022;0.0417591793490432;0.109155742628431;0.0445129286649979;0.0539055101633058;0.00503411275679533;0.136449099371383;0.0156776429709017;0.150414794368884;0.00837436821430686;0.0110335878655376
Jadon Sancho;0.106656436032681;0.0224147745013809;0.0625211838722551;0.127987964537863;0.0898378504609159;0.01426929172383;0.0417594839434383;0.109158289284299;0.0445122905783451;0.0539059430387114;0.00503416050950915;0.136447096193801;0.0156772284598993;0.150410011192851;0.00837411188806779;0.0110338837821523
Jamie Bynoe-Gittens;0.106656361894029;0.0224148053737831;0.0625208195718753;0.127988586717761;0.089837563082403;0.0142693198423267;0.0417597582183671;0.109158747302019;0.0445119006740001;0.0539059522605232;0.00503411377698623;0.136446551413939;0.0156771428112424;0.150410150266308;0.0083741513585528;0.0110340754358839
Julian Brandt;0.106656095413005;0.0224142168803959;0.0625198408353247;0.127983397447943;0.0898406172866949;0.0142694563842323;0.0417592462461989;0.109156066564284;0.0445128032851801;0.0539055597365948;0.00503411413259139;0.136448791202635;0.0156775835893001;0.150414220262616;0.00837433781495222;0.0110336529180511
Julian Ryerson;0.106656352671374;0.0224141511261554;0.0625207387356406;0.127982675281874;0.089841227965676;0.0142696917538867;0.041758872184869;0.109154532904771;0.0445135449348875;0.0539054786040664;0.00503421433133364;0.136449835687869;0.0156777461895356;0.150413292557409;0.00837416855253698;0.0110334765181151
Karim Adeyemi;0.10665612028608;0.0224145227095085;0.0625200833769786;0.127985767305294;0.0898389656756867;0.0142691638822071;0.041759464335389;0.109158003258836;0.044512274127397;0.0539058027372249;0.00503409286263024;0.136447570329627;0.0156773466131864;0.150412733238198;0.00837432702571885;0.0110337622360377
Marcel Sabitzer;0.106656329743848;0.022414524410287;0.0625207718880142;0.127985825226815;0.0898391428581651;0.0142693781286065;0.0417592967269329;0.109157091203127;0.0445126625241464;0.0539057695989322;0.00503415937798514;0.136448038267952;0.0156774134100468;0.150411681503611;0.00837418322104156;0.0110337319104901
Marco Reus;0.106655813536099;0.0224139262167127;0.0625188111848444;0.12798092329115;0.0898419637215494;0.0142694000497927;0.0417591912307011;0.109155372698377;0.0445129116356493;0.053905379111999;0.00503405831855552;0.136449491573617;0.015677741973417;0.150416960075508;0.00837453102519142;0.011033524356835
Mats Hummels;0.106656130489545;0.0224145804300449;0.062520133969364;0.127986274776161;0.0898386573501141;0.0142691385693299;0.0417595243477214;0.109158325452675;0.0445121578558998;0.0539058455435435;0.00503408856339627;0.136447316701271;0.015677298545992;0.150412402055015;0.00837431779815085;0.0110338075517754
Niclas Fullkrug;0.10665626062061;0.0224141566019579;0.0625204164904782;0.127982789325702;0.0898411102629719;0.0142696262709155;0.0417589915993012;0.109154942509877;0.0445133224411852;0.0539054939621082;0.00503418080908851;0.136449552813923;0.0156777042107357;0.150413692187721;0.00837422684872158;0.0110335330447031
Nico Schlotterbeck;0.106656374851916;0.0224144417883615;0.0625208869575952;0.127985181451751;0.0898396414754419;0.0142695099576063;0.0417591806445352;0.109156346357337;0.044512909294064;0.0539056972350279;0.00503418323621924;0.13644849232327;0.0156774954528604;0.150411824107912;0.00837415034152571;0.0110336845245769
Salih Ozcan;0.106656481497403;0.0224149324475755;0.062521388424657;0.127989272249562;0.0898370192144779;0.0142692011532588;0.0417596040030875;0.10915913870948;0.0445120373028943;0.053906058704651;0.00503415626002822;0.136446483335514;0.0156771088739839;0.150409067780118;0.00837408212300777;0.0110339679203007
Sebastien Haller;0.106656443882969;0.0224141614720064;0.0625208699652985;0.127983216150066;0.0898412239477485;0.014269931950293;0.0417589866488488;0.109154210314243;0.0445134371931177;0.0539054515670105;0.00503422190489134;0.136449622576973;0.0156777180691671;0.150412749676247;0.00837409935450663;0.0110336553266125
