;Alexander Bah;Anatoliy Trubin;Angel Di Maria;Antonio Silva;Casper Tengstedt;Chiquinho;David Neres;Fredrik Aursnes;Joao Mario;Joao Neves;Morato;Nicolas Otamendi;Orkun Kokcu;Petar Musa;Rafa Silva;Tiago Gouveia
Alexander Bah;0.15930429800261;0.0286449282321349;0.0682457434186674;0.00702731965504917;0.0101067194025132;0.0449200144239681;0.0392147074541026;0.122869429476584;0.0139917174275809;0.133835657306561;0.0884312923048206;0.10889909048938;0.048822936911823;0.0443918903722796;0.0662124149572717;0.0150818401646542
Anatoliy Trubin;0.159303210416463;0.0286448183809857;0.0682460318300794;0.00702733402123877;0.010106775251853;0.0449200915386816;0.0392147126899472;0.122870379285374;0.0139917548554298;0.133835883974833;0.0884303114706294;0.108899885321588;0.048822735448342;0.044392096917407;0.0662122130457799;0.0150817655513688
Angel Di Maria;0.159302057777282;0.0286446831782986;0.0682463645857872;0.00702735158369089;0.0101068389177247;0.0449201824153151;0.039214726945665;0.122871350463742;0.013991799242415;0.133836151181695;0.0884292259631407;0.108900716613506;0.0488225216496364;0.0443923338313119;0.0662120089637404;0.0150816866870492
Antonio Silva;0.159304626090766;0.0286449371627711;0.0682456805156078;0.00702731520209232;0.0101067088170528;0.0449200371203018;0.039214739260739;0.122868893691291;0.0139917145402016;0.133835638407835;0.0884316736288026;0.108898719113528;0.0488230484088676;0.0443918529839722;0.0662125345459833;0.0150818805101883
Casper Tengstedt;0.159302340391475;0.0286447652904375;0.0682461914150087;0.00702734225247512;0.0101068046554287;0.044920094668916;0.0392146641923836;0.122871659480281;0.0139917702625896;0.133835951188598;0.0884293452364665;0.108900733724739;0.0488224899237346;0.0443922061243147;0.0662119692521428;0.0150816719410096
Chiquinho;0.15930372734978;0.0286449003526551;0.0682458467642811;0.00702732714027017;0.0101067376450155;0.0449199928804203;0.0392146595966389;0.122870396392231;0.0139917235871573;0.133835686915152;0.0884305861688611;0.108899727860953;0.0488227425991245;0.044391956320255;0.0662122205429846;0.0150817678842209
David Neres;0.159302826209113;0.0286449142378634;0.0682460576982964;0.00702733478955568;0.0101067745190995;0.0449201504061891;0.0392146586444586;0.122869854207412;0.0139917443848884;0.133835983846023;0.0884308137319576;0.108899898474377;0.0488228595359866;0.0443921431103077;0.0662121905107386;0.0150817956937354
Fredrik Aursnes;0.159301483641141;0.028644571283266;0.0682465259183524;0.00702736616643352;0.0101068708188227;0.0449201352229455;0.0392147033991876;0.122872851566335;0.0139918178068171;0.133836183783892;0.0884279649729784;0.108901557741869;0.0488221977140755;0.0443924245879807;0.066211770365204;0.0150815750107005
Joao Mario;0.1593035548044;0.0286448963730246;0.0682459603674396;0.00702732921964075;0.0101067578037285;0.0449201326502813;0.0392147171888179;0.122869246835444;0.013991742562458;0.133835907572093;0.0884311866174836;0.108899334322711;0.0488229628110159;0.0443920632047613;0.0662123651730776;0.0150818424936227
Joao Neves;0.159303555668578;0.0286448536619449;0.0682459460913966;0.00702733083471255;0.0101067576754868;0.0449200692921046;0.0392147068367956;0.122870052836901;0.0139917425209548;0.133835820077143;0.088430626458452;0.108899634702558;0.0488228016360664;0.0443920362112806;0.0662122764508182;0.0150817890448068
Morato;0.159305572849699;0.0286451470997772;0.068245400639827;0.00702729950996086;0.0101066487216211;0.0449200146658586;0.0392147009053182;0.122867073700868;0.0139916668017059;0.133835505022836;0.0884333739658364;0.108897708717672;0.0488234268422834;0.0443916741747542;0.0662127763639602;0.015082010018023
Nicolas Otamendi;0.15930198774665;0.0286446959105046;0.0682463567859653;0.00702735197850525;0.0101068368022268;0.0449201737787609;0.0392147078709197;0.122871490183261;0.0139917951047065;0.133836137136153;0.0884291746543248;0.10890081098661;0.0488224993457652;0.044392329840535;0.0662119755721611;0.0150816763029517
Orkun Kokcu;0.159303863392885;0.0286448627487369;0.0682459032012392;0.00702732940523247;0.0101067493493638;0.0449200686437048;0.0392147254481399;0.122869624817038;0.0139917388892227;0.13383580509596;0.0884309165470844;0.108899349627211;0.048822878372746;0.0443920054540766;0.0662123600849152;0.0150818189224436
Petar Musa;0.159303180888381;0.0286448373130815;0.0682460314853931;0.00702733443643981;0.0101067739189909;0.0449201057804344;0.039214705209171;0.122870190695777;0.013991752410373;0.133835906228714;0.0884304619511168;0.108899837632631;0.0488227765077828;0.0443921033012383;0.0662122252417296;0.0150817769987466
Rafa Silva;0.159305061390243;0.0286450232915288;0.0682455812188624;0.0070273118196156;0.0101066850565294;0.0449200135890693;0.0392147155802979;0.122868122087987;0.0139916941298776;0.133835592127644;0.0884323547971707;0.10889831249705;0.0488231927769369;0.0443917847267917;0.0662126234413938;0.0150819314690019
Tiago Gouveia;0.159303696334784;0.0286449436746955;0.0682458461988533;0.00702732340390661;0.0101067357441578;0.0449200599243213;0.039214668853219;0.122869683460695;0.0139917231452562;0.133835756377455;0.0884311144931991;0.108899452447326;0.0488228971123783;0.0443919755864951;0.0662123060265716;0.0150818172166862
