;Aihen Munoz;Alex Remiro;Ander Barrene;Aritz Elustondo;Benat Turrientes;Brais Mendez;Carlos Fernandez;Hamari Traore;Igor Zubeldia;Jon Pacheco;Martin Zubimendi;Mikel Merino;Mikel Oyarzabal;Mohamed Cho;Robin Le Normand;Takefusa Kubo
Aihen Munoz;0.125225262691538;0.0307093839089044;0.0692516637003256;0.00473902117468454;0.0166326819403389;0.09516476213817;0.0283521198862555;0.107747902100187;0.0920521686377102;0.0167210641091113;0.0883103370590828;0.114182660731304;0.0665469299192693;0.0300415191587875;0.0562077228103508;0.0581148000339799
Alex Remiro;0.125228290585045;0.0307093452653305;0.0692505031824278;0.00473899740261416;0.0166321845227189;0.0951667068910373;0.0283521639014492;0.107745060035012;0.092055958188674;0.0167205332002287;0.0883124249842015;0.114181716739595;0.066544760268368;0.0300408400450033;0.0562062345581321;0.0581142802301624
Ander Barrene;0.125225753981669;0.0307093107601123;0.0692514263087085;0.00473904751789913;0.0166326472281034;0.0951651186135824;0.0283522144926135;0.1077473231087;0.0920527829996756;0.016720935585725;0.0883107640619765;0.11418249308781;0.0665467116383555;0.0300413868824709;0.0562073427647154;0.0581147409678828
Aritz Elustondo;0.125223904721867;0.0307094156486523;0.0692521736211657;0.00473902679564357;0.016632887669216;0.095163895312757;0.0283520840867749;0.107749228271025;0.0920504757740429;0.0167213026404596;0.0883093983724896;0.114183071118036;0.0665478613294324;0.0300418137148417;0.0562083961726378;0.058115064750959
Benat Turrientes;0.125223997058292;0.0307093081417016;0.0692520483973508;0.0047390769571153;0.016632949942575;0.0951640313263855;0.0283522307234337;0.1077489454605;0.0920506106524073;0.0167212137930409;0.0883096082549718;0.114183005578201;0.066548015832459;0.0300417514596417;0.0562081161679408;0.0581150902539839
Brais Mendez;0.125224171195419;0.0307094777241266;0.069252112144281;0.0047389974131898;0.0166327967227813;0.0951639170276424;0.0283520280127493;0.10774916011375;0.0920506939152286;0.0167213082211591;0.0883094885552693;0.11418304464015;0.0665475741558015;0.0300417937496539;0.0562084263067442;0.0581150101020545
Carlos Fernandez;0.125223466630763;0.0307093687999378;0.0692522985601867;0.00473905479244876;0.0166329967459186;0.0951636516051489;0.0283521480357415;0.107749544608364;0.0920499348127997;0.0167213440484078;0.0883091682044318;0.114183191242257;0.0665482817582924;0.0300418917277309;0.0562084969146444;0.0581151615129269
Hamari Traore;0.125228428961425;0.0307090044885512;0.0692502583719022;0.00473913927894018;0.0166324054115427;0.095167187385835;0.0283525474615073;0.107744172623405;0.0920563265022505;0.0167202905564906;0.0883129519740492;0.114181555558007;0.0665452822584539;0.0300406882030908;0.0562054626254267;0.0581142983391222
Igor Zubeldia;0.125222925417685;0.0307102404364198;0.0692530872763436;0.00473867522966308;0.0166324533564066;0.0951623310500869;0.0283511078603481;0.107751935182315;0.0920487549904771;0.0167220228135029;0.0883076515909648;0.114183715165775;0.0665470297133004;0.0300423537349173;0.0562106345970143;0.0581150815847803
Jon Pacheco;0.125228252804946;0.0307091472992664;0.0692503852706981;0.00473908591649133;0.0166323363024163;0.0951668916144518;0.0283524029935779;0.107744669016504;0.0920560120530563;0.0167204079375171;0.0883126588386039;0.114181653198094;0.0665451691371696;0.0300407738502059;0.0562058289832832;0.0581143247837181
Martin Zubimendi;0.12522585182267;0.0307092447347376;0.0692513476992758;0.00473907493589021;0.0166326785535439;0.0951652700759198;0.0283522888645267;0.107747080282802;0.0920529590796946;0.0167208735403098;0.088310917716641;0.114182431027964;0.0665467582289034;0.0300413373895629;0.0562071518171676;0.058114734230391
Mikel Merino;0.125225964736137;0.0307092431374043;0.0692512941520567;0.00473907663111897;0.0166326627765312;0.0951653358288741;0.0283522989813278;0.107746977877666;0.0920530989357426;0.0167208511857535;0.0883109993381665;0.114182390934735;0.0665466880122544;0.0300413096640706;0.0562070888765682;0.0581147189315936
Mikel Oyarzabal;0.125226641213603;0.0307089811876885;0.0692508713357611;0.00473918136804956;0.0166327330740265;0.0951660667682179;0.0283526023634419;0.107745790973958;0.0920540984739886;0.0167205625041543;0.088311799541288;0.114182075901945;0.0665466709372315;0.030041057684078;0.0562062117044003;0.0581146549681687
Mohamed Cho;0.12522592394308;0.0307090214005022;0.0692511549489114;0.00473917677831065;0.0166328323194135;0.0951655648133956;0.0283525653276459;0.107746533051416;0.0920531852122623;0.0167207060955246;0.0883112678253677;0.114182304053631;0.0665471385269161;0.0300412282875706;0.0562066224743873;0.0581147749416646
Robin Le Normand;0.125226277580325;0.0307095675367735;0.0692513911856579;0.00473892881236302;0.0166323708711731;0.0951651808151025;0.0283519104362776;0.107747395709387;0.0920533135923782;0.0167210151234862;0.0883107847871671;0.114182420598004;0.0665458367718401;0.0300413642819424;0.0562076381153395;0.0581146037827824
Takefusa Kubo;0.125225845424351;0.0307091921995803;0.0692513268514997;0.00473909657750435;0.0166327184935074;0.0951653138560968;0.0283523484338555;0.107746967917378;0.0920529683186655;0.0167208443762607;0.0883109750145968;0.114182424335576;0.0665468635727211;0.0300413259452001;0.0562070550875737;0.0581147335956339
