;Armando Obispo;Hirving Lozano;Ismael Saibari;Jerdy Schouten;Joey Veerman;Johan Bakayoko;Jordan Teze;Luuk de Jong;Malik Tillman;Mauro Junior ;Olivier Boscagli;Ricardo Pepi;Sergino Dest;Walter Benitez
Armando Obispo;0.00843055628291436;0.0792678064429563;0.0613903952829639;0.136748415157409;0.140665448224909;0.0825499600731701;0.0900283708737235;0.024527885915462;0.0787867791279132;0.00536861164773465;0.112078259858297;0.0163745086282456;0.119632682982172;0.044150319502129
Hirving Lozano;0.00843102320460943;0.0792757099692833;0.0613868199181257;0.13675563700303;0.140662668511331;0.0825529906553543;0.0900281322595874;0.0245293291353045;0.0787847684412664;0.00536672455571527;0.112080078604968;0.0163776971506889;0.119623165190998;0.0441452553997379
Ismael Saibari;0.00843082680167959;0.0792735694127942;0.0613888273910254;0.136752728214102;0.140663660520962;0.0825538438897546;0.090031711399606;0.0245299666296037;0.078786817067214;0.00536650226176907;0.112077200329493;0.0163754271446334;0.119623607977838;0.0441453109595256
Jerdy Schouten;0.0084309403457464;0.0792769427465023;0.0613876411611597;0.136755765858316;0.140662560798332;0.0825562219060679;0.0900319007830251;0.0245308428830448;0.0787862402474668;0.00536547746387415;0.112077305872515;0.0163764342540209;0.119618888159814;0.0441428375201156
Joey Veerman;0.00843063124351373;0.0792728660337782;0.0613889187970302;0.136753323430327;0.140663822905913;0.0825549819141566;0.0900294517226861;0.0245297851922184;0.078786509371815;0.00536668583360185;0.112076603924549;0.0163752657449335;0.119625121144827;0.0441460327406508
Johan Bakayoko;0.00843094380352646;0.0792746048247586;0.0613890924946025;0.136752625361678;0.14066342582018;0.0825546098812649;0.0900357422895718;0.0245310799403975;0.0787880427063752;0.00536566211445567;0.112075346092931;0.0163745858305472;0.119620784599879;0.0441434542398317
Jordan Teze;0.00843024531251798;0.0792749715998424;0.0613899225095649;0.136754370583228;0.140663700341222;0.0825614170361973;0.0900290349578223;0.0245308267270923;0.0787866662850338;0.00536537841077315;0.112075936450101;0.0163751316744975;0.11961873904256;0.0441436590695483
Luuk de Jong;0.00843090029058905;0.0792760325505339;0.0613879631912665;0.136754811139163;0.140662886183845;0.0825554773218563;0.0900312744887803;0.0245303892505635;0.0787861456426765;0.00536586892695227;0.112077972223742;0.0163764353761538;0.119620136849043;0.0441437065648355
Malik Tillman;0.00843036012073166;0.0792725473906386;0.0613903871733029;0.136752362466054;0.140664283291784;0.0825582193451122;0.0900313199298647;0.0245306635721364;0.0787877764487712;0.00536597923869325;0.112074347840302;0.0163738400018808;0.119622886525771;0.0441450266549571
Mauro Junior ;0.00843114318194555;0.0792764973939018;0.0613838397564539;0.136760066649029;0.140661673697545;0.082550862736307;0.0900199562441178;0.0245277892196012;0.0787815449650478;0.00536788451726196;0.112082948316563;0.0163804509897429;0.119627992348646;0.0441473499838367
Olivier Boscagli;0.00843068076276184;0.0792717014037371;0.0613892289467425;0.136751728167033;0.140664218349474;0.0825529899882469;0.090029430388443;0.0245291297645682;0.0787864569338942;0.00536726896869015;0.112077831244068;0.016375353996162;0.119626809610539;0.0441471714756401
Ricardo Pepi;0.00843135223076904;0.0792737583288081;0.0613861277134397;0.136754050485207;0.140662928416451;0.0825470346333008;0.0900279209509165;0.0245280407704442;0.0787843419589086;0.00536807780002682;0.112081914799968;0.0163782047691185;0.119628577346663;0.0441476697959789
Sergino Dest;0.00843096056965612;0.0792757370779913;0.0613855103363775;0.13675862839215;0.140662189043206;0.0825534150285362;0.0900245694773598;0.0245292302638839;0.0787838452632689;0.00536695620570758;0.11207880023292;0.0163780187667574;0.119626188607403;0.0441459507347827
Walter Benitez;0.00843063432360557;0.0792723088216135;0.0613891004650229;0.136752700936963;0.140663999454661;0.0825543477679536;0.0900295510711744;0.0245295959700366;0.0787865920691179;0.00536688399067249;0.112076785545707;0.0163751525660531;0.119625879319569;0.0441464676978508
