;Christian Sorensen;Denis Vavro;Diogo Goncalves;Elias Achouri;Elias Jelert;Kamil Grabara;Kevin Diks;Lukas Lerager;Mohamed Elyounoussi;Oscar Hojlund;Peter Ankersen;Rasmus Falk;Viktor Claesson
Christian Sorensen;0.0182334504777138;0.179115406482064;0.0738989461057057;0.0504330804895784;0.0686419494326893;0.0695616868265692;0.169454423768677;0.0520751534915503;0.055757477955137;0.00294630507940941;0.092194487720358;0.117252945868575;0.0504346863019728
Denis Vavro;0.0182334892464018;0.179115876671942;0.0738989099499868;0.0504330615183972;0.0686420431161182;0.0695616051714261;0.169454182444352;0.0520750782841477;0.055757450956193;0.00294630173086624;0.0921943992538065;0.117252909804246;0.0504346918521175
Diogo Goncalves;0.0182332702667584;0.179113252581451;0.0738990783764381;0.0504331418546234;0.068641519822289;0.0695621350326594;0.169455680456419;0.052075487801232;0.055757552378869;0.0029463148115707;0.0921948709848178;0.117253078627781;0.0504346170050926
Elias Achouri;0.0182332470575432;0.179112984261814;0.0738990835890145;0.0504331416203431;0.0686414663516168;0.0695622168867996;0.169455889899856;0.0520755257024304;0.0557575452502876;0.00294631380236757;0.0921949093754366;0.117253083864047;0.0504345923384443
Elias Jelert;0.0182333407490174;0.179114098207013;0.0738990226475762;0.0504331152748301;0.0686416883982861;0.069561967728322;0.16945520440438;0.0520753552988223;0.055757518121391;0.00294631021726293;0.0921947172497824;0.11725302286712;0.0504346388361973
Kamil Grabara;0.0182332506359441;0.179113092648009;0.0738989952117659;0.0504330763904891;0.0686414901520618;0.0695623842937681;0.169456219205609;0.0520754819934318;0.0557574113549059;0.00294629820829558;0.0921948273892789;0.117252992048278;0.0504344804681625
Kevin Diks;0.0182329365833558;0.179109385738959;0.0738991634649632;0.0504331374062036;0.0686407524973661;0.0695632943957007;0.169458668486859;0.0520760375888748;0.0557574450722844;0.00294630374705237;0.0921954400501805;0.117253158448275;0.050434276519925
Lukas Lerager;0.0182332008293085;0.179112439166545;0.0738991091590346;0.0504331507663615;0.0686413576636376;0.0695623482362878;0.169456244970335;0.052075607865969;0.0557575514234348;0.00294631496794537;0.0921950012260856;0.117253109490283;0.0504345642347722
Mohamed Elyounoussi;0.0182333550869209;0.17911423321504;0.0738990617352297;0.0504331476277289;0.0686417134861041;0.0695618285893342;0.169454895201031;0.0520753501696107;0.0557575906434633;0.00294631845184722;0.0921947301956823;0.117253064783796;0.0504347108142123
Oscar Hojlund;0.0182329465304899;0.179109384168674;0.073899316868967;0.0504332518626641;0.0686407480582114;0.069562936696791;0.169457930939061;0.0520760888272764;0.0557576869283539;0.00294633288425795;0.0921955624602138;0.1172533183998;0.05043449537524
Peter Ankersen;0.0182330010497498;0.179110123429807;0.07389916017409;0.0504331480091579;0.0686408983338991;0.0695630426205641;0.169458034963333;0.0520759370934588;0.0557574866670662;0.00294630834579704;0.0921953420273193;0.117253157035145;0.0504343602506125
Rasmus Falk;0.0182332862098866;0.179113455624638;0.0738990511067671;0.0504331253684281;0.0686415603471262;0.0695621267764128;0.16945563129004;0.0520754514584675;0.05575752343107;0.00294631109018878;0.092194823194735;0.117253051301829;0.0504346028004111
Viktor Claesson;0.0182331392476057;0.179111689995947;0.0738991705783098;0.0504331836367253;0.0686412081090281;0.0695624686413637;0.169456609286247;0.0520757291383124;0.055757600941887;0.00294632119607103;0.0921951462923558;0.117253171284255;0.0504345616518922
