;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Cesar Azpilicueta;Jan Oblak;Javi Galan;Koke;Marcos Llorente;Mario Hermoso;Nahuel Molina;Rodrigo de Paul;Rodrigo Riquelme;Samuel Lino;Saul Niguez
Alvaro Morata;0.0318829702777029;0.00979534057111532;0.0537534433911142;0.150067498481255;0.128094737884595;0.0219661402789522;0.0222800182371072;0.145389909720107;0.0153930961114732;0.149890159630797;0.0891878215014644;0.0512697754224831;0.00278486886352084;0.0678833710858277;0.0603608485424864
Angel Correa;0.0318829586993686;0.00979533044162476;0.053753359115813;0.150067928828936;0.128094524164495;0.0219661126415212;0.0222799758424055;0.145390059479547;0.0153930758245606;0.149889764651022;0.0891879263764442;0.0512696792521846;0.00278488017479672;0.0678835227907763;0.060360901716504
Antoine Griezmann;0.0318828983708039;0.00979528456023656;0.0537530681456457;0.150069485775901;0.12809382058549;0.0219660120777663;0.0222798043004772;0.14539074956681;0.0153930221869226;0.14988811451154;0.0891882986223613;0.0512693311715202;0.00278492178230452;0.0678840663027366;0.0603611220394852
Axel Witsel;0.0318827215340697;0.0097951482459539;0.0537522062101956;0.150073988025786;0.128091729072531;0.0219657369365761;0.0222793289870569;0.145392644444708;0.0153928428200458;0.149883571047322;0.0891892786262074;0.0512683326129282;0.00278504358257083;0.0678856760402934;0.0603617518137557
Cesar Azpilicueta;0.0318829974688961;0.00979536316406562;0.0537536039321248;0.150066699921143;0.12809514046688;0.0219661856933033;0.0222800932830333;0.145389635739332;0.0153931383855151;0.149890854507693;0.0891876660157707;0.0512699504755536;0.00278484709389686;0.0678830776779899;0.0603607461748023
Jan Oblak;0.0318828874148489;0.00979527935313293;0.0537530950271236;0.150069355933975;0.12809391446265;0.0219660265691775;0.0222798121262168;0.145390774067003;0.0153930330312242;0.14988815994503;0.0891882217577515;0.0512693631031539;0.0027849194405197;0.0678840338320462;0.0603611239361464
Javi Galan;0.0318826856501406;0.009795122790479;0.0537521087265208;0.150074440776393;0.128091514232307;0.0219657258882707;0.0222792886933314;0.14539284988284;0.0153928147282902;0.149883178613403;0.0891892648411604;0.0512682406326374;0.00278505809609665;0.0678858754446299;0.0603618310034991
Koke;0.0318827980711075;0.00979520880795104;0.0537526220702804;0.15007180954676;0.128092751948965;0.0219658753742068;0.0222795582374522;0.14539175889125;0.0153929298022937;0.149885750581296;0.0891887665071203;0.0512688183449474;0.00278498550624375;0.067884908970211;0.0603614573399152
Marcos Llorente;0.0318828522070733;0.00979525206013235;0.0537529258239775;0.15007022095054;0.128093503644647;0.0219659767517594;0.0222797242151117;0.145391125585732;0.0153929945068063;0.149887322304463;0.0891883895839019;0.0512691725125823;0.00278494324192409;0.0678843512634506;0.0603612453478994
Mario Hermoso;0.0318829805860843;0.00979534768064778;0.0537534673684621;0.150067386893057;0.128094786823286;0.0219661423817932;0.0222800288505157;0.14538984970811;0.0153931023425282;0.149890268199128;0.0891878296520987;0.0512697980707238;0.00278486517824616;0.067883319639006;0.0603608266263128
Nahuel Molina;0.0318827350232204;0.00979515759016846;0.0537522411609181;0.150073815572934;0.128091802634424;0.0219657427602842;0.0222793468852414;0.145392553154668;0.0153928505271739;0.149883750576478;0.0891892729222037;0.0512683685472121;0.00278503828648558;0.0678856036390927;0.0603617207194955
Rodrigo de Paul;0.0318827728308152;0.00979518961514222;0.0537524948741329;0.150072504675293;0.128092444133877;0.0219658276681445;0.0222794789985457;0.145392076710542;0.0153929090590579;0.149884984510902;0.0891889506078728;0.051268661313016;0.00278500376548137;0.0678851457210424;0.0603615555161345
Rodrigo Riquelme;0.0318830375374905;0.0097953930581899;0.0537538204685392;0.150065437060685;0.128095664868581;0.0219662855081775;0.022280251219772;0.145389002558754;0.015393159400822;0.14989239658693;0.0891872480443403;0.0512702425338381;0.00278481534762595;0.0678826785352277;0.0603605672710278
Samuel Lino;0.0318827849074645;0.00979519971398833;0.0537525884580845;0.150071975544816;0.128092682123166;0.0219658698229333;0.0222795408277589;0.145391848590621;0.0153929225837479;0.149885574761248;0.0891887716700523;0.0512687837122552;0.00278499060409269;0.0678849790325389;0.0603614876472327
Saul Niguez;0.0318827347315106;0.0097951585620599;0.0537522912468538;0.150073496406417;0.128091938472692;0.0219657764777917;0.0222793893210166;0.145392410744053;0.0153928521553762;0.149884156792692;0.0891891101292993;0.0512684467153311;0.0027850314024715;0.0678855216468198;0.0603616851956163
