;Achraf Hakimi;Bradley Barcola;Fabian Ruiz;Gianluigi Donnarumma;Goncalo Ramos;Kang-In Lee;Kylian Mbappe;Lucas Hernandez;Manuel Ugarte;Marquinhos;Milan Skriniar;Nordi Mukiele;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.112171075833166;0.0198976470240664;0.0352678751685243;0.0125195420560805;0.0219791508302826;0.0509337992468271;0.110875297708532;0.0641811391962112;0.0183565181486368;0.110362567668696;0.131636344255477;0.0456013982392222;0.0997962701275129;0.015324824631426;0.0749352003033077;0.0761613495620313
Bradley Barcola;0.112170819496402;0.0198976470406708;0.0352679114085882;0.0125195649642744;0.0219791201592241;0.0509340309338077;0.110874808412819;0.0641818398744489;0.0183564786609414;0.110363121869361;0.131635107724114;0.0456017155471666;0.0997962029745627;0.0153247806539375;0.0749356294713241;0.0761612208083563
Fabian Ruiz;0.112170702524401;0.0198976442028536;0.0352679285328803;0.0125195821791738;0.0219791038226358;0.05093410226703;0.110874631042142;0.0641822388833982;0.0183564827644367;0.110363353540621;0.131634624046481;0.0456018579146068;0.0997960252339884;0.0153247491987217;0.07493579728177;0.0761611765648601
Gianluigi Donnarumma;0.112170559798975;0.0198976733453099;0.0352679732442876;0.0125196100722061;0.0219790964991815;0.0509343392957192;0.110874081656573;0.0641831257042725;0.0183564218466306;0.110363984418282;0.131632934869988;0.0456022493908429;0.0997958746242472;0.0153247235691891;0.0749362535302549;0.0761610981340411
Goncalo Ramos;0.112170609110391;0.0198977495592786;0.0352680202802055;0.0125196156372007;0.0219791330184475;0.0509346647965092;0.110873379960026;0.0641838229277342;0.0183562599928415;0.110364685199806;0.131630616339367;0.0456026835231066;0.0997961704702561;0.0153247710818259;0.0749367624778323;0.0761610556251725
Kang-In Lee;0.112170782572621;0.0198976537109314;0.0352679233444461;0.0125195746696757;0.0219791175055245;0.0509340806578527;0.110874681042437;0.0641820991066562;0.0183564704402521;0.110363279031117;0.131634694929868;0.0456018169110136;0.0997961119445454;0.0153247700130249;0.0749357384229534;0.076161205697081
Kylian Mbappe;0.112170783325701;0.0198976575497257;0.0352679256869675;0.0125195748836656;0.0219791191334747;0.0509340986302923;0.110874643023563;0.0641821389642867;0.0183564622146922;0.110363317503749;0.131634569745551;0.0456018405786419;0.0997961266147097;0.0153247721617932;0.0749357676399428;0.0761612023432442
Lucas Hernandez;0.112170611741388;0.0198976827806251;0.0352679728621721;0.0125196079000676;0.0219791062663914;0.0509343339989141;0.110874086003876;0.0641831098710877;0.0183564123452915;0.110363973406873;0.131632865210639;0.045602249474701;0.0997958954339717;0.0153247353437635;0.0749362392162854;0.076161118143953
Manuel Ugarte;0.112170767577365;0.0198976515381973;0.035267921598115;0.012519569987516;0.0219791157712831;0.0509340994493217;0.110874663404768;0.0641820317927292;0.018356461100411;0.110363280770417;0.131634706948421;0.0456018085858993;0.0997962049414668;0.0153247740072477;0.0749357519656652;0.0761611905611769
Marquinhos;0.112170721138107;0.019897691664282;0.0352679638205482;0.0125195989541651;0.0219791230246232;0.0509342800827973;0.110874199881666;0.0641828976539768;0.0183564077179061;0.110363831052253;0.13163309652309;0.0456021707712343;0.0997959689978598;0.0153247594714379;0.0749361247530374;0.0761611644930157
Milan Skriniar;0.112170678648098;0.0198976228284573;0.035267913696006;0.0125195737080232;0.0219790936977804;0.0509340419090701;0.110874792134233;0.0641819531832;0.0183565100316592;0.110363168219796;0.131635242421983;0.0456017309570887;0.0997960851055211;0.0153247447569754;0.0749356782147649;0.0761611704873436
Nordi Mukiele;0.112170666470213;0.019897693832239;0.0352679718181375;0.0125196005645369;0.0219791179574738;0.0509343503831616;0.110874064670967;0.0641830149120255;0.0183563864634349;0.110363967763716;0.13163276783857;0.0456022444384284;0.0997960316162641;0.0153247562028616;0.074936235958381;0.0761611291095898
Ousmane Dembele;0.112170746444222;0.0198977362778941;0.035267989785718;0.012519597008694;0.0219791449134553;0.0509344895860224;0.110873770084065;0.064183231005192;0.0183563003981993;0.110364241820997;0.13163173374411;0.0456024168554125;0.0997962458651344;0.0153247942904081;0.0749364332912875;0.0761611286291894
Randal Kolo Muani;0.112170866584515;0.0198976575033545;0.035267913641597;0.012519566679262;0.0219791291957628;0.0509340254115113;0.110874800385925;0.0641818999085102;0.0183564734951821;0.110363136376195;0.131634973336887;0.0456017357757144;0.0997961626594082;0.0153247874910788;0.0749356285307011;0.076161243024396
Vitinha Ferreira;0.112170700660414;0.0198976766207144;0.0352679531090007;0.012519591309292;0.0219791157978635;0.0509342465302441;0.110874301938362;0.0641826768072331;0.0183564221353024;0.110363705907127;0.131633517911166;0.0456020815115346;0.0997960473622237;0.0153247584370131;0.074936048859715;0.0761611551027943
Warren Zaire-Emery;0.112170720691602;0.0198976833146698;0.0352679540218035;0.0125195869069846;0.0219791214947951;0.0509342718830674;0.110874260808053;0.0641826363840729;0.018356401624874;0.110363729807108;0.13163339767488;0.0456020922238563;0.0997961498269151;0.0153247705157967;0.0749360696152862;0.076161153206235
