;Andre Ramalho;Armel Bella Kotchap;Hirving Lozano;Ismael Saibari;Jerdy Schouten;Joey Veerman;Johan Bakayoko;Jordan Teze;Luuk de Jong;Malik Tillman;Noa Lang;Olivier Boscagli;Ricardo Pepi;Sergino Dest;Walter Benitez
Andre Ramalho;0.0923154243054524;0.00187791424871251;0.0115508373490201;0.0178286543832617;0.103940560199026;0.119789197531409;0.0761935753462829;0.0937214574106055;0.0421615296961131;0.0962867248041589;0.12509992206354;0.102637122879452;0.00940212256481746;0.0905007843981679;0.0166941728199812
Armel Bella Kotchap;0.0923163643450186;0.00187790334140183;0.0115506899221205;0.0178288181566055;0.103940270622872;0.119789353300988;0.0761932062445653;0.0937222962124853;0.0421609223114502;0.0962867864624349;0.125099265359126;0.102636642524128;0.00940186454529729;0.0905011186849863;0.0166944979665195
Hirving Lozano;0.0923163245028826;0.00187794619725253;0.0115508785156676;0.0178287038083559;0.103940466800847;0.119789451027182;0.0761936170836429;0.0937220787624336;0.0421610189947681;0.0962867315837536;0.125099119120913;0.102636479798687;0.00940187454671174;0.0905008739270187;0.0166944353298831
Ismael Saibari;0.092315846112894;0.00187811156131879;0.011551658255892;0.0178278949523537;0.10394151778127;0.119789520269741;0.07619494219807;0.0937194379845638;0.0421618216785619;0.0962860311187335;0.1250994949213;0.102637262898725;0.00940214689790494;0.090500080955502;0.0166942324131699
Jerdy Schouten;0.0923155363720597;0.00187814442994545;0.0115518265975123;0.0178275551921193;0.103942100230132;0.119789459382405;0.0761952064926545;0.0937173787288242;0.0421621308722759;0.0962857874842362;0.125100129900033;0.102637763644349;0.00940234126566195;0.0905003662431543;0.0166942731646366
Joey Veerman;0.0923156449718204;0.00187812147044423;0.0115517204271285;0.0178277216188457;0.103941814217164;0.119789492629079;0.0761950399090718;0.0937182328668277;0.0421619997276175;0.0962859330826121;0.125099950700047;0.102637508916966;0.00940227147814884;0.0905003006552705;0.0166942473289559
Johan Bakayoko;0.0923159097346862;0.0018780204511754;0.0115512461754317;0.0178281936242334;0.10394123267656;0.119789483906334;0.0761942621885373;0.0937195415775492;0.0421615238494678;0.0962863909181735;0.125099844896986;0.102636951038061;0.00940213227418873;0.09050088980915;0.0166943768794661
Jordan Teze;0.0923151361498659;0.00187824111135217;0.0115522919730456;0.0178269556881068;0.10394282430938;0.119789172499028;0.0761957532768817;0.0937156221659026;0.0421627433011762;0.0962850108097692;0.125100390384393;0.102639288535409;0.00940253215442875;0.0904998150999026;0.0166942225413576
Luuk de Jong;0.0923153891642424;0.00187815724906362;0.0115518992815037;0.0178274462755513;0.103942128957486;0.119789156507108;0.0761951121081786;0.093717668154812;0.042162317113325;0.0962854185363519;0.125099976267755;0.102638763814088;0.00940234739513621;0.0904999660098432;0.0166942531655554
Malik Tillman;0.0923155609275084;0.00187816354646287;0.0115519100409908;0.0178274771746034;0.10394213685961;0.119789388146936;0.076195263801622;0.0937174872840358;0.0421621936484049;0.0962856125716889;0.125099985300445;0.102638088778935;0.00940232759634917;0.0905001350791637;0.0166942692432435
Noa Lang;0.0923153413863528;0.00187815405856915;0.0115518899143904;0.0178275188535615;0.103942034319932;0.119789162742216;0.0761951435856892;0.0937181480856961;0.0421623091468837;0.0962854855188312;0.125099833175345;0.102638640731428;0.0094023216875086;0.0904998223361196;0.0166941944574767
Olivier Boscagli;0.0923153044951067;0.0018781944400512;0.0115520699724063;0.0178273391287072;0.103942417997599;0.119789526531314;0.0761956982200832;0.0937166272015326;0.0421623978790168;0.0962856621403447;0.125100259941587;0.102637808622357;0.00940243630340031;0.0905000979054995;0.0166941592209951
Ricardo Pepi;0.0923157072393116;0.00187811978848045;0.0115517038700395;0.0178278161636677;0.103941620036418;0.119789344407989;0.076194925714757;0.0937193556137957;0.0421619417424201;0.0962858316498182;0.125099464406881;0.102637824883595;0.0094021696284598;0.0904999414119833;0.0166942334423846
Sergino Dest;0.0923157761808809;0.00187807601767946;0.0115515073670148;0.0178280264471832;0.103941388852755;0.119789490966315;0.076194717861894;0.0937196217836498;0.0421617535731107;0.0962861866411595;0.125099618034245;0.10263714893131;0.00940215035734241;0.0905002989095351;0.0166942380759248
Walter Benitez;0.0923148960597199;0.00187820905188946;0.0115521760613708;0.0178271754528566;0.103942699989157;0.119789482493336;0.0761959259966585;0.093715651591846;0.0421626991692489;0.0962855858785548;0.125100709239575;0.102638053835954;0.00940258901946011;0.0905000896535353;0.0166940565068369
