;Alhassan Yusuf;Anthony Valencia;Arbnor Muja;Arthur Vermeeren;George Ilenikhena;Jean Butez;Jelle Bataille;Jurgen Ekkelenkamp;Mandela Keita;Michel-Ange Balikwisha;Owen Wijndal;Soumaila Coulibaly;Toby Alderweireld;Van Den Bosch;Vincent Janssen
Alhassan Yusuf;0.0187965574026675;0.0173183869187209;0.0742686620816741;0.0632596446642032;0.00265972460920133;0.102773073440866;0.141260453911329;0.0388311286340281;0.0757633851741376;0.0498262562807396;0.0574688863669079;0.147370831211826;0.166067929219051;0.0066229833902746;0.0377120966943737
Anthony Valencia;0.0187965410907515;0.0173183940694864;0.074268767188536;0.0632595887710578;0.00265971956127043;0.102773222923118;0.141260226475989;0.0388310993013945;0.0757633709762311;0.049826343066794;0.0574688577062343;0.147370675938434;0.166068068087763;0.00662300180277974;0.0377121230401596
Arbnor Muja;0.0187966027133433;0.0173183668839647;0.0742683738507084;0.0632597957700199;0.00265973810156513;0.10277266900849;0.141261070543258;0.0388312072490646;0.0757634283499375;0.0498260199663162;0.0574689677364433;0.147371243506262;0.16606755754812;0.00662293327601973;0.0377120254964877
Arthur Vermeeren;0.0187966560568703;0.0173183436083519;0.074268024601843;0.0632599842837451;0.00265975539410729;0.102772163800767;0.141261837092894;0.0388313074440612;0.0757634695360756;0.0498257297471184;0.0574690591149026;0.147371778638238;0.166067082230253;0.00662287156933506;0.0377119368814375
George Ilenikhena;0.0187962320177482;0.0173185297989444;0.074270762737126;0.0632585266589131;0.0026596233573291;0.102776067484485;0.141255900121293;0.0388305405292662;0.0757631049361559;0.0498279906132182;0.0574683156566331;0.147367716595178;0.166070714909;0.00662335165581387;0.0377126229288965
Jean Butez;0.0187966469154506;0.0173183475422435;0.0742680863813724;0.0632599498316531;0.00265975214740961;0.10277225624316;0.141261697619297;0.0388312887027612;0.0757634644361781;0.0498257818287099;0.0574690444264791;0.147371676880452;0.166067171361695;0.00662288268616967;0.0377119529969697
Jelle Bataille;0.0187965230503791;0.0173184020244956;0.0742688826368098;0.0632595279802043;0.00265971409672279;0.102773385735625;0.141259978275996;0.0388310675589689;0.0757633543548837;0.0498264379278643;0.0574688254882541;0.14737050879038;0.166068218471206;0.00662302192891549;0.037712151679295
Jurgen Ekkelenkamp;0.0187965179031219;0.0173184042521243;0.0742689173722609;0.0632595087506038;0.00265971229086406;0.102773437386125;0.141259900309879;0.0388310571478028;0.0757633513036864;0.0498264671134565;0.0574688171291898;0.147370452211459;0.1660682679604;0.00662302814796173;0.0377121607210656
Mandela Keita;0.0187965685652829;0.0173183819839293;0.0742685908171683;0.0632596822310404;0.0026597279753916;0.102772972738706;0.141260607110922;0.0388311482964505;0.0757633954739576;0.0498261977143424;0.0574689062730602;0.147370934444064;0.166067836379424;0.00662297095874504;0.0377120790375166
Michel-Ange Balikwisha;0.0187966459893066;0.0173183478773202;0.074268094732719;0.0632599442861485;0.00265975153860312;0.102772271280129;0.141261675365835;0.0388312853665632;0.0757634657588718;0.0498257895386271;0.0574690437061343;0.147371656884145;0.16606718771315;0.00662288434844731;0.0377119556139998
Owen Wijndal;0.0187966839881337;0.0173183313488712;0.0742678439588058;0.0632600805607586;0.0026597641270834;0.102771905818464;0.141262229283701;0.0388313581664999;0.0757634933024938;0.0498255804888935;0.0574691080370724;0.147372047510937;0.166066841965085;0.00662283987399057;0.0377118915692102
Soumaila Coulibaly;0.0187964667638555;0.0173184266468042;0.0742692492500872;0.0632593312005094;0.00265969613219476;0.102773912940582;0.141259177556014;0.0388309634082664;0.0757633089295771;0.0498267417921428;0.0574687281745935;0.147369954120978;0.166068712322171;0.00662308649720796;0.0377122442650162
Toby Alderweireld;0.0187967727829782;0.017318292256402;0.0742672743242809;0.0632603816580867;0.00265979122977378;0.102771099976656;0.141263456640168;0.0388315156781714;0.0757635734664135;0.0498251116514509;0.0574692654241795;0.147372878618426;0.166066096212957;0.00662274039781139;0.0377117496822464
Van Den Bosch;0.0187966889110996;0.0173183291321298;0.0742678138010628;0.0632600956700763;0.00265976542101395;0.102771865681395;0.141262291171756;0.0388313657011519;0.075763499238117;0.0498255563147248;0.0574691173093604;0.147372086103694;0.166066806393954;0.00662283476794647;0.0377118843825189
Vincent Janssen;0.0187966266854609;0.0173183564545028;0.0742682157356921;0.0632598816381854;0.00265974602795189;0.102772438704818;0.141261419592692;0.0388312531030022;0.0757634458172695;0.0498258881805749;0.0574690083857751;0.147371489469277;0.16606733983032;0.00662290524497219;0.0377119851295062
