;Alan Varela;Diogo Costa;Evanilson;Francisco Conceicao;Galeno;Joao Mario;Jorge Sanchez;Nico Gonzalez;Otavio;Pepe_14926;Pepe_66499;Wendell
Alan Varela;0.0664064392588602;0.212161612057542;0.061152544079339;0.0370476319222239;0.0530254332312266;0.0629485744699654;0.00672183652137273;0.0444702287173655;0.184485243868405;0.096244893244798;0.0787110819762838;0.0966244806526179
Diogo Costa;0.0664066904977623;0.212158723757518;0.061152361633426;0.0370474728105477;0.0530254155268859;0.06294922347602;0.0067218310911059;0.0444703387426484;0.184487763969062;0.0962451986895228;0.0787109448794977;0.0966240349260027
Evanilson;0.0664063610145489;0.212162512044535;0.061152601028949;0.0370476815844044;0.0530254387958341;0.0629483721771334;0.00672183823069949;0.0444701945056257;0.184484458163097;0.0962447980496669;0.0787111248265786;0.0966246195789272
Francisco Conceicao;0.0664063790054218;0.212162305480354;0.061152588036485;0.0370476702515436;0.0530254375563682;0.0629484185567385;0.00672183785195368;0.0444702024143672;0.184484638144997;0.0962448198835741;0.0787111150948334;0.0966245877233635
Galeno;0.0664063186702015;0.212162997368799;0.0611526313733553;0.0370477080596054;0.053025441620819;0.0629482633244474;0.00672183908919984;0.0444701757934494;0.18448403610839;0.0962447467858265;0.0787111474529479;0.0966246943529588
Joao Mario;0.0664065232866495;0.212160646804756;0.0611524832656015;0.0370475788803987;0.0530254273906939;0.0629487912620747;0.00672183473402157;0.0444702656012266;0.184486085359545;0.0962449952919449;0.0787110363677339;0.0966243317553533
Jorge Sanchez;0.0664062293414261;0.212164025561775;0.0611526965855849;0.0370477649214694;0.0530254480501243;0.0629480321180401;0.006721841067945;0.0444701368159876;0.184483137804046;0.096244638000849;0.0787111966044397;0.0966248531283129
Nico Gonzalez;0.0664064493592309;0.212161496372107;0.0611525368629139;0.0370476256253273;0.0530254325658569;0.062948600406166;0.0067218363196184;0.0444702331897389;0.184485344397574;0.0962449054611925;0.0787110766048225;0.0966244628354526
Otavio;0.0664060276027759;0.2121663429128;0.0611528425680278;0.037047892248219;0.053025462063534;0.062947511660998;0.0067218453559565;0.0444700482537504;0.184481117654555;0.0962443930123792;0.0787113060772487;0.0966252105897554
Pepe_14926;0.0664060913086548;0.212165611029399;0.061152796441455;0.0370478520171547;0.0530254576274888;0.0629476760493696;0.0067218439980053;0.044470076208839;0.184481755769018;0.0962444703906175;0.0787112714747477;0.0966250976852512
Pepe_66499;0.0664064074492331;0.212161978354022;0.0611525673453809;0.0370476522077952;0.0530254355380163;0.0629484920802202;0.00672183723218385;0.0444702148560021;0.184484923692501;0.0962448544832817;0.078711099531319;0.0966245372300444
Wendell;0.0664066412676026;0.212159289559268;0.0611523973398391;0.0370475039514928;0.0530254189788817;0.0629490963610339;0.0067218321490369;0.0444703171650675;0.184487270446775;0.0962451388611349;0.0787109716916868;0.0966241222281813
