;Adrien Thomasson;Andy Diouf;Angelo Fulgini;Brice Samba;Deiver Machado;Elye Wahi;Facundo Medina;Florian Sotoca;Jonathan Gradit;Kevin Danso;Nampalys Mendy;Przemyslaw Frankowski;Salis Samed
Adrien Thomasson;0.0722962062693934;0.0189017125551596;0.0157635887421849;0.061874812275835;0.0523640678188915;0.0615624977081881;0.101727891834238;0.103798947438006;0.131286388960336;0.113314658214087;0.108667464408663;0.0953724677295116;0.0630692960455058
Andy Diouf;0.0722884900614062;0.0189032174021765;0.0157615906837581;0.0618733161649978;0.0523670269721016;0.0615625072545476;0.101732264969511;0.103794902901933;0.131287253382131;0.11331701654009;0.108671867307318;0.0953769219066295;0.0630636244534001
Angelo Fulgini;0.072300840319787;0.0189022709420188;0.015764648503449;0.0618748408920746;0.0523640795602854;0.0615587557324602;0.101723952870719;0.103799167499139;0.131285027727951;0.11331540526196;0.108667113255136;0.0953724925486977;0.0630714048863218
Brice Samba;0.0722953794637036;0.0189017595327111;0.0157633845775956;0.0618747200120864;0.0523642613128614;0.0615627614383984;0.101728479205982;0.10379865830714;0.131286551384968;0.113314753020484;0.108667768551453;0.0953727300271646;0.0630687931654519
Deiver Machado;0.0722945182117684;0.0189017638859817;0.0157631821317581;0.0618746419786446;0.0523643570153336;0.0615632500088383;0.101729066940429;0.103798497112578;0.131286743021323;0.113314753060579;0.108667994829874;0.0953729236215476;0.0630683081813441
Elye Wahi;0.0722963378072575;0.0189003957658374;0.0157637787332278;0.0618755296332418;0.0523622685398079;0.0615661127146152;0.101728797019495;0.103801119014251;0.131287174260197;0.113312583582393;0.108665386374145;0.0953699494821046;0.0630705670734275
Facundo Medina;0.0722954274345712;0.0189012279615046;0.0157634599315043;0.0618750086995487;0.0523635304973591;0.0615642336079335;0.101728842534423;0.103799546599561;0.131286866022977;0.113313915958495;0.108666923881855;0.095371718250417;0.0630692986198511
Florian Sotoca;0.072295913182211;0.0189017454421851;0.0157635174594505;0.0618747668345465;0.0523641314171721;0.061562599794268;0.101728051375171;0.103798857498181;0.131286433626815;0.113314699914452;0.108667586230457;0.0953725939614945;0.0630691032635959
Jonathan Gradit;0.0722972351036632;0.0189012973410194;0.0157638816688121;0.0618751228279985;0.0523633815651204;0.061563100072901;0.101727470096507;0.103799835115947;0.13128640881286;0.11331400753254;0.108666547180633;0.095371465982129;0.0630702466998696
Kevin Danso;0.0722951284595632;0.0189013318772181;0.0157633744384522;0.0618749327024753;0.0523637226796528;0.0615640812516044;0.101728986450165;0.103799299408559;0.131286865808357;0.113314091658016;0.108667165052888;0.0953719825168968;0.0630690376961524
Nampalys Mendy;0.0722952598173305;0.0189015205141412;0.0157633885284088;0.0618748259362892;0.0523639397353517;0.0615635197144478;0.101728735678577;0.103799028302944;0.131286735729057;0.113314367689255;0.108667437922116;0.0953722943214437;0.0630689461106378
Przemyslaw Frankowski;0.0722951446254662;0.0189009894181385;0.0157634200683064;0.0618751223368916;0.052363239798176;0.0615650599209391;0.101729220090598;0.103799893346055;0.131287067774179;0.113313534444748;0.108666614493051;0.0953713377337499;0.0630693559497017
Salis Samed;0.0722957832954832;0.0189012903787493;0.0157635323641586;0.0618750199775623;0.0523635873111579;0.0615638381143672;0.101728551040103;0.103799511564847;0.131286733673425;0.113314024511685;0.108666916399811;0.095371772988922;0.0630694383797291
