;Alan Varela;Andre Franco;Danny Namaso;David Carmo;Diogo Costa;Evanilson;Fran Navarro;Francisco Conceicao;Joao Mario;Jorge Sanchez;Mehdi Taremi;Pepe_14926;Pepe_66499;Stephen Eustaquio;Zaidu Sanusi
Alan Varela;0.169597000308263;0.0479931853912879;0.0108996426193029;0.111761598879122;0.03649736971345;0.0497189994716279;0.0021109731992666;0.035529137049781;0.0984038930408789;0.0216455750736562;0.0373182843599498;0.156945277918504;0.0680275514653046;0.0865510841835405;0.067000427326065
Andre Franco;0.169596815267118;0.0479932109344296;0.0108996204728945;0.11176212392005;0.0364972938120848;0.04971892397458;0.00211096679135266;0.0355289862746835;0.0984042818635415;0.0216456470674503;0.037318299430662;0.156944690967179;0.0680276257006635;0.0865514008865028;0.0670001126368079
Danny Namaso;0.169598858274241;0.0479930941675062;0.0108998364083965;0.111760030540038;0.0364979213093704;0.0497189448998496;0.00211101180946175;0.0355286940000246;0.0984040278616028;0.0216455315600703;0.037318268808224;0.156944866569334;0.0680270462690095;0.0865508584400443;0.0670010090828268
David Carmo;0.169597670201275;0.0479931903841247;0.0108996966986118;0.111761989092438;0.0364975276158048;0.0497187758346388;0.00211098169439688;0.035528449050321;0.0984049461615423;0.0216457258194994;0.0373183282639593;0.156943511986292;0.0680274244455449;0.0865517571637616;0.06700002558779
Diogo Costa;0.169596163342404;0.0479932220192696;0.0108995275727407;0.111762160824697;0.0364971832626753;0.0497190597327165;0.0021109603364358;0.0355293262598673;0.0984035489165557;0.021645529615159;0.0373183351185033;0.156945700254878;0.068027763892387;0.0865510979019649;0.0670004209497467
Evanilson;0.169596443923076;0.0479932076340295;0.010899581900697;0.111762100362347;0.0364972028124929;0.049719017563872;0.00211096267064047;0.0355292435620643;0.0984038759210591;0.0216455924868849;0.0373182984137157;0.156945353980902;0.0680276964252739;0.0865511644299053;0.0670002579130407
Fran Navarro;0.169599677173222;0.0479930376913935;0.0108999646881757;0.111758770218721;0.0364981328783582;0.0497190269589265;0.00211102682616454;0.035528915619163;0.0984036341041313;0.02164545503473;0.0373181707354835;0.156945649677235;0.0680268067385387;0.0865502981499593;0.067001433505798
Francisco Conceicao;0.169595926084264;0.0479932567484254;0.0108995649709527;0.111763258817342;0.0364969250354723;0.0497188739318773;0.00211094195084554;0.0355291160562749;0.0984048119061181;0.0216457967558443;0.0373182573439808;0.156944263859096;0.0680278879152536;0.0865517461313604;0.0669993724928926
Joao Mario;0.169597746349127;0.0479931697118444;0.0108997260638999;0.111761422410981;0.0364975490613967;0.0497188740454868;0.00211098386459039;0.0355287501955445;0.0984044835940858;0.021645653752155;0.0373182764585343;0.156944343988676;0.0680273831433443;0.0865513468734569;0.067000290486877
Jorge Sanchez;0.169596943218082;0.047993201629359;0.0108996685222367;0.111761946965631;0.0364972721501783;0.0497189275781818;0.00211096526357702;0.0355290971074094;0.0984043690973767;0.0216456776115226;0.0373182356602511;0.156944785732548;0.0680275980683539;0.086551302269249;0.0670000091260434
Mehdi Taremi;0.169597143855766;0.0479931987128104;0.0108996574841927;0.111762197047155;0.0364973536287383;0.0497188492583945;0.00211097158946921;0.0355287395530123;0.0984047127101234;0.0216457155737231;0.0373183043554291;0.156944039595137;0.068027548960729;0.0865516058840636;0.0669999617912572
Pepe_14926;0.169596005066843;0.0479932436655595;0.0108995493791368;0.111762956681045;0.0364970100714199;0.0497189275909061;0.00211094855670002;0.0355291433036154;0.0984044469212962;0.0216457168541449;0.0373182925229502;0.156944640435468;0.0680278443279115;0.0865515729019637;0.0669997017210385
Pepe_66499;0.169596243325767;0.0479932409902624;0.0108995668372054;0.111762710413369;0.0364971032487838;0.0497189195513095;0.00211095351367325;0.0355290889669826;0.0984043851086153;0.0216456899780748;0.0373182970459294;0.156944645203101;0.0680277879512202;0.086551540604308;0.0669998272613983
Stephen Eustaquio;0.169597281811411;0.0479931924774954;0.0108996655382964;0.111761919683189;0.0364974229505112;0.0497188732114339;0.0021109757276818;0.0355287691802132;0.0984045134203162;0.0216456698975315;0.0373183070893152;0.156944271236801;0.0680275067649524;0.0865514860296948;0.0670001449811567
Zaidu Sanusi;0.169596122463365;0.0479932221773643;0.0108995324867052;0.11176215266954;0.0364971564633599;0.0497190688742348;0.00211095871304762;0.0355293849565787;0.0984035399384369;0.0216455346509653;0.0373183190855914;0.156945781311677;0.0680277753090127;0.0865510625667941;0.0670003883333267
