;Abdulkerim Bardakci;Angelino;Baris Yilmaz;Dries Mertens;Fernando Muslera;Hakim Ziyech;Kerem Akturkoglu;Kerem Demirbay;Lucas Torreira;Mateus Tete;Mauro Icardi;Sacha Boey;Sergio Oliveira;Tanguy Ndombele;Victor Nelsson;Wilfried Zaha
Abdulkerim Bardakci;0.14475666304462;0.103068416046051;0.0190628923296183;0.0219307004309493;0.046270547300823;0.0448971222211851;0.064123893864989;0.0513258558002502;0.108044120940733;0.045598055196925;0.0321914953317141;0.0980681057387031;0.0476048459212808;0.0232669855827601;0.113747046695444;0.0360432535539541
Angelino;0.144754587974539;0.103069320637264;0.0190627449254353;0.0219299037580671;0.0462694777132027;0.0448971291120821;0.0641230983342341;0.0513258269367381;0.108045381465201;0.0455991895586103;0.0321928276122765;0.0980677610932026;0.0476046742562599;0.0232674085159063;0.113747919152148;0.0360427489548338
Baris Yilmaz;0.144757322354649;0.103067040091107;0.0190633032563102;0.0219311862590133;0.0462705964522024;0.0448972333755923;0.0641247681589584;0.0513253020713953;0.108043690606749;0.0455984204765553;0.0321912256837174;0.098069225585747;0.0476052063604333;0.0232669547665286;0.113744912060864;0.0360436124401775
Dries Mertens;0.144751677648028;0.103070963135603;0.0190629470512168;0.0219297851230519;0.0462681426319214;0.0448969134055613;0.0641230121960543;0.051326155909273;0.108046373822704;0.0455994997486856;0.0321934958290662;0.0980669960381383;0.0476042641864586;0.0232676859639917;0.113749987998465;0.0360420993117814
Fernando Muslera;0.144756161424177;0.103069218642103;0.0190626097686385;0.0219302490572596;0.0462704412451848;0.0448970761781994;0.0641232061639024;0.0513261410254248;0.108044530325382;0.0455980448460369;0.0321918389669263;0.0980675350618687;0.0476046527325719;0.0232670636247134;0.113748227230141;0.0360430037074692
Hakim Ziyech;0.144755729103087;0.103069734298818;0.0190624288179312;0.021929979095029;0.0462703174773968;0.0448970639106052;0.0641228280874527;0.0513263002601356;0.10804480437045;0.0455980889510744;0.0321921672544234;0.0980671537963391;0.0476044888931439;0.0232671151389948;0.113748995878692;0.0360428046664265
Kerem Akturkoglu;0.144752589725455;0.103070738642111;0.0190628235942927;0.0219297316492597;0.0462686378781286;0.0448969265307968;0.0641227981693963;0.051326233083272;0.108046105583622;0.0455991964069904;0.0321930956858676;0.0980670639220631;0.0476043635226256;0.0232675890526041;0.113749831499433;0.0360422750540824
Kerem Demirbay;0.144754796082435;0.103069978303588;0.0190625465435405;0.021929877514035;0.0462697957957709;0.0448970334946313;0.0641228065778344;0.0513262398924406;0.108045223129669;0.0455985000339203;0.0321924980738376;0.0980671664912356;0.0476044760632528;0.0232672748280181;0.113749128071376;0.0360426591044153
Lucas Torreira;0.144753536224615;0.103070395404925;0.0190626595513765;0.0219297063113349;0.0462691285740876;0.044896992911208;0.0641227081203152;0.0513262145950782;0.108045787699933;0.0455989940809007;0.0321929472658903;0.0980671181662364;0.0476044134651166;0.0232674761134987;0.113749495243745;0.0360424262717391
Mateus Tete;0.144752721669772;0.103071120796969;0.019062441203294;0.0219291972603503;0.0462688238505694;0.0448969830168854;0.064121990464247;0.0513264267760158;0.108046401378393;0.0455992749313135;0.0321933545686829;0.0980666262232263;0.0476042760831604;0.0232676454882045;0.11375054934115;0.0360421669477675
Mauro Icardi;0.144756122004353;0.103067305292148;0.0190631157806354;0.0219307618353687;0.0462699036262646;0.044897370903476;0.0641245785777695;0.0513250311346899;0.108044369606022;0.0455994184957271;0.0321926748467472;0.0980689048574749;0.0476050165662699;0.0232671949337356;0.113744960942185;0.0360432705971332
Sacha Boey;0.144758056433662;0.103067664016891;0.0190628494271584;0.0219309648220281;0.0462712136643027;0.0448971995798131;0.0641242178187044;0.0513257219688522;0.108043440269238;0.0455976824983837;0.0321911432240178;0.0980684724384315;0.0476049525584373;0.0232667679778104;0.113746129838312;0.0360435234639573
Sergio Oliveira;0.144754307741225;0.103069676561838;0.0190627486669486;0.0219299087456093;0.0462694151819252;0.0448970744500385;0.0641230062695771;0.0513260012554369;0.10804545816792;0.0455990127924263;0.0321926695977626;0.0980675150862935;0.0476046030252056;0.0232674094417354;0.113748515612672;0.0360426774033858
Tanguy Ndombele;0.144752523209208;0.103071168955318;0.019062468142275;0.0219291396750044;0.0462687155732993;0.0448969763679597;0.0641219211933083;0.0513264270039152;0.108046525595259;0.0455993813338845;0.0321933740067846;0.0980666588574067;0.0476042955808958;0.0232676935333338;0.113750587288315;0.0360421436838329
Victor Nelsson;0.144753000009756;0.103071911065822;0.0190620379020649;0.0219288218059674;0.0462691790024789;0.0448968988371162;0.064121280006499;0.0513268383169763;0.108046427702943;0.0455987536422244;0.0321934137287727;0.098065986356009;0.0476040514622637;0.0232675623965166;0.113751828787827;0.0360420089767636
Wilfried Zaha;0.144754201093795;0.103069509035147;0.0190628117481142;0.0219298846102253;0.0462693067090171;0.0448970996413669;0.0641230323834234;0.0513259019721756;0.108045546054094;0.0455992313979775;0.0321927246851924;0.0980677033702953;0.0476046738203742;0.0232674636629105;0.113748212050956;0.0360426977649365
