;Alessandro Bastoni;Benjamin Pavard;Davide Frattesi;Denzel Dumfries;Federico Dimarco;Francesco Acerbi;Hakan Calhanoglu;Henrikh Mkhitaryan;Lautaro Martinez;Marcus Thuram;Matteo Darmian;Nicolo Barella;Stefan de Vrij;Yann Sommer
Alessandro Bastoni;0.112330551802189;0.0756253724953512;0.00422059644561548;0.0287394546376487;0.0633897508917241;0.019849777693347;0.168242257700561;0.0907429103639166;0.0372497559054828;0.0444170156503986;0.0132755164882371;0.133117227493149;0.13404828508499;0.0747515273473888
Benjamin Pavard;0.11233072948919;0.075626052492728;0.00422054301254373;0.0287390125006638;0.0633895405669162;0.0198499737104855;0.168242771736782;0.0907427037712698;0.0372500594958267;0.0444167414571047;0.0132753675838685;0.133117188217582;0.134047836301496;0.0747514796635423
Davide Frattesi;0.112328689195218;0.0756181958588265;0.00422116085109342;0.0287437549567041;0.0633920770557344;0.0198478769010338;0.168236917882414;0.0907450810022402;0.0372467206077982;0.0444199749362998;0.0132771914842179;0.13311763384727;0.134052715601856;0.0747520098192945
Denzel Dumfries;0.11232990721127;0.0756229070278861;0.00422079054476756;0.0287409629833766;0.0633905338173626;0.0198491202409255;0.16824042366226;0.090743656588965;0.0372487060270685;0.0444180268013621;0.0132760826892482;0.133117371152897;0.134049824099615;0.0747516871529957
Federico Dimarco;0.112330185930858;0.0756239617638692;0.00422070736656182;0.0287403149493415;0.0633902024630301;0.0198493982739411;0.16824120535472;0.0907433381361335;0.0372491534914067;0.04441759439051;0.013275841579853;0.133117306721198;0.134049168020425;0.0747516215581532
Francesco Acerbi;0.112331520240627;0.0756289624002537;0.00422030930799698;0.0287371205401018;0.0633886130536136;0.0198508342728833;0.168245036560027;0.0907418201123971;0.0372513589862909;0.0444155304102998;0.013274700985559;0.133117024023325;0.134045911444036;0.0747512576625898
Hakan Calhanoglu;0.112330603680769;0.0756255658489115;0.00422058130806985;0.0287393200307697;0.0633896958722405;0.0198498344891264;0.168242403041427;0.090742851645354;0.0372498440591699;0.0444169401307748;0.0132754770216245;0.133117214983862;0.134048152041926;0.0747515158459756
Henrikh Mkhitaryan;0.112330334005413;0.0756245388024675;0.00422066216354037;0.028739972766466;0.0633900151204378;0.0198495491272603;0.168241632010251;0.0907431635133313;0.0372493960650727;0.0444173570610107;0.01327570682696;0.13311727466721;0.134048814434938;0.0747515834356414
Lautaro Martinez;0.112331029047238;0.0756271346987887;0.00422045536703346;0.0287383036934141;0.0633891987831768;0.0198502923036436;0.168243619004459;0.0907423746032193;0.0372505398532718;0.044416287902781;0.0132751176188365;0.133117126377743;0.134047120279167;0.0747514004672278
Marcus Thuram;0.112329874871121;0.0756227486913751;0.00422080212665587;0.0287410432128559;0.0633905910929959;0.0198490797452456;0.168240310454492;0.0907437056289125;0.0372486409848625;0.044418089252009;0.0132761210811857;0.133117375348041;0.134049917761822;0.0747516997484261
Matteo Darmian;0.112328925150195;0.0756190899604483;0.00422109023669968;0.0287432198099944;0.0633917833811712;0.0198481162595114;0.168237588257142;0.0907448117859307;0.0372470993487099;0.0444196035204991;0.013276980174053;0.133117582376663;0.134052162671209;0.0747519470677735
Nicolo Barella;0.112330161114701;0.0756238757388493;0.00422071462540781;0.0287403695835272;0.0633902337841829;0.0198493699788305;0.168241132641799;0.0907433640202619;0.0372491137654616;0.0444176333908073;0.0132758634300709;0.133117311222241;0.134049225398402;0.0747516313054589
Stefan de Vrij;0.112330028512474;0.0756233828355936;0.00422075340781893;0.0287406879164323;0.0633903816495045;0.0198492364076372;0.168240767843864;0.0907435125888772;0.0372489000610252;0.0444178317859801;0.013275971431418;0.133117343321986;0.134049542193295;0.0747516600440934
Yann Sommer;0.112330171760188;0.0756239346000477;0.00422071038764498;0.0287403452553958;0.0633902121671832;0.0198493812570289;0.168241171475614;0.0907433457554262;0.0372491351294732;0.0444176098901625;0.0132758486777272;0.133117309724377;0.134049196094971;0.07475162782476
