;Donyell Malen;Giovanni Reyna;Gregor Kobel;Jamie Bynoe-Gittens;Julian Brandt;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Marius Wolf;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Niklas Sule;Ramy Bensebaini;Salih Ozcan;Sebastien Haller
Donyell Malen;0.0194706950641122;0.0119248609432417;0.0933375672016419;0.0483496829291593;0.131520213771324;0.0891250235925178;0.0113313387834972;0.0689178833902214;0.0515241012739963;0.132755046141024;0.0845625483921144;0.00525863809979758;0.0910075515516968;0.0502647765848836;0.107865000546322;0.00278507173444947
Giovanni Reyna;0.0194694625571408;0.0119252533162764;0.0933335282993577;0.0483472386362315;0.131522009373547;0.0891231818369953;0.0113313947873275;0.0689149462222003;0.051523842142333;0.132754772039385;0.0845636812170919;0.00525897704789385;0.0910088907075814;0.0502667443543772;0.107871004181947;0.00278507328031366
Gregor Kobel;0.0194697956619957;0.011924870682494;0.0933340018929177;0.0483470120545258;0.131521478528917;0.0891238728353131;0.0113313569335173;0.0689152255685527;0.0515237324069426;0.132753842598992;0.0845632676410755;0.00525871366221862;0.0910095005600542;0.0502673399056381;0.107870839363503;0.00278514970334171
Jamie Bynoe-Gittens;0.019469703200482;0.0119249123854416;0.0933338816636738;0.0483476923774387;0.131521312284887;0.0891239203111371;0.0113312970778472;0.068915967943572;0.0515238246210059;0.132754625051832;0.0845632638796985;0.005258770324784;0.0910094924768655;0.0502666523700411;0.107869580445811;0.00278510358548228
Julian Brandt;0.0194696418531592;0.0119250518098124;0.0933337648625264;0.0483472471539989;0.131521663391015;0.089123589582401;0.0113313590091355;0.0689152328848631;0.0515237826420133;0.132754377513531;0.0845634472816222;0.00525884607969066;0.0910092657106495;0.0502669349877309;0.107870687298796;0.00278510793905505
Karim Adeyemi;0.0194697675962544;0.0119251040842027;0.0933347481074411;0.0483492295789004;0.1315210024371;0.0891240421058529;0.0113312548002734;0.0689173136627061;0.0515240296297206;0.13275606119541;0.0845632413383393;0.00525891981894532;0.0910086419742284;0.0502649933600439;0.107866642269688;0.00278500804089302
Marcel Sabitzer;0.019469663503148;0.0119249013754188;0.0933332386361722;0.0483450291230715;0.131522354903482;0.0891233268639953;0.011331486773684;0.0689131286788719;0.0515237203749865;0.132752098768211;0.0845634109314;0.00525859473059665;0.0910094494687288;0.0502691820630231;0.107875167815081;0.00278524599012992
Marco Reus;0.0194698289533271;0.0119249381378483;0.0933345085772456;0.0483481191705202;0.131521179421847;0.0891240815498071;0.0113313116389845;0.0689162794947492;0.0515238880652897;0.132754824833122;0.084563193323834;0.00525877236650932;0.0910090255109191;0.0502662198528583;0.107868737595435;0.00278509150770372
Marius Wolf;0.01946999382029;0.0119249301402687;0.093335081137998;0.0483479011046901;0.131521210713457;0.0891241828061629;0.0113313942447313;0.0689158511718337;0.0515239269228069;0.132754353163393;0.0845631262615136;0.00525870397517032;0.0910085094084309;0.0502664397126373;0.107869276066689;0.00278511934992747
Mats Hummels;0.0194697765424697;0.0119252738150783;0.0933349343738878;0.0483489868295081;0.131521305487689;0.0891238162796606;0.0113313205244137;0.0689167067978329;0.0515240479218785;0.132755847853686;0.0845633487593262;0.00525898598490915;0.0910080836396006;0.0502650403781199;0.107867514722697;0.00278501008924168
Niclas Fullkrug;0.0194696360392939;0.0119252636980714;0.0933342976728383;0.0483480345563306;0.131521754500177;0.0891235529584146;0.0113313523918434;0.0689157695243992;0.0515239852271166;0.132755098840407;0.0845634517002077;0.00525895382473358;0.091008304641868;0.0502659369937015;0.107869552108037;0.00278505532255954
Nico Schlotterbeck;0.0194693607722151;0.0119253019899668;0.0933324210266044;0.0483466731493786;0.131522047228822;0.0891228287249077;0.0113312903061203;0.0689146383089096;0.0515235167187862;0.132754510880645;0.0845638093869103;0.00525911370433972;0.0910103055524279;0.0502672039282309;0.107871904340801;0.0027850739809337
Niklas Sule;0.0194698431209431;0.0119251796087146;0.0933349177272699;0.0483491812706723;0.131521028281294;0.089123985383961;0.0113312729374608;0.0689171309888547;0.0515240121685383;0.132755943246426;0.0845632380079672;0.00525895533697591;0.0910084924403569;0.0502649489925831;0.107866863339716;0.00278500714826605
Ramy Bensebaini;0.019470003414865;0.0119249414248427;0.0933352431285252;0.0483483689051344;0.131521065634426;0.0891242872350192;0.0113313576937451;0.0689163469764002;0.0515239499381084;0.132754771578212;0.0845630920052235;0.00525873790388276;0.0910084518946025;0.0502659790601549;0.10786830641979;0.00278509678706842
Salih Ozcan;0.0194699157288985;0.011925083412145;0.093335149571933;0.0483485343279779;0.131521210446764;0.089124038542881;0.0113313562524982;0.0689164236601704;0.0515240265747637;0.132755148886968;0.084563199778997;0.00525882530644107;0.0910082307545734;0.0502656750836785;0.107868119444966;0.00278506222634357
Sebastien Haller;0.0194710134471048;0.0119244742520302;0.0933382614031796;0.0483507287662961;0.131519354129204;0.0891259647017058;0.0113311644003701;0.0689200880039058;0.0515243614360082;0.132755159694951;0.0845617707772432;0.00525831752235774;0.091007781080577;0.0502641553265544;0.107862327179409;0.00278507787910331
