;Amadou Haidara;Benjamin Henrichs;Benjamin Sesko;Castello Lukeba;Christoph Baumgartner;Dani Olmo;David Raum;Eljif Elmas;Kevin Kampl;Lois Openda;Peter Gulacsi;Willi Orban;Xaver Schlager;Xavi Simons;Yussuf Poulsen
Amadou Haidara;0.151015170886603;0.126386799516974;0.0448302887467188;0.113177479551897;0.0088556948392964;0.107917448507912;0.0816685093159593;0.00186685147319608;0.00226134162734621;0.0673742255430573;0.0180307337020173;0.0718024119458366;0.0911327548527903;0.106489562427819;0.00719072706257601
Benjamin Henrichs;0.151015191366155;0.126387136805232;0.0448303914828355;0.113176948941809;0.00885570038151043;0.107917559983139;0.0816684322558028;0.00186684898405986;0.00226134131989677;0.0673742995155118;0.0180307438577251;0.0718023767793812;0.0911327461506068;0.106489533606053;0.00719074857028234
Benjamin Sesko;0.151014665297741;0.126386873131139;0.0448305672228205;0.113179328584049;0.00885581010159787;0.107917622466634;0.0816676068835444;0.00186686352722753;0.00226123070293382;0.067374277703018;0.018030456617385;0.0718021925479553;0.0911319023178621;0.106489908690007;0.00719069420608534
Castello Lukeba;0.15101529455811;0.126385849386639;0.0448297688881235;0.113178203718094;0.00885560214855007;0.107916596898557;0.0816695261071697;0.00186686346125614;0.0022614472738022;0.0673737148696419;0.0180309264131092;0.0718025517882688;0.091133539620097;0.106489436143662;0.00719067872491899
Christoph Baumgartner;0.151015621308304;0.126389738797282;0.0448312930965454;0.113172030501605;0.00885575011080019;0.107919322441464;0.0816673333920031;0.0018668098895099;0.0022612646687615;0.0673754682202003;0.0180307319772348;0.0718022319830427;0.0911321793254657;0.106489288879695;0.00719093540808585
Dani Olmo;0.151014724205618;0.126387826105219;0.0448309319478959;0.113178060896443;0.0088558424957526;0.10791829389798;0.0816670579182856;0.00186685803155911;0.0022611794306015;0.0673746734611653;0.0180303938928125;0.0718020252891515;0.0911315396536148;0.106489836057495;0.00719075671640646
David Raum;0.151014558996607;0.126385748073301;0.0448301516281764;0.113181081875722;0.00885578130603819;0.107916942833556;0.0816680932941719;0.00186687520488622;0.002261267772404;0.067373892362954;0.0180304900885934;0.0718023240436033;0.0911321465900245;0.106490029056111;0.00719061687385164
Eljif Elmas;0.151016176047767;0.126386437712804;0.0448297098475815;0.113174047651118;0.00885544954201099;0.107916788155501;0.0816706496391505;0.00186682248158509;0.0022615982055502;0.0673737318014652;0.0180313045643649;0.0718029253098079;0.0911348365857451;0.106488734790381;0.00719078766516804
Kevin Kampl;0.151016140702566;0.126385681665816;0.044829325632037;0.113175249829969;0.00885540421740929;0.107916242868234;0.0816711309851753;0.00186684254118723;0.00226163907849537;0.0673734650465682;0.0180313775937568;0.071802908902716;0.0911350905058621;0.106488764103016;0.00719073632719185
Lois Openda;0.151015150166089;0.126387089110311;0.0448303621870421;0.113177239763863;0.00885570127086053;0.107917532260322;0.08166840531293;0.00186685559697083;0.00226133520044346;0.0673742954337862;0.0180307323259897;0.0718023178033265;0.0911326865599784;0.106489555209594;0.00719074179849234
Peter Gulacsi;0.151014695979927;0.126385544676457;0.0448299769985362;0.113180889360175;0.00885573495600382;0.107916761138826;0.0816684761382999;0.00186687837985429;0.00226130882539736;0.0673737962744975;0.0180305849383539;0.0718023620987722;0.0911324576376301;0.106489918076164;0.00719061452110626
Willi Orban;0.151014507123157;0.126386421559589;0.0448304185317333;0.113180515911237;0.00885581988807351;0.107917382896181;0.0816675944947469;0.00186687605805501;0.00226121973328906;0.0673741841266914;0.0180304190097537;0.0718021623907228;0.0911317664124535;0.106490059771257;0.00719065209305955
Xaver Schlager;0.151014779953529;0.12638596318728;0.0448301023729204;0.113180025080125;0.00885573679790236;0.107916996174501;0.0816683676912648;0.00186687221499241;0.00226130578958935;0.0673739601649301;0.0180306026529848;0.071802345997955;0.0911324317180714;0.106489864753544;0.00719064545041009
Xavi Simons;0.151015042192632;0.126386776498488;0.0448303287153961;0.113178045824512;0.008855718765251;0.107917458843416;0.0816683179820686;0.00186685761602377;0.00226131608428176;0.0673742194922936;0.0180306694695004;0.071802334938695;0.0911325563683424;0.106489641200569;0.00719071600852985
Yussuf Poulsen;0.151014312175924;0.126389942978026;0.0448320065735423;0.113177008804728;0.0088560309111614;0.107919648340859;0.0816651691431642;0.00186684856008332;0.00226099180463221;0.0673753931537821;0.018030022661924;0.0718015692409908;0.0911301555523716;0.106490043696656;0.00719085640215461
